Name;Type;Max.TT;Markup;Source
Hydraulic Manifold;Hangar Part;15; ;Looted
Lockpick Kit I;Instance Rocktropia;20; ;Crafted
Lockpick Kit II;Instance Rocktropia;40; ;Crafted
Lockpick Kit III;Instance Rocktropia;60; ;Crafted
Lockpick Kit IV;Instance Rocktropia;80; ;Crafted
Lockpick Kit IX;Instance Rocktropia;180; ;Crafted
Lockpick Kit V;Instance Rocktropia;100; ;Crafted
Lockpick Kit VI;Instance Rocktropia;120; ;Crafted
Lockpick Kit VII;Instance Rocktropia;140; ;Crafted
Lockpick Kit VIII;Instance Rocktropia;160; ;Crafted
Lockpick Kit X;Instance Rocktropia;200; ;Crafted
Mannequin Pad;Pad;53; ;Looted
Matter Booster;Hangar Part; ; ; 
NanoWarp Drive I;Spacecraft Part;150; ;MA
Odenfield Ventricle System;Hangar Part;17; ;Looted
Omegaton CBA-1 Color Bleaching Addition;Bleacher;12.5; ;Looted
Omegaton CBA-2 Color Bleaching Addition;Bleacher;22.3;5000.00 PED;Looted
Omegaton CBA-3 Color Bleaching Addition;Bleacher;32.1;2400.00 PED;Looted
Omegaton CBA-4 Color Bleaching Addition;Bleacher;34;11600.00 PED;Looted
Omegaton CBA-5, Mentor Edition;Bleacher;47.1; ;Mentoring
Omegaton CBA-5 Color Bleaching Addition;Bleacher;36;82000.00 PED;Looted
Omegaton Colorator CCT-1;Colorator;2; ;was in TT
Omegaton Distractor DD-20;Other;8.6;0.00 PED;TT
Payn-Inc Implant Inserter;Inserter;15;0.00 PED;TT
Portable Repair Unit (L);Portable Tools;20;165.00%;Crafted
Portable TT Unit (L);Portable Tools;20;144.00%;Crafted
Reaper III;Harvester;30.07; ;Crafted
Robot Beacon (001010010110001);Beacon;23; ;Looted, Crafted, M
Robot Beacon (0110010101111010);Beacon;2.5; ;Mission
Robot Beacon (100101110100100101);Beacon;25;3500.00 PED;Looted, Crafted, M
Robot Beacon (1100001000010111011011);Beacon;29; ;Looted, Crafted, M
Robot Beacon (1110101010100000001001);Beacon;35;100.00 PED;Looted, Crafted, M
Robot Beacon (111100000000000000001001);Beacon;35;121.00 PED;Looted, Crafted, M
Robot Beacon (1111100010101101011011);Beacon;39; ;Looted, Crafted, M
Robot Beacon (111111001101101110001111);Beacon;42; ;Looted, Crafted, M
Rusty Handle;Hangar Part;13; ;Looted
Sal'diresh's Vault Key 1;Underground Key;1; ;NPC
Sal'diresh's Vault Key 2;Underground Key;2; ;NPC
Sal'diresh's Vault Key 3;Underground Key;3; ;NPC
Sal'diresh's Vault Key 4;Underground Key;5; ;NPC
Sal'diresh's Vault Key 5;Underground Key;10; ;NPC
Sal'diresh's Vault Key 6;Underground Key;15; ;NPC
Sal'diresh's Vault Key 7;Underground Key;20; ;NPC
Sal'diresh's Vault Key 8;Underground Key;25; ;NPC
Sal'diresh's Vault Key 9;Underground Key;30; ;NPC
Sal'diresh's Vault Key 10;Underground Key;40; ;NPC
Shopkeeper Pad;Pad;40; ;Looted
Shopkeeper Teleporter Pad;Pad; ; ;Old Time, Renamed
Simple Shovel;Tool;0.3;500.00 PED;Crafted
Single Reactor;Hangar Part;9; ;Looted
Snowball;Other;1; ; 
Space Thruster;Thruster;50; ;MA
Space Thruster (L);Thruster;5;0.00%;Crafted
Space Thruster Light (L);Thruster;0.1; ;Unknown
Splicing Detector;Hangar Part; ; ; 
Sub Warp Drive 1 (L);Spacecraft Part;100; ;Crafted
Sub Warp Drive 2 (L);Spacecraft Part;400; ;Crafted
Terratech PH-1 (L);Harvester;5;0.00%;TT
Terratech PH-2 (L);Harvester;10; ;Crafted
Terratech PH-3;Harvester;30; ;Crafted
Terratech PH-3 (L);Harvester;20; ;Crafted
Terratech PH-4 (L);Harvester;80; ;Crafted
Vacuum Flux Energy Generator;Materials;25;16000.00 PED;Looted
Vehicle RK-0 (L);Vehicle Repair;7; ;Crafted
Vehicle RK-5 (L);Vehicle Repair;7.1; ;Crafted
Vehicle RK-10 TEN-S;Vehicle Repair;7.2;9000.00 PED;Event
Vehicle RK-25 (L);Vehicle Repair;13.5; ;Crafted
Vehicle RK-30 (L);Vehicle Repair;15; ;Crafted
Vehicle RK-35 (L);Vehicle Repair;17; ;Crafted
Vehicle RK-40 (L);Vehicle Repair;17.5; ;Crafted
VSE Mk 1;Sweating;0; ;Avatar
Warp Drive 1 (L);Spacecraft Part;150; ;Crafted
Warp Drive 2 (L);Spacecraft Part;150; ;Crafted
Warp Drive 3 (L);Spacecraft Part;150; ;Crafted
Warp Drive 4 (L);Spacecraft Part;150; ;Crafted
Warp Drive 5 (L);Spacecraft Part; ; ;Crafted
Warp Mine Mk4;Space Mine;3; ;Crafted
Warp Mine Mk5;Space Mine;3; ;Crafted
Warp Mine Mk. 1;Space Mine;3; ;Crafted
Warp Mine Mk. 2;Space Mine;3; ;Crafted
Warp Mine Mk. 3;Space Mine;3; ;Crafted
Zekkonian Tree Feller Neung (L);Harvester;5;0.00%;TT
Zekkonian Tree Feller Soeng (L);Harvester;10; ;Crafted
Ziplex B101 Material Texture Bleacher (L);Texturizing;49; ;Crafted
Ziplex 'Fashion Line' Bleacher Addon (L);Bleacher;49; ;Crafted
Ziplex 'Fashion Line' Colorator (L);Colorator;47; ;Crafted
Ziplex 'Fashion Line' Colorator, Mentor Ed.;Colorator;63; ;Mentoring
Ziplex T100 Texturizer (L);Texturizing;51; ;Crafted
Ziplex T100 Texturizer, Mentor Edition;Texturizing;63; ;Mentoring
