Name;Armor;Max.TT;Mar. (M);Mar. (F);Found on
Stealth Gloves (C)(L);Stealth (C,L);66; ; ;ROCKtropia
Stealth Gloves (L);Stealth (L);66; ; ;ROCKtropia
Stealth Harness (C,L);Stealth (C,L);110;190.00 PED;190.00 PED;ROCKtropia
Stealth Harness (L);Stealth (L);110; ; ;ROCKtropia
Stealth Helmet (C,L);Stealth (C,L);59.2;160.00 PED;160.00 PED;ROCKtropia
Stealth Helmet (L);Stealth (L);59.2; ; ;ROCKtropia
Stealth Shin Guards (C,L);Stealth (C,L);55; ; ;ROCKtropia
Stealth Shin Guards (L);Stealth (L);55; ; ;ROCKtropia
Stealth Thigh Guards (C,L);Stealth (C,L);64.5; ; ;ROCKtropia
Stealth Thigh Guards (L);Stealth (L);64.5; ; ;ROCKtropia
Stolen Imperium Arm Guards;Stolen Imperium;28; ; ;Planet Cyrene
Stolen Imperium Cap;Stolen Imperium;30; ; ;Planet Cyrene
Stolen Imperium Chest Guard;Stolen Imperium;30; ; ;Planet Cyrene
Stolen Imperium Foot Guards;Stolen Imperium;28; ; ;Planet Cyrene
Stolen Imperium Hand Guards;Stolen Imperium;28; ; ;Planet Cyrene
Stolen Imperium Shin Guards;Stolen Imperium;28; ; ;Planet Cyrene
Stolen Imperium Thigh Guards;Stolen Imperium;28; ; ;Planet Cyrene
Supremacy Arm Guards;Supremacy;298;12300.00 PED;15000.00 PED;Planet Calypso
Supremacy Arm Guards (L);Supremacy (L);298; ; ;Planet Calypso
Supremacy Arm Guards, SGA Edition;Supremacy, SGA Edition;298; ; ;Planet Calypso
Supremacy Foot Guards;Supremacy;287;20000.00 PED;9750.00 PED;Planet Calypso
Supremacy Foot Guards (L);Supremacy (L);287; ; ;Planet Calypso
Supremacy Foot Guards, SGA Edition;Supremacy, SGA Edition;287; ; ;Planet Calypso
Supremacy Gloves;Supremacy;287;14700.00 PED;8800.00 PED;Planet Calypso
Supremacy Gloves (L);Supremacy (L);287; ; ;Planet Calypso
Supremacy Gloves, SGA Edition;Supremacy, SGA Edition;287; ; ;Planet Calypso
Supremacy Harness;Supremacy;354;21555.00 PED;10100.00 PED;Planet Calypso
Supremacy Harness (L);Supremacy (L);354; ; ;Planet Calypso
Supremacy Harness, SGA Edition;Supremacy, SGA Edition;354; ; ;Planet Calypso
Supremacy Helmet;Supremacy;298;12500.00 PED;7700.00 PED;Planet Calypso
Supremacy Helmet (L);Supremacy (L);298; ; ;Planet Calypso
Supremacy Helmet, SGA Edition;Supremacy, SGA Edition;298; ; ;Planet Calypso
Supremacy Shin Guards;Supremacy;311;11700.00 PED;8600.00 PED;Planet Calypso
Supremacy Shin Guards (L);Supremacy (L);311;649.00%;244.94%;Planet Calypso
Supremacy Shin Guards, SGA Edition;Supremacy, SGA Edition;311; ; ;Planet Calypso
Supremacy Thigh Guards;Supremacy;309;5850.00 PED;30000.00 PED;Planet Calypso
Supremacy Thigh Guards (L);Supremacy (L);309; ; ;Planet Calypso
Supremacy Thigh Guards, SGA Edition;Supremacy, SGA Edition;309; ; ;Planet Calypso
Thigh Guards of the Wormslayer;Wormslayer;153; ; ;Planet Calypso
Thorifoid Berserker's Helm (L);Thorifoid Berserker's Helm (L);86; ; ;Planet Calypso
Thorifoid Berserker's Helm Flimsy (L);Thorifoid Berserker's Helm Flimsy (L);34; ; ;Planet Calypso
Thorifoid Berserker's Helm Superior;Thorifoid Berserker's Helm Superior;90; ; ;Planet Calypso
Thunderbird Arm Guards;Thunderbird;115; ; ;Planet Calypso
Thunderbird Arm Guards (L);Thunderbird (L);115;105.00%; ;Planet Calypso
Thunderbird Foot Guards;Thunderbird;70; ; ;Planet Calypso
Thunderbird Foot Guards (L);Thunderbird (L);70;107.00%; ;Planet Calypso
Thunderbird Gloves;Thunderbird;70; ; ;Planet Calypso
Thunderbird Gloves (L);Thunderbird (L);70;104.00%; ;Planet Calypso
Thunderbird Harness;Thunderbird;155; ; ;Planet Calypso
Thunderbird Harness (L);Thunderbird (L);155;108.00%; ;Planet Calypso
Thunderbird Helmet;Thunderbird;90; ; ;Planet Calypso
Thunderbird Helmet (L);Thunderbird (L);90; ; ;Planet Calypso
Thunderbird Shin Guards;Thunderbird;120; ; ;Planet Calypso
Thunderbird Shin Guards (L);Thunderbird (L);120; ; ;Planet Calypso
Thunderbird Thigh Guards;Thunderbird;110; ; ;Planet Calypso
Thunderbird Thigh Guards (L);Thunderbird (L);110; ; ;Planet Calypso
Tiger Arm Guards;Tiger;102.2; ; ;Planet Calypso
Tiger Arm Guards (L);Tiger (L);102.2; ; ;Planet Calypso
Tiger Foot Guards;Tiger;83; ; ;Planet Calypso
Tiger Foot Guards (L);Tiger (L);83; ; ;Planet Calypso
Tiger Gloves;Tiger;83; ; ;Planet Calypso
Tiger Gloves (L);Tiger (L);83; ; ;Planet Calypso
Tiger Harness;Tiger;134.3; ; ;Planet Calypso
Tiger Harness (L);Tiger (L);134.3; ; ;Planet Calypso
Tiger Helmet;Tiger;89.4; ; ;Planet Calypso
Tiger Helmet (L);Tiger (L);89.4; ; ;Planet Calypso
Tiger Shin Guards;Tiger;91.2; ; ;Planet Calypso
Tiger Shin Guards (L);Tiger (L);91.2; ; ;Planet Calypso
Tiger Thigh Guards;Tiger;97.8; ; ;Planet Calypso
Tiger Thigh Guards (L);Tiger (L);97.8; ; ;Planet Calypso
Titan Arm Guards;Titan;286; ; ;Ancient Greece
Titan Foot Guards;Titan;286; ; ;Ancient Greece
Titan Gloves;Titan;286; ; ;Ancient Greece
Titan Harness;Titan;286; ; ;Ancient Greece
Titan Helmet;Titan;286; ; ;Ancient Greece
Titan Shin Guards;Titan; ; ; ;Ancient Greece
Titan Thigh Guards;Titan;286; ; ;Ancient Greece
Trojan Breastplate;Trojan;7;25.55 PED; ;Next Island
Trooper Arm Guards;Trooper;24; ; ;Planet Calypso
Trooper Foot Guards;Trooper;22; ; ;Planet Calypso
Trooper Gloves;Trooper;22; ; ;Planet Calypso
Trooper Harness;Trooper;40; ; ;Planet Calypso
Trooper Helmet;Trooper;21.5; ; ;Planet Calypso
Trooper Shin Guards;Trooper;20; ; ;Planet Calypso
Trooper Thigh Guards;Trooper;23.5; ; ;Planet Calypso
Turrelion Arm Guards;Turrelion;2.2; ; ;The Hub
Turrelion Foot Guards;Turrelion;2.2; ; ;The Hub
Turrelion Gloves;Turrelion;2.2; ; ;The Hub
Turrelion Harness;Turrelion;2.2; ; ;The Hub
Turrelion Homeland Arm Guards;Turrelion Homeland;14.4; ; ;The Hub
Turrelion Homeland Face Guard;Turrelion Homeland;72; ; ;The Hub
Turrelion Homeland Foot Guards;Turrelion Homeland;36.6; ; ;The Hub
Turrelion Homeland Hand Guards;Turrelion Homeland;36.6; ; ;The Hub
Turrelion Homeland Harness;Turrelion Homeland;72; ; ;The Hub
Turrelion Homeland Shin Guards;Turrelion Homeland;14.4; ; ;The Hub
Turrelion Homeland Thigh Guards;Turrelion Homeland;36.6; ; ;The Hub
Turrelion Leg Guards;Turrelion;2.2; ; ;The Hub
Turrelion Mask;Turrelion;2.2; ; ;The Hub
Turrelion Shin Guards;Turrelion;2.2; ; ;The Hub
Unique Lady Kraster Helmet (F);Unique Lady Kraster;195; ; ;Planet Calypso
Unique Lord Kraster Helmet (M);Unique Lord Kraster;195; ; ;Planet Calypso
Ursa Arm Guards;Ursa;90; ; ;Planet Arkadia
Ursa Arm Guards (L);Ursa (L);84;108.00%;108.00%;Planet Arkadia
Ursa Foot Guards;Ursa;66; ; ;Planet Arkadia
Ursa Foot Guards (L);Ursa (L);72;108.00%;108.00%;Planet Arkadia
Ursa Gloves;Ursa;54; ; ;Planet Arkadia
Ursa Gloves (L);Ursa (L);60;108.00%;108.00%;Planet Arkadia
Ursa Harness;Ursa;144; ; ;Planet Arkadia
Ursa Harness (L);Ursa (L);144;108.00%;108.00%;Planet Arkadia
Ursa Helmet;Ursa;78; ; ;Planet Arkadia
Ursa Helmet (L);Ursa (L);78;108.00%;108.00%;Planet Arkadia
Ursa Shin Guards;Ursa;84; ; ;Planet Arkadia
Ursa Shin Guards (L);Ursa (L);78;108.00%;108.00%;Planet Arkadia
Ursa Thigh Guards;Ursa;84; ; ;Planet Arkadia
Ursa Thigh Guards (L);Ursa (L);84;108.00%;108.00%;Planet Arkadia
Vain Arm Guards;Vain;225;10600.00 PED;8800.00 PED;Planet Calypso
Vain Arm Guards (L);Vain (L);225; ; ;Planet Calypso
Vain Foot Guards;Vain;205; ;14000.00 PED;Planet Calypso
Vain Foot Guards (L);Vain (L);205; ; ;Planet Calypso
Vain Gloves;Vain;205; ; ;Planet Calypso
Vain Gloves (L);Vain (L);205; ; ;Planet Calypso
Vain Harness;Vain;320;12700.00 PED;12700.00 PED;Planet Calypso
Vain Harness (L);Vain (L);320; ; ;Planet Calypso
Vain Helmet;Vain;175;10000.00 PED;9000.00 PED;Planet Calypso
Vain Helmet (L);Vain (L);175; ; ;Planet Calypso
Vain Shin Guards;Vain;210; ; ;Planet Calypso
Vain Shin Guards (L);Vain (L);210; ; ;Planet Calypso
Vain Thigh Guards;Vain;225;7000.00 PED;6700.00 PED;Planet Calypso
Vain Thigh Guards (L);Vain (L);225; ; ;Planet Calypso
Valiant Arm Guards;Valiant;8.1; ; ;Planet Calypso
Valiant Face Guard;Valiant;6; ; ;Planet Calypso
Valiant Foot Guards;Valiant;5.9; ; ;Planet Calypso
Valiant Gloves;Valiant;5.9; ; ;Planet Calypso
Valiant Harness;Valiant;12; ; ;Planet Calypso
Valiant Shin Guards;Valiant;5.8; ; ;Planet Calypso
Valiant Thigh Guards;Valiant;8.4; ; ;Planet Calypso
Vampire Arm Guards;Vampire;12; ; ;Planet Calypso
Vampire Face Guard;Vampire;9.1; ; ;Planet Calypso
Vampire Foot Guards;Vampire;9; ; ;Planet Calypso
Vampire Gloves;Vampire;9; ; ;Planet Calypso
Vampire Harness;Vampire;20; ; ;Planet Calypso
Vampire Shin Guards;Vampire;9.2; ; ;Planet Calypso
Vampire Thigh Guards;Vampire;13; ; ;Planet Calypso
Viceroy Arm Guards;Viceroy;60; ; ;Planet Arkadia
Viceroy Arm Guards Adjusted;Viceroy Adjusted;60; ; ;Planet Arkadia
Viceroy Arm Guards Adjusted - Skullcandy Edition;Viceroy Adjusted - Skullcandy Edition;60; ; ;Planet Arkadia
Viceroy Arm Guards Modified;Viceroy Modified;60; ; ;Planet Arkadia
Viceroy Arm Guards Modified - Skullcandy Edition;Viceroy Modified - Skullcandy Edition;60; ; ;Planet Arkadia
Viceroy Arm Guards - Skullcandy Edition;Viceroy - Skullcandy Edition;60; ; ;Planet Arkadia
Viceroy Foot Guards;Viceroy;44; ; ;Planet Arkadia
Viceroy Foot Guards Adjusted;Viceroy Adjusted;44; ; ;Planet Arkadia
Viceroy Foot Guards Modified;Viceroy Modified;44; ; ;Planet Arkadia
Viceroy Foot Guards Modified - Skullcandy Edition;Viceroy Modified - Skullcandy Edition;44; ; ;Planet Arkadia
Viceroy Foot Guards - Skullcandy Edition;Viceroy - Skullcandy Edition;44;0.00 PED;0.00 PED;Planet Arkadia
Viceroy Gloves;Viceroy;36; ; ;Planet Arkadia
Viceroy Gloves Adjusted;Viceroy Adjusted;36; ; ;Planet Arkadia
Viceroy Gloves Guards - Skullcandy Edition;Viceroy - Skullcandy Edition;36;0.00 PED;0.00 PED;Planet Arkadia
Viceroy Gloves Improved;Viceroy Improved;36; ; ;Planet Arkadia
Viceroy Gloves Modified;Viceroy Modified;36; ; ;Planet Arkadia
Viceroy Gloves Modified - Skullcandy Edition;Viceroy Modified - Skullcandy Edition;36; ; ;Planet Arkadia
Viceroy Harness;Viceroy;96; ; ;Planet Arkadia
Viceroy Harness Adjusted;Viceroy Adjusted;96; ; ;Planet Arkadia
Viceroy Harness Adjusted - Skullcandy Edition;Viceroy Adjusted - Skullcandy Edition;96; ; ;Planet Arkadia
Viceroy Harness Guards - Skullcandy Edition;Viceroy - Skullcandy Edition;96;0.00 PED;0.00 PED;Planet Arkadia
Viceroy Harness Improved;Viceroy Improved;96; ; ;Planet Arkadia
Viceroy Harness Modified;Viceroy Modified;96; ; ;Planet Arkadia
Viceroy Harness Modified - Skullcandy Edition;Viceroy Modified - Skullcandy Edition;96; ; ;Planet Arkadia
Viceroy Helmet;Viceroy;52; ; ;Planet Arkadia
Viceroy Helmet Adjusted;Viceroy Adjusted;52; ; ;Planet Arkadia
Viceroy Helmet Adjusted - Skullcandy Edition;Viceroy Adjusted - Skullcandy Edition;52; ; ;Planet Arkadia
Viceroy Helmet Guards - Skullcandy Edition;Viceroy - Skullcandy Edition;52;0.00 PED;0.00 PED;Planet Arkadia
Viceroy Helmet Modified;Viceroy Modified;52; ; ;Planet Arkadia
Viceroy Helmet Modified - Skullcandy Edition;Viceroy Modified - Skullcandy Edition;52; ; ;Planet Arkadia
Viceroy Shin Guards;Viceroy;56; ; ;Planet Arkadia
Viceroy Shin Guards Adjusted;Viceroy Adjusted;56; ; ;Planet Arkadia
Viceroy Shin Guards Modified;Viceroy Modified;56; ; ;Planet Arkadia
Viceroy Shin Guards Modified - Skullcandy Edition;Viceroy Modified - Skullcandy Edition;56; ; ;Planet Arkadia
Viceroy Shin Guards - Skullcandy Edition;Viceroy - Skullcandy Edition;56;0.00 PED;0.00 PED;Planet Arkadia
Viceroy Thigh Guards;Viceroy;56; ; ;Planet Arkadia
Viceroy Thigh Guards Adjusted;Viceroy Adjusted;56; ; ;Planet Arkadia
Viceroy Thigh Guards Modified;Viceroy Modified;56; ; ;Planet Arkadia
Viceroy Thigh Guards Modified - Skullcandy Edition;Viceroy Modified - Skullcandy Edition;56; ; ;Planet Arkadia
Viceroy Thigh Guards - Skullcandy Edition;Viceroy - Skullcandy Edition;56;0.00 PED;0.00 PED;Planet Arkadia
Vigilante Arm Guards;Vigilante;38.5; ; ;Planet Calypso
Vigilante Arm Guards, Adjusted;Vigilante, Adjusted;38.5;170.00 PED; ;Planet Calypso
Vigilante Arm Guards, Modified;Vigilante, Modified;38.5; ; ;Planet Calypso
Vigilante Arm Guards, SGA Edition;Vigilante, SGA Edition;38.5; ; ;Planet Calypso
Vigilante Foot Guards;Vigilante;19.25;350.00 PED;325.00 PED;Planet Calypso
Vigilante Foot Guards, Adjusted;Vigilante, Adjusted;19.25;350.00 PED; ;Planet Calypso
Vigilante Foot Guards, Modified;Vigilante, Modified;19.25; ; ;Planet Calypso
Vigilante Foot Guards, SGA Edition;Vigilante, SGA Edition;19.25; ;180.00 PED;Planet Calypso
Vigilante Gloves;Vigilante;19.25; ; ;Planet Calypso
Vigilante Gloves, Adjusted;Vigilante, Adjusted;19.25;150.00 PED; ;Planet Calypso
Vigilante Gloves, Modified;Vigilante, Modified;19.25; ; ;Planet Calypso
Vigilante Gloves, SGA Edition;Vigilante, SGA Edition;19.25; ; ;Planet Calypso
Vigilante Harness;Vigilante;57.75; ; ;Planet Calypso
Vigilante Harness, Adjusted;Vigilante, Adjusted;57.75;250.00 PED; ;Planet Calypso
Vigilante Harness, Augmented;Vigilante, Augmented;94.5; ; ;Planet Calypso
Vigilante Harness, Modified;Vigilante, Modified;57.75; ; ;Planet Calypso
Vigilante Harness, SGA Edition;Vigilante, SGA Edition;57.75; ; ;Planet Calypso
Vigilante Helmet;Vigilante;19.25; ; ;Planet Calypso
Vigilante Helmet, Adjusted;Vigilante, Adjusted;19.25;180.00 PED; ;Planet Calypso
Vigilante Helmet, Modified;Vigilante, Modified;19.25; ; ;Planet Calypso
Vigilante Helmet, SGA Edition;Vigilante, SGA Edition;19.25;350.00 PED;150.00 PED;Planet Calypso
Vigilante Shin Guards;Vigilante;19.25; ; ;Planet Calypso
Vigilante Shin Guards, Adjusted;Vigilante, Adjusted;19.25;150.00 PED; ;Planet Calypso
Vigilante Shin Guards, Modified;Vigilante, Modified;19.25; ; ;Planet Calypso
Vigilante Shin Guards, SGA Edition;Vigilante, SGA Edition;19.25; ; ;Planet Calypso
Vigilante Thigh Guards;Vigilante;38.5; ; ;Planet Calypso
Vigilante Thigh Guards, Adjusted;Vigilante, Adjusted;38.5;150.00 PED; ;Planet Calypso
Vigilante Thigh Guards, Augmented;Vigilante, Augmented;63; ; ;Planet Calypso
Vigilante Thigh Guards, Modified;Vigilante, Modified;38.5; ; ;Planet Calypso
Vigilante Thigh Guards, SGA Edition;Vigilante, SGA Edition;38.5; ;600.00 PED;Planet Calypso
Viking Arm Guards;Viking;100; ; ;Planet Calypso
Viking Foot Guards;Viking;50; ; ;Planet Calypso
Viking Gloves;Viking;50; ; ;Planet Calypso
Viking Harness;Viking;140; ; ;Planet Calypso
Viking Helmet;Viking;80; ; ;Planet Calypso
Viking Shin Guards;Viking;100; ; ;Planet Calypso
Viking Thigh Guards;Viking;95; ; ;Planet Calypso
Vindicator Arm Guards;Vindicator;21; ; ;Planet Calypso
Vindicator Face Guard;Vindicator;14; ; ;Planet Calypso
Vindicator Foot Guards;Vindicator;17; ; ;Planet Calypso
Vindicator Gloves;Vindicator;17; ; ;Planet Calypso
Vindicator Harness;Vindicator;34; ; ;Planet Calypso
Vindicator Shin Guards;Vindicator;15; ; ;Planet Calypso
Vindicator Thigh Guards;Vindicator;19.5; ; ;Planet Calypso
Wannabe Arm Guards (L);Wannabe (L);3.2; ; ;ROCKtropia
Wannabe Face Guard (L);Wannabe (L);2.8; ; ;ROCKtropia
Wannabe Foot Guards (L);Wannabe (L);1.8; ; ;ROCKtropia
Wannabe Gloves (L);Wannabe (L);1.8; ; ;ROCKtropia
Wannabe Harness (L);Wannabe (L);4.4; ; ;ROCKtropia
Wannabe Shin Guards (L);Wannabe (L);2.8; ; ;ROCKtropia
Wannabe Thigh Guards (L);Wannabe (L);3.2; ; ;ROCKtropia
Warmonger Arm Guards;Warmonger;47; ; ;Next Island
Warmonger Foot Guards;Warmonger;27; ; ;Next Island
Warmonger Gloves;Warmonger;27; ; ;Next Island
Warmonger Harness;Warmonger;65; ; ;Next Island
Warmonger Helmet;Warmonger;41; ; ;Next Island
Warmonger Shin Guards;Warmonger;41; ; ;Next Island
Warmonger Thigh Guards;Warmonger;47; ; ;Next Island
Warrior Arm Guards;Warrior;12; ; ;Planet Calypso
Warrior Face Guard;Warrior;6; ; ;Planet Calypso
Warrior Foot Guards;Warrior;5.92; ; ;Planet Calypso
Warrior Gloves;Warrior;5.92; ; ;Planet Calypso
Warrior Harness;Warrior;17.77;5.11 PED; ;Planet Calypso
Warrior Shin Guards;Warrior;5.92; ; ;Planet Calypso
Warrior Thigh Guards;Warrior;11.85; ; ;Planet Calypso
XFire Survival Arm Guards (L);XFire Survival (L);48; ; ;Planet Calypso
XFire Survival Foot Guards (L);XFire Survival (L);48; ; ;Planet Calypso
XFire Survival Gloves (L);XFire Survival (L);48; ; ;Planet Calypso
XFire Survival Harness (L);XFire Survival (L);79; ; ;Planet Calypso
XFire Survival Helmet (L);XFire Survival (L);43; ; ;Planet Calypso
XFire Survival Shin Guards (L);XFire Survival (L);40; ; ;Planet Calypso
XFire Survival Thigh Guards (L);XFire Survival (L);47; ; ;Planet Calypso
Zeraf Armor Arm Guards (L);Zeraf Armor (L);2.5; ; ;Planet Toulan
Zeraf Armor Foot Guards (L);Zeraf Armor (L);2.5; ; ;Planet Toulan
Zeraf Armor Gloves (L);Zeraf Armor (L);4.5; ; ;Planet Toulan
Zeraf Armor Harness (L);Zeraf Armor (L);6; ; ;Planet Toulan
Zeraf Armor Helmet (L);Zeraf Armor (L);4; ; ;Planet Toulan
Zeraf Armor Thigh Guards (L);Zeraf Armor (L);4.5;155.56%; ;Planet Toulan
Zombie Arm Guards;Zombie;60; ; ;Planet Calypso
Zombie Arm Guards (L);Zombie (L);40; ; ;Planet Calypso
Zombie Face Guard;Zombie;40; ; ;Planet Calypso
Zombie Face Guard (L);Zombie (L);40; ; ;Planet Calypso
Zombie Foot Guards;Zombie;39; ; ;Planet Calypso
Zombie Foot Guards (L);Zombie (L);39; ; ;Planet Calypso
Zombie Gloves;Zombie;39; ; ;Planet Calypso
Zombie Gloves (L);Zombie (L);39; ; ;Planet Calypso
Zombie Harness;Zombie;70; ; ;Planet Calypso
Zombie Harness (L);Zombie (L);70; ; ;Planet Calypso
Zombie Shin Guards;Zombie;38; ; ;Planet Calypso
Zombie Shin Guards (L);Zombie (L);38; ; ;Planet Calypso
Zombie Thigh Guards;Zombie;39; ; ;Planet Calypso
Zombie Thigh Guards (L);Zombie (L);39; ; ;Planet Calypso
