Name;Type;Max.TT;Markup;Source
Beacon Strongbox 1;Strongbox;1E-05; ;Looted
Blakkshaah Badge;Mission Item;0; ;Looted
Blood of the Gods;Mission item;0.0001; ;Mission
Book of the Gorgon's Shade;Mission item;0.0001; ;Mission
Bristlehog Pet;Pet; ; ;Tamed
C.A.R.A.;Pet; ; ;Tamed
Calypso Candy Cane;Handheld;0.01; ;Xmas Gift 2009
Calypso Land Deed;Deed;0;1000.00 PED;Auction
Calypso Land Lot Deed Token #1 Crafting;Token;0; ;Looted
Calypso Land Lot Deed Token #1 Hunting;Token;0; ;Looted
Calypso Land Lot Deed Token #1 Mining;Token;0; ;Looted
CDF Report: Operation 'Get-Grid';Log;0; ;Event
Chirin Dragon Pet;Pet; ; ;Tamed
Christmas Fireworks;Handheld;0; ;Xmas Gift
Christmas Red flower;Handheld;0.01; ;Xmas Gift
Christmas Strongbox;Strongbox;1E-05; ;Looted
Christmas Yellow flower;Handheld;0.01; ;Xmas Gift
CLUB NEVERDIE GUESTPASS;Mission Item;1; ;Mission
Combat Token;Token; ; ;Looted, Mission
Combibo Pet;Pet; ; ;Tamed
Cooper Pet;Pet; ; ;StrongBox
Corinthian Kanin Pet;Pet; ; ;Tamed
Corinthian Ruby Kanin Pet;Pet; ; ;Tamed
Corinthian Silver Kanin Pet;Pet; ; ;Tamed
Cornundacauda Pet;Pet; ; ;Tamed
Crystalline Hologram Key;Mission Item;1; ;Mission
Daily Token;Token; ; ;Mission
Damaged Flash Drive 1GB;Materials;0.01; ;Looted
Damaged Flash Drive 2GB;Materials;0.04; ;Looted
Damaged Flash Drive 4GB;Materials;0.56; ;Looted
Damaged Flash Drive 16GB;Materials;0.16; ;Looted
Damaged Ram 4GB;Materials;0.01; ;Looted
Damaged Ram 8GB;Materials;0.04; ;Looted
Damaged Ram 16GB;Materials;0.08; ;Looted
Damaged Ram 32GB;Materials;0.16; ;Looted
Disassembled Armor Plating Mk. 5B;Upgrade Item;31.1; ;Refined
Disassembled Armor Plating Mk. 5B, Adjusted;Upgrade Item;42; ;Refined
Disassembled Armor Plating Mk. 5B, Improved;Upgrade Item;53; ;Refined
Disassembled Armor Plating Mk. 6A;Upgrade Item;25; ;Refined
Disassembled Armor Plating Mk. 6A, Adjusted;Upgrade Item;36; ;Refined
Disassembled Armor Plating Mk. 6A, Improved;Upgrade Item;47; ;Refined
Dr. Almon Duchev Log Part 1;Log;20; ;Looted
Dr. Almon Duchev Log Part 2;Log;20; ;Looted
Dr. Almon Duchev Log Part 3;Log;20; ;Looted
Dr. Almon Duchev Log Part 4;Log;20; ;Looted
Dr. Almon Duchev Log Part 5;Log;20; ;Looted
Dr. Almon Duchev Log Part 6;Log;20; ;Looted
Dr. Almon Duchev Log Part 7;Log;20; ;Looted
Dr. Almon Duchev Log Part 8;Log;20; ;Looted
Dr. Almon Duchev Log Part 9;Log;20; ;Looted
Dr. Almon Duchev Log Part 10;Log;20; ;Looted
Dr. Almon Duchev Log Part 11;Log;20; ;Looted
Dr. Almon Duchev Log Part 12;Log;20; ;Looted
Dr. Almon Duchev Log Part 13;Log;20; ;Looted
Dr. Almon Duchev Log Part 14;Log;20; ;Looted
Dr. Almon Duchev Log Part 15;Log;20; ;Looted
Dr. Almon Duchev Log Part 16;Log;20; ;Looted
Dr. Almon Duchev Log Part 17;Log;20; ;Looted
Dr. Almon Duchev Log Part 18;Log;20; ;Looted
Dr. Almon Duchev Log Part 19;Log;20; ;Looted
DSEC OS 2.0;Materials;0.01; ;Looted
Easter Strongbox;Strongbox;1E-05; ;Looted
ED-5 Grade 1 Key;Mission Item;0; ;Mission
ED-5 Grade 2 Key;Mission Item;0; ;Mission
ED-5 Grade 3 Key;Mission item;0; ;Mission
Elixir of the Gorgon's Shade;Mission item;0.0001; ;Mission
Empty Skill Implant (L);Skill Implant;1250;1500.00%;Looted
Energy Nano Adjuster Mk.1;Misc Item;0.01; ;Looted
Entropia Universe Cash Card;Real World Item;250; ;Old Time
Entropia Unreal Token;Token; ; ;Looted
Estate Deed;Deed;0; ;Auction
Eudoracell Pet;Pet; ; ;StrongBox
Eudorian Devil Pet;Pet; ; ;Tamed
Eudorian Sapphire Devil Pet;Pet; ; ;Tamed
Fallen Recruits Dog Tag;Mission Item;0.01; ;Looted
FEN Token Gold;Token;1; ;Looted, Event
FEN Token Platinum;Token;1; ;Looted, Event
FFA Mayhem Star - Dazzling;Event;1E-05; ;Looted, Event
FFA Mayhem Star - Dim;Event;1E-05; ;Looted, Event
FFA Mayhem Star - Gleaming;Event;1E-05; ;Looted, Event
FFA Mayhem Star - Glittering;Event;1E-05; ;Looted, Event
FFA Mayhem Star - Glossy;Event;1E-05; ;Looted
FFA Mayhem Star - Lustrous;Event;1E-05; ;Looted, Event
FFA Mayhem Star - Radiant;Event;1E-05; ;Looted, Event
FFA Mayhem Star - Sparkling;Event;1E-05; ;Looted, Event
FFA Mayhem Star - Twinkling;Event;1E-05; ;Looted, Event
Fido;Pet; ; ;StrongBox
Gemstone of the Gorgon's Shade;Mission item;0.0001; ;Mission
Generic Nano Adjuster;Upgrade Item;5; ;Looted
Gold Card Codebox only;Real World Item;100; ;TT
Golden wedding band;Jewelery;80;40000.00 PED;Looted
Grand Christmas Fireworks;Handheld;0; ;Xmas Gift
Grand Halloween Fireworks;Handheld;0; ;Halloween Gift 2011
Green Leprechaun Pet;Pet; ; ;Tamed
Hacked K-1 Deed;Pet; ; ;Tamed
Hacked K-2 Deed;Pet; ; ;Tamed
Hacked K-3 Deed;Pet; ; ;Tamed
Hacked K-4 Deed;Pet; ; ;Tamed
Hacking Device;Misc item;0.01; ;Web Store
Halloween Fireworks;Handheld;0; ;Halloween Gift 2011
Halloween Strongbox;Strongbox;1E-05; ;Looted
Halloween Torch;Handheld;0.01; ;Halloween Gift 2012
Hangar Deed;Deed; ; ;Auction
Hardening Nano Adjuster;Upgrade Item;1; ;Looted
Hardening Nano Adjuster A01;Upgrade Item;1; ;Looted
Hardening Nano Adjuster A02;Upgrade Item;1; ;Looted
Hardening Nano Adjuster A03;Upgrade Item;1; ;Looted
Hightech Storage Box;Misc Item; ; ;Looted
Imperium Token;Token;0; ;Mission
Infernal Trident;Handheld;0.01; ;Halloween Gift 2009
Intelligence Token;Token;0; ;Mission
Island Gorilla Deed;Pet; ; ;Tamed
Jack-o-Bucket;Handheld;0.01; ;Halloween Gift 2023
Kinetic Nano Adjuster Mk.1;Misc Item;0.01; ;Looted
Kitty;Pet; ; ;StrongBox
L.A.R.A.;Pet; ; ;Tamed
Lai Tung Pai Pet;Pet; ; ;StrongBox
Land Area deed;Deed;0; ;Auction, Landgrab, E
Laptop RAM;Materials;0.01; ;Looted
Large Chadriak Mushroom;Upgrade Item;1; ;Looted
Leprechaun Blue Pet;Pet; ; ;Tamed
Limited Edition Collector's Coin;Real World Item;230; ;Looted
Lockpick Kit;Mission Item;0.01; ;Mission
Lofven Papoo;Pet; ; ;Tamed
Mang Chang Pet;Pet; ; ;Tamed
Mayhem Token;Token;0; ;Looted, Event
Mazeweaver Certificate;Mission Item;0; ;Mission
Mcgrangus Lost Log, Entry 1;Log;1; ;Looted
Mcgrangus Lost Log, Entry 2;Log;1; ;Looted
Mcgrangus Lost Log, Entry 3;Log;1; ;Looted
Mcgrangus Lost Log, Entry 4;Log;1; ;Looted
Mcgrangus Lost Log, Entry 5;Log;1; ;Looted
Mcgrangus Lost Log, Entry 6;Log;1; ;Looted
Mcgrangus Lost Log, Entry 7;Log;1; ;Looted
Mcgrangus Lost Log, Entry 8;Log;1; ;Looted
Mcgrangus Lost Log, Entry 9;Log;1; ;Looted
Mcgrangus Lost Log, Entry 10;Log;1; ;Looted
Mcgrangus Lost Log, Entry 11;Log;1; ;Looted
Mcgrangus Lost Log, Entry 12;Log;1; ;Looted
Medal of Heroism;Token;1; ;Mission
Mei Hua Quan Pet;Pet; ; ;StrongBox
Merry Mayhem 2010 Participation Diploma;Diploma;1; ;Event
Merry Mayhem 2011 Participation Diploma;Diploma; ; ;Event
Mindkey; ;25; ;Mission
Mining Strongbox 1;Strongbox;1E-05; ;Mining (SOOTO)
Mission Token;Token; ; ;Mission
Monria lost chapter 1;Misc item;0.01;0.00 PED;Looted
Monria lost chapter 2;Misc item;0.01; ;Looted
Monria lost chapter 3;Misc item;0.01; ;Looted
Motorhead Keg; ;0.01; ;Spawned
Mystery Box I;?;1; ;Looted
Mystery Box III;?;3; ;Looted
Mystery Box V;Misc Item; ; ;Looted
NawaCore MK1;Mission Reward;0; ;Mission
NawaCore MK2;Mission Reward;0; ;Mission
NawaCore MK3;Mission Reward;0; ;Mission
Neomex Breeder Pheromone Gland;Instance Item;0.01; ;Looted
Neomex Builder Pheromone Gland;Instance Item;0.01; ;Looted
Neomex Chaser Elite Pheromone Gland;Instance Item;0.01; ;Looted
Neomex Hunter Elite Pheromone Gland;Instance Item;0.01; ;Looted
Neomex Ravager Elite Pheromone Gland;Instance Item;0.01; ;Looted
Neomex Strong Elite Pheromone Gland;Instance Item;0.01; ;Looted
Neomex Watcher Elite Pheromone Gland;Instance Item;0.01; ;Looted
Neomex Weaver Pheromone Gland;Instance Item;0.01; ;Looted
Note;Event;1; ;Looted
Nusul Pet;Pet; ; ;Tamed
Nvidia Box;Real World Item; ; ;Crafting (Event)
O.S. F.A.P. M7 (L) Blueprint (L);Misc Item;1; ;Looted
Odenfield Ventricle System;Hangar part?;17; ;Looted
Operation Hammerhead Diploma;Diploma;1; ;Event
Oratan Miner Pet;Pet; ; ; 
Output Nano Adjuster Mk.1;Misc Item;0.01; ;Looted
Pandi Pup Pet;Pet; ; ;Tamed
Paneleon Pet;Pet; ; ;Tamed
Panther Pet;Pet; ; ;Tamed
PE Gold Member Smart Card Verification system;Real World Item;200; ;TT
Personal Manufacturing Terminal;Furniture;160; ;Looted
Personal Storage Terminal (L);Furniture;15; ; 
Pet Deed;Deed;1000; ; 
Pet Name Tag;Taming;1E-05; ;Webshop, Strongbox
Phasing Essence MF01;Upgrade Item;1; ;Looted
Phasing Nano Adjuster;Upgrade Item;1; ;Looted
Pheromone Gland;Instance Item;0.1; ;Looted, Event
Piece of Paper;Event;20; ;Looted
Pirate Doubloon;Misc Item;0.01; ;Looted
Possible Dropship Sensor;Unknown;0; ;Looted
Project Entropia Cents;Calypso Currency;0.01; ;Deposited
Project Entropia Dollar;Calypso Currency;1; ;Deposited
Psyche Token;Token;0; ;Mission
Qandil;Handheld;0.55; ; 
Rare Mayhem Token;Token;0; ;Event
Reaper's Scythe;Handheld;0.01; ;Halloween Gift 2010
Regenerative Gel;Upgrade Item; ; ;Daily Token Trader
Reward Token (Blue);Token;0.01; ;PvP
Reward Token (Lime Green);Token;0.01; ;Looted
Reward Token (Orange);Token;0.01; ;PvP
Reward Token (Red);Token;0.01; ;PvP
Rhino Bettle Pet;Pet; ; ;Tamed
Rock Bucks;Currency;0.01; ;Looted
ROCKtropia Mobile Phone;Mission Item;1; ;Mission
ROCKtropia Police Badge;Mission Item; ; ;Mission
ROCKtropia Police Radio;Mission Item; ; ;Mission
Rotten Chadriak Mushroom;Upgrade Item;1; ;Looted
Rover Pet;Pet; ; ;StrongBox
Sapphire Chirin Dragon Pet;Pet; ; ;Tamed
SHIELD CRATE;Mission Item;0.01; ;Looted
Sjoeblom Winery Chauvignon Crystal;Handheld;0; ;Xmas Gift 2006
Small Chadriak Mushroom;Upgrade Item;1; ;Looted
Spacecraft Deed;Deed; ; ;Auction
Stamina Token;Token;0; ;Mission
Strength Token;Token;0; ;Mission
Strongbox;Strongbox;1E-05; ;Webshop
Strongbox Key;Key;10; ;Webshop
Summer Strongbox;Strongbox;1E-05; ;Looted
Tabtab Pet;Pet; ; ;Tamed
The Entropian, Issue 001;Real World Item;210; ;Auction
Tomtebloss;Handheld;0.01; ;Xmas Gift 2010
Tomtebloss Deluxe;Handheld;0.01; ;Xmas Gift 2010
Tomtebloss Superior;Handheld;0.01; ;Xmas Gift 2010
TRC Guest Pass;Misc Item;0.01; ;Looted
Treasure Map 1;Misc Item;0.01; ;Looted, Mined, Gift
Treasure Map 2;Misc Item;0.01; ;Looted, Mined, Gift
Treasure Map 3;Misc Item;0.01; ;Looted, Mined, Gift
Treasure Map 4;Misc Item;0.01; ;Looted, Mined
Treasure Map 5;Misc Item;0.01; ;Looted, Mined
Treasure Map 6;Misc Item;0.01; ;Looted, Mined
Treasure Map 7;Misc Item;0.01; ;Looted, Mined
Treasure Map 8;Misc Item;0.01; ;Looted, Mined
Treasure Map 9;Misc Item;0.01; ;Looted, Mined
Treasure Map 10;Misc Item;0.01; ;Looted, Mined
Treasure Resource Deed;Deed; ; ;Mining
Tuning Nano Adjuster;Upgrade Item;1; ;Looted
Tuning Nano Adjuster W01;Upgrade Item;1; ;Looted
Tuning Nano Adjuster W02;Upgrade Item;1; ;Looted
Tuning Nano Adjuster W03;Upgrade Item;1; ;Looted
Tuning Nano Adjuster W04;Upgrade Item;1; ;Looted
Tuning Nano Adjuster W05;Upgrade Item;1; ;Looted
Turrelion Essence;Misc item;0.01; ;Looted
TWEN Token;Token; ; ;Looted
Unique Green Atrox Queen Egg;Event;6.33;696969.00 PED;Looted
Valentines Chocolate;Misc Item; ; ;Valentines Gift 2011
Vellum;Mission item;0.0001; ;Mission
Vixen Android Deed;Pet; ; ;Tamed
Voice Chat Voucher;Voucher;120; ;Looted
Whiskers;Pet; ; ;StrongBox
Wiretap Device;Mission Item;11; ; 
WolperTinger Pet;Pet; ; ;Mission
Yau Kung Mun Pet;Pet; ; ;StrongBox
Yellow Heart Fireworks;Handheld;2; ;Strongbox
Yellow Star Fireworks;Handheld;2; ;Strongbox
Yog Hatchling Pet;Pet; ; ;Tamed
