Name;Type;Max.TT;Markup
Fusil Arabesque;Laser;132.00; 
Fusil Charade;Laser;164.00; 
Garys Pistol MK I (L);Laser;224.00; 
Genesis ArcSpark;Shortblades;1486.00;5000.00 PED
Genesis ArcSpark (L);Shortblades;186.00;103.00%
Genesis Bifrost;Shortblades;23168.00; 
Genesis Bifrost (L);Shortblades;274.00; 
Genesis Blizzard (L);Longblades;290.00; 
Genesis Corroder (L);Shortblades;159.00; 
Genesis Corroder, MM Edition (L);Shortblades;1.00; 
Genesis Dragons Breath;Longblades;13664.00; 
Genesis Dragons Breath (L);Longblades;287.00; 
Genesis Firefly;Shortblades;13664.00; 
Genesis Firefly (L);Shortblades;214.00;101.00%
Genesis Flash-Freeze (L);Longblades;405.00; 
Genesis Formacida (L);Longblades;360.00; 
Genesis Globstrosity (L);Longblades;400.00; 
Genesis High-Tension Resolver;Shortblades;20000.00; 
Genesis High-Tension Resolver (L);Shortblades;258.00; 
Genesis Icerage (L);Longblades;192.00; 
Genesis Icerage, E.L.M Edition (L);Longblades;1.00;3100.00%
Genesis Icerage, MM Edition (L);Longblades;1.00;8000.00%
Genesis Icicle (L);Shortblades;140.00; 
Genesis Niflheim;Longblades;23168.00; 
Genesis Niflheim (L);Longblades;373.00; 
Genesis Power Claw Mk. 1 (L);Power Fist;112.50; 
Genesis Power Claw Mk. 2 (L);Power Fist;125.00; 
Genesis Power Claw Mk. 3 (L);Power Fist;149.00; 
Genesis Power Claw Mk. 4 (L);Power Fist;161.00; 
Genesis Power Claw Mk. 5 (L);Power Fist;188.00; 
Genesis Power Claw Mk. 6 (L);Power Fist;251.00; 
Genesis Power Claw Mk. 6, FEN Edition;Power Fist;700.00; 
Genesis Prism of Destruction;Shortblades;26336.00; 
Genesis Prism Of Destruction (L);Shortblades;287.00; 
Genesis Rainbow Sword;Longblades;26336.00; 
Genesis Rainbow Sword (L);Longblades;393.00; 
Genesis Sparkbite (L);Longblades;320.00;120.00%
Genesis Sparkbite, E.L.M Edition (L);Longblades;1.00;6000.00%
Genesis Sparkbite, MM Edition (L);Longblades;1.00;1000.00%
Genesis Spitfire (L);Longblades;232.00; 
Genesis Star Battle Rifle;Laser; ; 
Genesis Star Eitri 100 (L);Laser; ;0.00%
Genesis Star Ivaldi I (L);Laser;51.00; 
Genesis Star Sindri I (L);Laser;20.00; 
Genesis Stingury;Shortblades;16832.00; 
Genesis Stingury (L);Shortblades;238.00; 
Genesis Sulfury;Longblades;16832.00; 
Genesis Sulfury (L);Longblades;320.00; 
Genesis Tesla Sword;Longblades;20000.00; 
Genesis Tesla Sword (L);Longblades;348.50; 
Genuine Design Clone GDC-97;BLP;124.00; 
GeoTrek AL15 Taurus (L);Laser;210.00;128.10%
GeoTrek AL17 Auriga (L);Laser;250.00; 
GeoTrek AL21 Canis;Laser;9704.00; 
GeoTrek AL21 Canis (L);Laser;318.00; 
GeoTrek AL22 Lupus (L);Laser;325.00; 
GeoTrek AL24 Scorpius;Laser;12476.00; 
GeoTrek AL24 Scorpius (L);Laser;335.00; 
GeoTrek AL26 Serpentis (L);Laser;409.00;150.00%
GeoTrek AL29 Felis (L);Laser;569.00;149.21%
GeoTrek H8 Mean (L);BLP;65.00; 
GeoTrek H15 Vile (L);BLP;122.00; 
GeoTrek H21 Scrof;Laser;7328.00;2500.00 PED
GeoTrek H21 Scrof (L);Laser;245.00;105.00%
GeoTrek H23 Crista;Laser;8912.00; 
GeoTrek H23 Crista (L);Laser;267.50; 
GeoTrek H24 Sin (L);BLP;192.00; 
GeoTrek H25 Mikus (L);Laser;282.00; 
GeoTrek H26 Elima (L);Laser;320.00; 
GeoTrek H27 Vilitus (L);Laser;325.40;200.00%
GeoTrek H28 Hokipus (L);Laser;388.00;140.00%
GeoTrek H29 Wretched (L);BLP;202.00; 
GeoTrek H30 Illum (L);Laser;503.00; 
GeoTrek H33 Uti (L);Laser;621.00; 
GeoTrek H35 Evil (L);BLP;215.00;133.00%
GeoTrek H36 Saou (L);Laser;597.00; 
GeoTrek H40 Brody;BLP;4160.00; 
GeoTrek H40 Brody (L);BLP;123.00; 
GeoTrek H41 Mina;BLP;6536.00; 
GeoTrek H41 Mina (L);BLP;230.00; 
GeoTrek H42 Demonic (L);BLP;235.00; 
GeoTrek H45 Ortso (L);BLP;295.00;150.00%
GeoTrek H46 Menes (L);BLP;370.00; 
GeoTrek H49 Poros (L);BLP;490.00;340.00%
GeoTrek H57 Kind (L);BLP;270.00; 
GeoTrek H73 Pure (L);BLP;340.00; 
GeoTrek H1051 Kisf (L);BLP;601.00; 
GeoTrek H1071 Otk (L);BLP; ; 
GeoTrek LH27 Rookie (L);Laser;155.00; 
GeoTrek LH57 Recruit (L);Laser;257.00; 
GeoTrek LH76 Sergeant (L);Laser;340.00; 
GeoTrek LP34 Whirlwind (L);BLP;208.00;133.00%
GeoTrek LP39 Gust (L);BLP;220.00;0.00%
GeoTrek LP43 Gale (L);BLP;229.00; 
GeoTrek LP47 Twister (L);BLP;276.00; 
GeoTrek LP53 Storm (L);BLP;306.00; 
GeoTrek LP58 Hurricane (L);BLP;312.00; 
GeoTrek LP63 Cyclone (L);BLP;315.00; 
GeoTrek LP120 Niloticus;BLP;2180.00; 
GeoTrek LP120 Niloticus (L);BLP;43.50;110.34%
GeoTrek LP175 Sphyra (L);BLP;65.00;118.46%
GeoTrek LP470 Manis (L);BLP;230.00;125.20%
GeoTrek LP485 Apis (L);BLP;205.00;128.00%
GeoTrek LP485 Apis, SGA Edition (L);BLP; ; 
GeoTrek LP510 Huo (L);BLP;379.00;240.00%
GeoTrek LP510 Huo, SGA Edition (L);BLP;379.00; 
GeoTrek LP525 Geke (L);BLP;412.00;160.00%
GeoTrek LP540 Tau (L);BLP;457.00; 
GeoTrek LP550 Eomon (L);BLP;1.00; 
Geotrek LR34 Aves (L);Laser;242.00;117.00%
GeoTrek LR47 Ursus (L);Laser;280.00; 
Ghetto Club (L);Clubs;10.00;24312.00%
Glinting Unity, TWEN Edition;BLP;300.00; 
Gravis GBP-32;BLP;125.00; 
Gravis GBP-34;BLP;140.00; 
Gravis GBP-35;BLP;130.00; 
Gravis GBP-35 Mk.II;BLP;135.00; 
Gravis GBR-23;BLP;110.00; 
Gravis GBR-30;BLP;145.00; 
Gravis GBR-34;BLP;170.00; 
Gravis GBR-34 Mk.II;BLP;170.00; 
Gravis GLP-27;Laser;180.00; 
Gravis GLP-31;Laser;140.00; 
Gravis GLP-33;Laser;165.00; 
Gravis GLP-36;Laser;160.00; 
Gravis GLR-26;Laser;172.00; 
Gravis GLR-27;Laser;135.00; 
Gravis GLR-29;Laser;195.00; 
Gravis GLR-33;Laser;195.00; 
Great Argonaut Claws, FEN Edition;Power Fist;175.00; 
Great Argonaut's Claws (L);Power Fist;290.00; 
Green Envy Star Stunna (L);BLP;25.00; 
Green Envy Sticky Laucher (L);Grenade;25.00; 
Green Envy Turrelion Spec Flamebather (L);BLP;25.00; 
Green Envy Xent Tech Freeze Ray (L);BLP;25.00; 
Grenade Launcher NGL-1;Grenade;20.00; 
Grindhouse Rodriguez (L);BLP;6.00; 
Grindhouse Sleaze (L);BLP;4.00; 
Grindhouse Striptease (L);BLP;10.00; 
Grindhouse Tarantino (L);BLP;8.00; 
Grunt Flamethrower (L);BLP;20.00;115.38%
Guide Marber, SGA Edition;Plasma;145.00;3000.00 PED
Heavy Porcupine HMAP-52 (L);BLP;28.00; 
Heavy Porcupine HMAP-V2 (L);BLP;28.00; 
Heavy Porcupine HMAP-V3 (L);BLP;28.00; 
Heimdall;Laser;123.00; 
Hel;Laser;154.00; 
Hel Death;Laser;175.00; 
Helen's Knife (L);Shortblades;22.00; 
Helicopter MMB AS-41 (L);Rocket;26.00; 
Hellhammer LDS-1;BLP;585.00; 
Herman ARK-0 (L);BLP;3.00;133.00%
Herman ARK-5 Desert (L);BLP;80.00;172.00%
Herman ARK-5 Desert MK.I (L);BLP;80.00; 
Herman ARK-6 Arctic (L);BLP;95.00; 
Herman ARK-6 Arctic MK.I (L);BLP;95.00; 
Herman ARK-6 Jungle (L);BLP;110.00;100.00%
Herman ARK-6 Jungle MK.I (L);BLP;110.00; 
Herman ARK-10 Smuggler;BLP;600.00;1000.00 PED
Herman ARK-11 (L);BLP;140.00; 
Herman ARK-16 (L);BLP;160.00; 
Herman ARK-20 Smuggler;BLP;1600.00; 
Herman ARK-21 Desert (L);BLP;180.00; 
Herman ARK-21 Desert MK.I (L);BLP;180.00; 
Herman ARK-22 Arctic (L);BLP;195.00; 
Herman ARK-22 Arctic MK.I (L);BLP;195.00; 
Herman ARK-23 Jungle (L);BLP;210.00;107.00%
Herman ARK-23 Jungle MK.I (L);BLP;210.00; 
Herman ARK-27 (L);BLP;240.00;125.00%
Herman ARK-30 Smuggler;BLP;3100.00;43000.00 PED
Herman ARK-31 Desert (L);BLP;260.00; 
Herman ARK-34 Desert (L);BLP;280.00;122.00%
Herman ARK-36 Arctic (L);BLP;295.00;144.00%
Herman ARK-38 Jungle (L);BLP;310.00;128.00%
Herman ARK-38 Jungle MK.I (L);BLP;310.00; 
Herman ARK-40 Smuggler;BLP;5100.00; 
Herman ARK-41 (L);BLP;325.00; 
Herman ARK-46 (L);BLP;340.00;126.00%
Herman ARK-50 Arctic (L);BLP;395.00;155.00%
Herman ARK-54 Desert (L);BLP;380.00;145.00%
Herman ARK-55 Jungle (L);BLP;400.00; 
Herman ARK-60 Jungle (L);BLP;410.00; 
Herman ARK-65 (L);BLP;440.00;125.00%
Herman ARK-70 Desert (L);BLP;480.00; 
Herman ARK-75 Arctic (L);BLP;495.00; 
Herman ARK-77 Jungle (L);BLP;510.00; 
Herman ARK-100 Prototype (L);BLP;200.00;100.00%
Herman ARK-300 Prototype (L);BLP;300.00;100.00%
Herman ARK-500 Prototype (L);BLP;400.00;130.00%
Herman ARK-R;BLP;2.50;300.00 PED
Herman ASI-0 (L);BLP;5.00;120.00%
Herman ASI-5 Arctic (L);BLP;30.00; 
Herman ASI-7 Arctic (L);BLP;40.00;115.00%
Herman ASI-7 Arctic MK.I (L);BLP;40.00; 
Herman ASI-7 Desert (L);BLP;35.00; 
Herman ASI-7 Desert MK.I (L);BLP;35.00; 
Herman ASI-7 Jungle (L);BLP;50.00; 
Herman ASI-7 Jungle MK.I (L);BLP;50.00; 
Herman ASI-10 Smuggler;BLP;600.00; 
Herman ASI-11 (L);BLP;65.00; 
Herman ASI-16 Arctic (L);BLP;80.00; 
Herman ASI-20 Smuggler;BLP;1600.00; 
Herman ASI-21 Arctic (L);BLP;95.00; 
Herman ASI-21 Arctic MK.I (L);BLP;95.00; 
Herman ASI-21 Desert (L);BLP;90.00;118.00%
Herman ASI-21 Desert MK.I (L);BLP;90.00; 
Herman ASI-21 Jungle (L);BLP;105.00;150.00%
Herman ASI-21 Jungle MK.I (L);BLP;105.00; 
Herman ASI-24 (L);BLP;120.00;159.00%
Herman ASI-27 Arctic (L);BLP;130.00; 
Herman ASI-30 Smuggler;BLP;3000.00; 
Herman ASI-32 Desert (L);BLP;145.00;120.00%
Herman ASI-32 Desert MK.I (L);BLP;145.00; 
Herman ASI-33 Arctic (L);BLP;150.00; 
Herman ASI-33 Arctic MK.I (L);BLP;150.00; 
Herman ASI-33 Jungle (L);BLP;160.00; 
Herman ASI-33 Jungle MK.I (L);BLP;160.00; 
Herman ASI-37 (L);BLP;175.00; 
Herman ASI-40 Smuggler;BLP;4800.00; 
Herman ASI-42 Desert (L);BLP;200.00; 
Herman ASI-44 Arctic (L);BLP;205.00; 
Herman ASI-44 Jungle (L);BLP;215.00;150.00%
Herman ASI-48 Desert (L);BLP;210.00; 
Herman ASI-50 Smuggler;BLP;7000.00; 
Herman ASI-53 Desert (L);BLP;215.00; 
Herman ASI-58 Desert (L);BLP;220.00; 
Herman ASI-63 (L);BLP;230.00; 
Herman ASI-70 Desert (L);BLP;255.00; 
Herman ASI-72 Arctic (L);BLP;260.00; 
Herman ASI-72 Jungle (L);BLP;270.00; 
Herman ASI-R;BLP;4.00;66.00 PED
Herman ASI TEN Edition;BLP;190.00;14995.00 PED
Herman ASI Trainer (L);BLP;0.75; 
Herman ASI Trainer MkI (L);BLP;0.75; 
Herman CAP-0 (L);Laser;5.00; 
Herman CAP-4 Desert (L);Laser;20.00; 
Herman CAP-7 Arctic (L);Laser;35.00;120.00%
Herman CAP-7 Arctic MK.I (L);Laser;35.00; 
Herman CAP-7 Desert (L);Laser;30.00; 
Herman CAP-7 Desert MK.I (L);Laser;30.00; 
Herman CAP-7 Jungle (L);Laser;40.00;120.00%
Herman CAP-7 Jungle MK.I (L);Laser;40.00; 
Herman CAP-10 Smuggler;Laser;590.00;115.00 PED
Herman CAP-12 (L);Laser;60.00; 
Herman CAP-20 Desert (L);Laser;85.00;118.00%
Herman CAP-20 Desert MK.I (L);Laser;85.00; 
Herman CAP-20 Smuggler;Laser;1500.00; 
Herman CAP-21 Jungle (L);Laser;100.00;118.00%
Herman CAP-21 Jungle MK.I (L);Laser;100.00; 
Herman CAP-22 Arctic (L);Laser;90.00;115.00%
Herman CAP-22 Arctic MK.I (L);Laser;90.00; 
Herman CAP-25 (L);Laser;110.00;128.00%
Herman CAP-28 Arctic (L);Laser;120.00; 
Herman CAP-30 Smuggler;Laser;2800.00; 
Herman CAP-32 Desert (L);Laser;135.00;121.00%
Herman CAP-33 Arctic (L);Laser;145.00;124.78%
Herman CAP-34 Jungle (L);Laser;150.00;118.00%
Herman CAP-34 Jungle MK.I (L);Laser;150.00; 
Herman CAP-35 (L);Laser;110.00;124.00%
Herman CAP-37 (L);Laser;165.00;143.00%
Herman CAP-40 Desert (L);Laser;175.00; 
Herman CAP-40 Smuggler;Laser;4500.00; 
Herman CAP-43 Desert (L);Laser;185.00; 
Herman CAP-44 Arctic (L);Laser;195.00;124.00%
Herman CAP-45 Jungle (L);Laser;200.00; 
Herman CAP-48 (L);Laser;205.00; 
Herman CAP-50 Smuggler;Laser;6600.00; 
Herman CAP-52 (L);Laser;210.00; 
Herman CAP-56 (L);Laser;220.00; 
Herman CAP-62 Desert (L);Laser;240.00; 
Herman CAP-64 Jungle (L);Laser;255.00; 
Herman CAP-65 Arctic (L);Laser;245.00; 
Herman CAP-R;Laser;4.00; 
Herman CAP-TT (L);Laser;3.00; 
Herman LAW-0 (L);Laser;3.00; 
Herman LAW-5 Arctic (L);Laser;80.00; 
Herman LAW-5 Arctic MK.I (L);Laser;80.00; 
Herman LAW-5 Desert (L);Laser;60.00;107.68%
Herman LAW-5 Desert MK.I (L);Laser;60.00; 
Herman LAW-6 Jungle (L);Laser;90.00;150.00%
Herman LAW-6 Jungle MK.I (L);Laser;90.00; 
Herman LAW-10 (L);Laser;100.00;120.00%
Herman LAW-10 Smuggler;Laser;400.00; 
Herman LAW-13 (L);Laser;115.00;128.00%
Herman LAW-16 Arctic (L);Laser;150.00; 
Herman LAW-20 Smuggler;Laser;1200.00;7500.00 PED
Herman LAW-21 Desert (L);Laser;170.00; 
Herman LAW-21 Desert MK.I (L);Laser;170.00; 
Herman LAW-22 Arctic (L);Laser;200.00; 
Herman LAW-22 Arctic MK.I (L);Laser;200.00; 
Herman LAW-23 Jungle (L);Laser;220.00;185.00%
Herman LAW-23 Jungle MK.I (L);Laser;220.00; 
Herman LAW-27 (L);Laser;215.00;121.71%
Herman LAW-30 Smuggler;Laser;2400.00; 
Herman LAW-32 (L);Laser;220.00; 
Herman LAW-37 Arctic (L);Laser;245.00; 
Herman LAW-40 Smuggler;Laser;4000.00;43000.00 PED
Herman LAW-42 Desert (L);Laser;260.00;107.00%
Herman LAW-42 Desert MK.I (L);Laser;260.00; 
Herman LAW-44 Arctic (L);Laser;290.00; 
Herman LAW-46 Jungle (L);Laser;310.00; 
Herman LAW-46 Jungle MK.I (L);Laser;310.00; 
Herman LAW-50 (L);Laser;315.00;115.00%
Herman LAW-50 Smuggler;Laser;6000.00; 
Herman LAW-51 Jungle (L);Laser;330.00; 
Herman LAW-56 Desert (L);Laser;340.00;150.00%
Herman LAW-58 Arctic (L);Laser;370.00; 
Herman LAW-60 Jungle (L);Laser;390.00; 
Herman LAW-66 (L);Laser;415.00; 
Herman LAW-71 Desert (L);Laser;410.00;150.00%
Herman LAW-75 Arctic (L);Laser;440.00; 
Herman LAW-77 Jungle (L);Laser;460.00; 
Herman LAW-R;Laser;2.50;300.00 PED
Herman LAW Trainer (L);Laser;2.00; 
Herman LAW Trainer MkI (L);Laser;1.00; 
Herman LAW-TT (L);Laser;4.00;0.00%
Herman PF-TT (L);Power Fist;10.00;100.00%
Herman RAW-101;Laser;100.00; 
Herman RAW-202;Laser;120.00; 
Herman RAW-202 Smuggler;Laser;700.00; 
Herman RAW-303;Laser;140.00; 
Herman RAW-303 Smuggler;Laser;1500.00; 
Herman RAW-404;Laser;160.00;3800.00 PED
Herman RAW-404 Smuggler;Laser;2700.00; 
Herman RAW-505;Laser;180.00; 
Herman RAW-505 Smuggler;Laser;4300.00; 
Herman SIR-10;BLP;120.00; 
Herman SIR-10 Smuggler;BLP;500.00; 
Herman SIR-20;BLP;140.00; 
Herman SIR-20 Smuggler;BLP;900.00; 
Herman SIR-30;BLP;160.00;3600.00 PED
Herman SIR-30 Smuggler;BLP;1700.00; 
Herman SIR-40;BLP;180.00;6500.00 PED
Herman SIR-40 Smuggler;BLP;2900.00; 
Herman SIR-50;BLP;200.00; 
Herman SIR-50 Smuggler;BLP;4500.00; 
Herman XBR-1 Chulan Edition;BLP;225.00; 
Herman XBR-2 Chulan Edition;BLP;250.00; 
Herman XLR Chulan Edition;Laser;350.00; 
Herman XP-1 Scanthi Edition;BLP;500.00; 
Hero's Sword;Longblades;102.00;900.00 PED
Hilqa Knife B-100 (L);Shortblades;9.00; 
Hilqa Knife M1 (L);Shortblades;11.00;0.00%
Hilqa Knife M2 (L);Shortblades;16.00;120.00%
Hilqa Knife M3 (L);Shortblades;22.00;109.00%
Hilqa Knife M4 (L);Shortblades;32.00; 
HK Series S-43 (L);BLP; ; 
HK Series S-50 (L);BLP;310.00; 
HK Series S-54 (L);BLP;320.00; 
HK Series S-57 (L);BLP;330.00; 
HK Series S-62 (L);BLP;340.00; 
Hojoom G1 (L);Laser;4.00;0.00%
Hojoom G2 (L);Laser;4.40; 
Hojoom G4 (L);Laser;10.00; 
Hojoom G5 (L);Laser; ; 
Hojoom G6 (L);Laser; ; 
Hojoom G7 (L);Laser;38.00; 
Hojoom H-1 (L);Laser;3.00; 
Holly ECO P14 (L);BLP;120.00; 
Holly ECO P18 (L);BLP;150.00; 
Holly ECO P22 (L);BLP;175.00; 
Holly ECO P26 (L);BLP; ; 
Holly ECO P30 (L);BLP;250.00; 
Holly ECO P35 (L);BLP; ; 
Holly ECO P41 (L);BLP;310.00; 
Holly ECO P48 (L);BLP;380.00; 
Holly ECO P56 (L);BLP; ; 
Holly ECO P64 (L);BLP;450.00; 
Holly ECO P72 (L);BLP;500.00; 
Holly ECO P80 (L);BLP;525.00; 
Holly ECO R14 (L);BLP;120.00;135.00%
Holly ECO R18 (L);BLP; ; 
Holly ECO R22 (L);BLP;175.00; 
Holly ECO R26 (L);BLP;200.00; 
Holly ECO R30 (L);BLP;250.00; 
Holly ECO R35 (L);BLP; ; 
Holly ECO R41 (L);BLP; ; 
Holly ECO R48 (L);BLP;380.00; 
Holly ECO R56 (L);BLP; ; 
Holly ECO R64 (L);BLP; ; 
Holly ECO R72 (L);BLP; ; 
Holly ECO R80 (L);BLP; ; 
Hyperion Aurora GR-1 (L);Gauss;5.00; 
Hyperion Aurora GR-1, Improved (L);Gauss;8.00; 
Hyperion Aurora GR-60 (L);Gauss;125.00; 
Hyperion Aurora GR-80 (L);Gauss;165.00; 
Hyperion Aurora OC-1 (L);Clubs;5.00; 
Hyperion Aurora OC-1, Improved (L);Clubs;8.00; 
Hyperion Aurora OC-20 (L);Club; ; 
Hyperion Aurora OC-50 (L);Clubs;105.00; 
Hyperion Aurora PF-1 (L);Power Fist;5.00; 
Hyperion Aurora PF-10 (L);Power Fist;25.00;128.00%
Hyperion Aurora PP-1 (L);Plasma;5.00; 
Hyperion Aurora PP-1, Improved (L);Plasma;8.00; 
Hyperion Aurora PP-30 (L);Plasma;65.00; 
Hyperion Aurora PP-50 (L);Plasma;105.00; 
Hyperion Aurora PP-60 (L);Plasma;125.00; 
Hyperion Aurora PR-1 (L);Plasma;5.00; 
Hyperion Aurora PR-1, Improved (L);Plasma;8.00; 
Hyperion Aurora PR-30 (L);Plasma;65.00;160.00%
Hyperion Aurora PR-40 (L);Plasma;85.00;144.00%
Hyperion Aurora PR-70 (L);Plasma;145.00; 
Hyperion Aurora PR-90 (L);Plasma;185.00; 
Hyperion Aurora TC-1 (L);Clubs;5.00; 
Ice Blue Star Stunna (L);BLP;25.00; 
Ice Blue Sticky Laucher (L);Grenade;25.00; 
Ice Blue Turrelion Spec Flamebather (L);BLP;25.00; 
Ice Blue Xent Tech Freeze Ray (L);BLP;25.00; 
Ice Club IX (L);Clubs;77.00; 
Ice Club VI (L);Clubs;41.00; 
Ice Club VII (L);Clubs;47.00; 
Ice Club VIII (L);Clubs;56.00; 
Ice Dagger II (L);Shortblades;22.00; 
Ice Dagger III (L);Shortblades;42.00; 
Ice Dagger IX (L);Shortblades;198.00; 
Ice Dagger VI (L);Shortblades;89.00;0.00%
Ice Dagger VII (L);Shortblades;111.00; 
Ice Dagger VIII (L);Shortblades;154.00; 
Ice Dagger X (L);Shortblades;333.00; 
Ice-ir;Laser;110.00; 
Icy HK (L);Laser;100.00; 
Ignite Chip 1 (L);Pyro;24.00; 
Ignite Chip 2 (L);Pyro;34.00; 
Ignite Chip 3 (L);Pyro;44.00; 
Ignite Chip 4 (L);Pyro;54.00; 
Ignite Chip 5 (L);Pyro;64.00; 
Imperial Lightning Maul (L); ; ; 
Imperial Shock Maul (L); ; ; 
