Name;Type;Value;Markup;Refines To;Amount;Source;Found on
Gradivore Textile;Refined Material;1.92; ; ; ;Refined;Planet Calypso
Gradivore Wool;Natural Material;0.64; ;Gradivore Textile;3;Looted;Planet Calypso
Graphene Composite;Upgrade Material;5; ; ; ;Looted;Planet Arkadia
Graphene Polymer;Upgrade Material;1;116.00%; ; ;Looted;Planet Arkadia
Grated Metal Texture;Texture Material;1.15; ; ; ;Crafted;Planet Calypso
Gray Cassette;Music Media;0.01;110.00%; ; ;Looted;ROCKtropia
Greater Claw;Robot Parts;0.04; ;Outstanding Calcium Compound;2;Looted;Planet Cyrene
Greater Power Crystal;Precious Stones;300; ; ; ;Looted, Refined;Planet Cyrene
Green Cassette;Music Media;0.02;241.31%; ; ;Looted;ROCKtropia
Green CD;Music Media;0.4;115.00%; ; ;Looted;ROCKtropia
Green Crystal;Enmatter;0.03;106.00%;Life Essence;2;Mined;Planet Cyrene
Green Crystal Texture;Texture Material;0.0533; ; ; ;Crafted;Planet Cyrene
Green Energized Glass;Natural Material;5; ; ; ;Looted;ROCKtropia
Green Neon Essence;Material;1;300.00%; ; ;Looted;Planet Toulan
Green Snake Skin Cloth;Refined Material; ; ; ; ;Refined;ROCKtropia
Green Snake Skin Raw;Natural Material; ; ; ; ;Looted;ROCKtropia
Grindhouse Rodriguez Death Vinyl;Generic Component;0.01; ; ; ;Looted;ROCKtropia
Grindhouse Sleaze Death Vinyl;Generic Component;0.01;120.00%; ; ;Looted;ROCKtropia
Grindhouse Striptease Death Vinyl;Generic Component;0.01;300.00%; ; ;Looted;ROCKtropia
Grindhouse Tarantino Death Vinyl;Generic Component;0.01; ; ; ;Looted;ROCKtropia
Grooved Metal Texture;Texture Material;0.58; ; ; ;Crafted;Planet Calypso
Growth Molecules;Enmatter;0.47;101.00%;Energized Fertilizer;1;Mined;Entropia Universe
Grunge Ingot;Refined Ore;0.12; ; ; ;Refined;ROCKtropia
Grunge Rock;Ore;0.04; ;Grunge Ingot;3;Mined, Looted;ROCKtropia
Hadraada DNA Cartridge;DNA; ; ; ; ;Refined;Planet Arkadia
Hadraada Flesh;DNA;2; ;Hadraada DNA Cartridge;3;Looted;Planet Arkadia
Hadraada Hide;Natural Material;0.25; ;Hadraada Leather;3;Looted;Planet Arkadia
Hadraada Leather;Refined Material;0.75; ; ; ;Refined;Planet Arkadia
Hadraada Leather Texture;Texture Material;0.18; ; ; ;Crafted;Planet Arkadia
Hadraada Long Bone;DNA;2; ;Hadraada DNA Cartridge;2;Looted;Planet Arkadia
Hadraada Lumbar Plate;Natural Material;0.2; ; ; ;Looted;Planet Arkadia
Hadraada Mandible;DNA;2; ;Hadraada DNA Cartridge;1;Looted;Planet Arkadia
Hadraada Skull Plate;DNA; ; ;Hadraada DNA Cartridge;1;Looted;Planet Arkadia
Hadraada Spinal Plate;Natural Material;2;100.00%; ; ;Looted;Planet Arkadia
Haimoros;Food;1E-05; ;Nutrio Bar;1,1,1;Found;Next Island
Haimoros Gel;Material;2; ; ; ;Refined;Planet Calypso
Hair Gel;Beauty;0.13;120.00%; ; ;Looted;Planet Calypso
Hair Spray;Beauty;0.06;120.00%; ; ;Looted;Planet Calypso
Halite Crystal;Crystal;0.05; ;Refined Halite Crystal;1;Looted;Next Island
Halix DNA Cartridge;DNA; ; ; ; ;Refined;Planet Arkadia
Halix Eye;DNA;2; ;Halix DNA Cartridge;2;Looted;Planet Arkadia
Halix Hide;Natural Material;0.05; ;Halix Leather;3;Looted;Planet Arkadia
Halix Leather;Refined Material;0.15; ; ; ;Refined;Planet Arkadia
Halix Leather Texture;Texture Material;0.04; ; ; ;Crafted;Planet Arkadia
Halix Leg;DNA;2; ;Halix DNA Cartridge;4;Looted;Planet Arkadia
Halix Leg Fur;Natural Material;0.5;300.00%; ; ;Looted;Planet Arkadia
Halix Mane;DNA;1; ;Halix DNA Cartridge;1;Looted;Planet Arkadia
Halix Skull;DNA; ; ;Halix DNA Cartridge;1;Looted;Planet Arkadia
Halix Tail;Natural Material;0.02;3000.00%; ; ;Looted;Planet Arkadia
Hammered Metal Texture;Texture Material;0.75; ; ; ;Crafted;Planet Calypso
Hansidian Ingot;Refined Ore;0.03;1300.00%; ; ;Refined;Entropia Universe
Hansidian Rock;Ore;0.01; ;Hansidian Ingot;3;Mined;Entropia Universe
Hardened Alloy;Metal Component;0.0416;129.70%; ; ;Crafted;Entropia Universe
Hardened Clips;Metal Component;0.0624;140.00%; ; ;Crafted;Entropia Universe
Hardened Foil;Metal Component;0.033;150.00%; ; ;Crafted;Entropia Universe
Hardened Metal Mountings;Metal Component;0.65;147.00%; ; ;Crafted;Entropia Universe
Hardened Metal Plating;Metal Component;0.2;150.00%; ; ;Crafted;Entropia Universe
Hardened Metal Ruds;Metal Component;0.4;115.00%; ; ;Crafted;Entropia Universe
Hardened Nuts;Metal Component;0.033; ; ; ;Crafted;Entropia Universe
Hardened Pipe;Metal Component;0.033; ; ; ;Crafted;Entropia Universe
Hardened Screws;Metal Component;0.08;141.82%; ; ;Crafted;Entropia Universe
Hardening Agent;Refined Enmatter;0.04; ;Good Calcium Compound;3,1,1;Refined;Planet Cyrene
Hard Ingot;Refined Ore;0.15;130.00%; ; ;Refined;ROCKtropia
Hard Rock;Ore;0.05; ;Hard Ingot;3,3;Mined, Looted;Hell
Hard Work Potion;Mechanical Component;0.05; ; ; ;Crafted;ROCKtropia
Hareer Thread;Refined Enmatter;0.24;122.00%; ; ;Refined;Planet Toulan
Harvey Wallbanger Cocktail;Refined Enmatter;0.08;103.00%; ; ;Refined;ROCKtropia
Harvey Wallbanger Cocktail Mix;Enmatter;0.04; ;Harvey Wallbanger Cocktail;2,2;Mined, Looted;Hell
Hazy Crystal;Enmatter;0.3; ;Reflecting Agent;2;Mined;Planet Cyrene
Hazy Crystal Texture;Texture Material;0.5; ; ; ;Crafted;Planet Cyrene
Healthy Halloween Pumpkin;Mission Item;0; ; ; ;Looted;Planet Calypso
Heating Agent;Refined Enmatter;1; ; ; ;Refined;Planet Cyrene
Heat Protective Coating;Mechanical Component;0.7; ; ; ;Crafted;Planet Cyrene
Heat Shields;Metal Component;0.75;146.00%; ; ;Crafted;Planet Arkadia
Heavy Duty Core;Mechanical Component;0.05;130.00%; ; ;Crafted;Entropia Universe
Heavy-Duty Coupling;Mechanical Component;0.07; ; ; ;Crafted;Entropia Universe
Heavy-Duty Engine;Mechanical Component;0.04; ; ; ;Crafted;Entropia Universe
Heavy Duty Filters;Mechanical Component;0.04; ; ; ;Crafted;Entropia Universe
Heavy-Duty Joints;Mechanical Component;0.04; ; ; ;Crafted;Entropia Universe
Heavy-Duty Particle Sample;Electronic Component; ; ; ; ;Crafted;Planet Arkadia
Heavy-Duty Seals;Mechanical Component;0.08;130.00%; ; ;Crafted;Entropia Universe
Heavy Power Cell;Construction Material;5; ; ; ;Crafted;Planet Cyrene
Hebredite Ingot;Refined Ore;0.75;103.00%; ; ;Refined;Planet Arkadia
Hebredite Stones;Ore;0.25; ;Hebredite Ingot;3;Mined;Planet Arkadia
Hebredite Texture;Texture Material;0.3; ; ; ;Crafted;Planet Arkadia
Hekia Texture;Texture Material;0.06; ; ; ;Crafted;Planet Arkadia
Hekia Timber;Wood;0.15; ;Hekia Veneer;1/15;Looted;Planet Arkadia
Hekia Veneer;Wood Component;0.01; ; ; ;Refined;Planet Arkadia
Helen Venture's Walking Stick;Metal Component;0.1; ; ; ;Crafted;Next Island
Hematite Crystal;Crystal;0.01; ;Refined Hematite Crystal;1;Looted;Next Island
Hemimorphite Crystal;Crystal;0.02;0.00%;Refined Hemimorphite Crystal;1;Looted;Next Island
Hendrix Claw;Natural Material;0.5; ; ; ;Looted;ROCKtropia
Hendrix Dragon Leather;Refined Material;0.9; ; ; ;Refined;ROCKtropia
Hendrix Dragon Texture;Texture Material;0.15; ; ; ;Crafted;ROCKtropia
Hendrix Hide;Natural Material;0.3; ;Hendrix Dragon Leather;3;Looted;ROCKtropia
Hendrix Tail;Natural Material;0.8; ; ; ;Looted;ROCKtropia
Henren Cube;Refined Enmatter;1.26;200.00%; ; ;Refined;Entropia Universe
Henren Stems;Enmatter;0.63; ;Galvesperdite Ingot;2,2;Mined;Entropia Universe
Hessian Fabric Texture;Texture Material;0.04; ; ; ;Crafted;Planet Calypso
Hexra Electroplate;Refined Treasure;0.3; ; ; ;Refined;Planet Arkadia
Hexra Gems;Treasure;0.1; ;Hexra Electroplate;3;Mined;Planet Arkadia
High Definition GUI Component;Enhancer Component;0.3;110.00%; ; ;Looted;Planet Arkadia
High Grade Alloy;Metal Component;0.128; ; ; ;Crafted;Entropia Universe
High Grade Bearings;Metal Component;0.32;180.00%; ; ;Crafted;Entropia Universe
High Grade Electronic Component;Electronic Component;0.02; ; ; ;Looted;Planet Cyrene
High Grade Metal Compound;Refined Material;0.45; ; ; ;Refined;Planet Cyrene
High Grade Motion Sensor;Robot Parts;0.052; ;High Grade Processor;2;Looted;Planet Cyrene
High Grade Nuts;Metal Component;0.08; ; ; ;Crafted;Entropia Universe
High Grade Plugs;Metal Component;0.3;247.00%; ; ;Crafted;Entropia Universe
High Grade Power Supply;Electronic Component;0.09; ; ; ;Looted;Planet Cyrene
High Grade Processor;Robot Parts;0.264; ; ; ;Looted;Planet Cyrene
High Grade Scrap;Robot Parts;0.18; ;High Grade Metal Compound;1;Looted;Planet Cyrene
High Grade Screws;Metal Component;0.18; ; ; ;Crafted;Entropia Universe
High Grade Wedge;Metal Component;0.107; ; ; ;Crafted;Entropia Universe
Highlighter;Make Up;10;129.00%; ; ;Looted;Entropia Universe
High Performance Compressor;Mechanical Component;0.128; ; ; ;Crafted;Entropia Universe
High Performance Coupling;Mechanical Component;0.0224; ; ; ;Crafted;Entropia Universe
High Performance Engine;Mechanical Component;0.32;180.00%; ; ;Crafted;Entropia Universe
High Performance Filters;Mechanical Component;0.06; ; ; ;Crafted;Entropia Universe
High Performance Pump;Mechanical Component;0.06; ; ; ;Crafted;Entropia Universe
High Performance Vents;Mechanical Component;0.06; ; ; ;Crafted;Entropia Universe
High Speed Control Component;Enhancer Component;0.1;104.00%; ; ;Looted;Planet Calypso
High-Tech Talytic Converters;Metal Component;2.8; ; ; ;Crafted;Entropia Universe
Himi Ingot;Refined Ore;0.426;180.00%; ; ;Refined;Entropia Universe
Himi Rock;Ore;0.142; ;Himi Ingot;3;Mined;Entropia Universe
Himi Texture;Texture Material;0.34; ; ; ;Crafted;Planet Calypso
Hiryuu Skull;Natural Material;28;900.00 PED; ; ;Looted;Planet Calypso
Hogglo DNA Samples;DNA;29.15; ; ; ;Refined;Planet Calypso
Hogglo Pelvis;DNA;4; ; ; ;Looted;Planet Calypso
Hogglo Tooth;DNA;2;4500000.00%; ; ;Looted;Planet Calypso
Holiday Magic;Natural Material; ; ; ; ;Looted;Planet Cyrene
Holiday Plaid Texture;Texture Material; ; ; ; ;Crafted;Planet Cyrene
Holiday Traditional Texture;Texture Material; ;1179.00%; ; ;Crafted;Planet Cyrene
Holly ECO P35 Death Vinyl;Natural Material;0.01; ; ; ;Looted;ROCKtropia
Holly ECO P56 Death Vinyl;Natural Material;0.01; ; ; ;Looted;ROCKtropia
Holly ECO P72 Death Vinyl;Natural Material;0.01; ; ; ;Looted;ROCKtropia
Horn;Natural Material;4.7; ; ; ;Looted;Planet Cyrene
Horned Mutant Skull;Natural Material;8.5; ; ; ;Looted;Planet Calypso
Horny Devil Tail;Natural Material;0.01; ; ; ;Looted;Hell
Hoverboard High Power Board;Electronic Component;2; ; ; ;Crafted;ROCKtropia
Hoverboard High Power Pod;Electronic Component;2; ; ; ;Crafted;ROCKtropia
Hoverboard Low Power Board;Electronic Component;1; ; ; ;Crafted;ROCKtropia
Hoverboard Low Power Pod;Electronic Component;1; ; ; ;Crafted;ROCKtropia
Hoverboard Mid Power Board;Electronic Component;1.5; ; ; ;Crafted;ROCKtropia
Hoverboard Mid Power Pod;Electronic Component;1.5; ; ; ;Crafted;ROCKtropia
Howlite Crystal;Crystal;0.05;104.00%;Refined Howlite Crystal;1;Looted;Next Island
Human Skull;Natural Material;21; ; ; ;Looted;Planet Calypso
Huon Foot;Natural Material;0.6;110.00%; ; ;Looted;Planet Arkadia
Huon Hide;Natural Material;1.2; ;Huon Leather;3;Looted;Planet Arkadia
Huon Leather;Refined Material;3.6; ; ; ;Refined;Planet Arkadia
Huon Leather Texture;Texture Material;0.84; ; ; ;Crafted;Planet Arkadia
Huon Tail Spike;Natural Material;3.8; ; ; ;Looted;Planet Arkadia
Hurricane Cocktail;Refined Enmatter;0.02;110.00%; ; ;Refined;ROCKtropia
Hurricane Cocktail Mix;Enmatter;0.01; ;Hurricane Cocktail;2,2;Mined;Hell
Hyalite Crystal;Crystal;0.08; ;Refined Hyalite Crystal;1;Looted;Next Island
Hydrogen Gas;Refined Enmatter;0.04;104.00%; ; ;Refined;Planet Arkadia
Hydrogen Steam;Enmatter;0.02; ;Hydrogen Gas;2;Mined, Looted;Planet Arkadia
Ignisium Ingot;Refined Ore;2.1;158.00%; ; ;Refined, Looted;Entropia Universe
Ignisium Stone;Ore;0.7; ;Ignisium Ingot;3;Looted, Mined;Entropia Universe
Ignisium Texture;Texture Material;0.9; ; ; ;Crafted;Planet Calypso
Imperium Bearings;Mechanical Component;0.55; ; ; ;Crafted;Planet Cyrene
Imperium Compression Unit;Mechanical Component;0.55; ; ; ;Crafted;Planet Cyrene
Imperium Control Sensor;Construction Material;0.55; ; ; ;Crafted;Planet Cyrene
Imperium Cube;Mechanical Component;0.5;135.00%; ; ;Refined;Planet Cyrene
Imperium Cube Component 1;Mechanical Component;0.1; ;Imperium Cube;1;Crafted;Planet Cyrene
Imperium Cube Component 2;Mechanical Component;0.1; ;Imperium Cube;1;Crafted;Planet Cyrene
Imperium Cube Component 3;Mechanical Component;0.1; ;Imperium Cube;1;Crafted;Planet Cyrene
Imperium Cube Component 4;Mechanical Component;0.1; ;Imperium Cube;1;Crafted;Planet Cyrene
Imperium Cube Component 5;Mechanical Component;0.1; ;Imperium Cube;1;Crafted;Planet Cyrene
Imperium Key Cube;Key Item;0.525;200.00%; ; ;Crafted;Planet Cyrene
Imperium Servo;Mechanical Component;0.55; ; ; ;Crafted;Planet Cyrene
Improved Nanites;Upgrade Material;1; ; ; ;Looted, Mined;Planet Arkadia
Infected Source Code;Material;0.25; ; ; ;Looted;Hell
Inferior Cloth Extractor;Texture Extractor;0.01;120.00%; ; ;Looted;Planet Calypso
Infrasound Amplifier Component;Enhancer Component;0.5;160.00%; ; ;Looted;Planet Calypso
Infrasound Emitter Component;Enhancer Component;0.4;107.00%; ; ;Looted;Planet Calypso
Inhaler;Refined Enmatter;0.8; ; ; ;Refined;Entropia Universe
Insight Potion;Mechanical Component;0.65; ; ; ;Crafted;ROCKtropia
Insulators;Electronic Component;0.2;140.00%; ; ;Crafted;Planet Arkadia
Intact Eye;Natural Material;0.17;3112.00%; ; ;Looted;Planet Cyrene
Intensity Amplifier;Electronic Component;3.5; ; ; ;Crafted;Planet Arkadia
Interactive Simplifier Component;Enhancer Component;0.3;102.00%; ; ;Looted;Planet Calypso
Iolite Crystal;Crystal;0.03; ; ; ; ; 
Iolite Ingot;Refined Ore;0.6;118.00%; ; ;Refined;Entropia Universe
Iolite Stone;Ore;0.2; ;Iolite Ingot;3;Mined;Entropia Universe
Iridium Ingot;Refined Ore;0.15;120.00%; ; ; ;Planet Cyrene
Iridium Ore;Ore;0.05; ;Iridium Ingot;3;Mined;Planet Cyrene
Iron Ingot;Refined Ore;0.39;103.00%; ; ;Refined;Entropia Universe
Iron Stone;Ore;0.13;106.00%;Iron Ingot;3,3;Looted, Mined;Entropia Universe
Iron Texture;Texture Material;0.33; ; ; ;Crafted;Planet Calypso
Itumatrox Leather;Refined Material;1.05; ; ; ;Refined;Planet Calypso
Itumatrox Leather Texture;Texture Material;1.05; ; ; ;Crafted;Planet Calypso
Itumatrox Skin;Natural Material;0.35;155.00%;Itumatrox Leather;3;Looted;Planet Calypso
Jade;Precious Stones;84; ; ; ;Looted;Entropia Universe
Jade Fragment;Fragment;0.2; ; ; ;Mission;Planet Cyrene
Jagged Tooth;Natural Material;0.02; ; ; ;Looted;Planet Cyrene
Jasper;Precious Stones;68; ;Pile of Jasper;1/170;Looted;Entropia Universe
Jazz Ingot;Refined Ore;0.18;150.00%; ; ;Refined;ROCKtropia
Jazz Rock;Ore;0.06; ;Jazz Ingot;3;Mined;ROCKtropia
Jeef Core Unit;Material;0.2;169.00%; ; ;Refined;Planet Toulan
Jeef Dye;Refined Material;0.16;113.00%; ; ;Refined;Planet Toulan
Jeef Nawa Core Part;Natural Material;0.05;169.00%;Jeef Core Unit;4;Looted;Planet Toulan
Jeef Pigments;Natural Material;0.04;113.00%;Jeef Dye;4;Looted;Planet Toulan
Jeef Qaher Hide;Natural Material;0.19;145.00%;Jeef Qaher Leather;2;Looted;Planet Toulan
Jeef Qaher Leather;Refined Material;0.38;145.00%; ; ;Refined;Planet Toulan
Jeef Soup;Natural Material;0.04; ; ; ;Looted;Planet Toulan
Jeef Zajer Hide;Natural Material;0.12;162.00%;Jeef Zajer Leather;4;Looted;Planet Toulan
Jeef Zajer Leather;Refined Material;0.48;162.00%; ; ;Refined;Planet Toulan
Jeef Zajer Texture;Texture Material;0.13;184.00%; ; ;Crafted;Planet Toulan
Jelly Baby Texture;Texture Material;0.006;1152.00%; ; ;Crafted;Planet Toulan
Jellyworm Hide;Natural Material;0.075; ;Jellyworm Leather;3;Looted;Planet Cyrene
Jellyworm Leather;Refined Material;0.225; ; ; ;Refined;Planet Cyrene
Jellyworm Leather Texture;Texture Material;0.075; ; ; ;Crafted;Planet Cyrene
Joplin Claw;Natural Material;0.5; ; ; ;Looted;ROCKtropia
Joplin Dragon Leather;Refined Material;3; ; ; ;Refined;ROCKtropia
Joplin Dragon Texture;Texture Material;0.3; ; ; ;Crafted;ROCKtropia
Joplin Hide;Natural Material;1; ;Joplin Dragon Leather;3;Looted;ROCKtropia
Joplin Tail;Natural Material;0.4; ; ; ;Looted;ROCKtropia
Joplin Wing;Natural Material;1; ; ; ;Looted;ROCKtropia
Jori Hide;Natural Material;0.03; ;Jori Leather;3;Looted;Planet Arkadia
Jori Leather;Refined Material;0.09; ; ; ;Refined;Planet Arkadia
Jori Leather Texture;Texture Material;0.03; ; ; ;Crafted;Planet Arkadia
Jori Pectoral Fin;Natural Material;0.25; ; ; ;Looted;Planet Arkadia
Kadra Claw;Natural Material;3.2; ; ; ;Looted;Planet Arkadia
Kadra Eye;Natural Material;0.18;380.00%; ; ;Looted;Planet Arkadia
Kadra Hide;Natural Material;1; ;Kadra Leather;3;Looted;Planet Arkadia
Kadra Leather;Refined Material;3; ; ; ;Refined;Planet Arkadia
Kadra Leather Texture;Texture Material;0.72; ; ; ;Crafted;Planet Arkadia
Kaisenite Ingot;Refined Ore;0.06;109.00%;Pure Choroid;1;Refined;Planet Cyrene
Kaisenite Stone;Ore;0.02; ;Kaisenite Ingot;3;Mined, Looted;Planet Cyrene
Kaldon;Natural Material;1E-05; ; ; ;Found;Planet Arkadia
Kaldon Stone Texture;Texture Material;0.03; ; ; ;Crafted;Planet Calypso
Kamaldon Bone Crest;DNA;3; ;Kamaldon DNA Cartridge;1;Looted;Planet Arkadia
Kamaldon DNA Cartridge;DNA; ; ; ; ;Refined;Planet Arkadia
Kamaldon Flesh;DNA;3; ;Kamaldon DNA Cartridge;5;Looted;Planet Arkadia
Kamaldon Hide;Natural Material;2.4; ;Kamaldon Leather;3;Looted;Planet Arkadia
Kamaldon Leather;Refined Material;7.2; ; ; ;Refined;Planet Arkadia
Kamaldon Leather Texture;Texture Material;1.68; ; ; ;Crafted;Planet Arkadia
Kamaldon Lower Mandible;Natural Material;0.6; ; ; ;Looted;Planet Arkadia
Kamaldon Tail Club;DNA; ; ;Kamaldon DNA Cartridge;1;Looted;Planet Arkadia
Kamaldon Tongue;DNA;2; ;Kamaldon DNA Cartridge;1;Looted;Planet Arkadia
Kamaldon Upper Mandible;Natural Material;4.5; ; ; ;Looted;Planet Arkadia
Kamikaze Cocktail;Refined Enmatter;0.17;110.00%; ; ;Refined;ROCKtropia
Kamikaze Cocktail Mix;Enmatter;0.085; ;Kamikaze Cocktail;2;Mined, Looted;ROCKtropia
Kanerium Ingot;Refined Ore;7.5;165.00%; ; ;Refined;Entropia Universe
Kanerium Ore;Ore;2.5;135.00%;Kanerium Ingot;3;Looted, Mined;Planet Calypso
Kanerium Texture;Texture Material;2.7; ; ; ;Crafted;Planet Calypso
Kaz Ingot;Refined Ore;0.12;104.00%; ; ;Refined;Planet Arkadia
Kaz Stones;Ore;0.04; ;Kaz Ingot;3;Mined, Looted;Planet Arkadia
Kaz Texture;Texture Material;0.22; ; ; ;Crafted;Planet Arkadia
Kevin Rudolf - In The City Flip Flop;Music Media;0.2; ; ; ;Looted;ROCKtropia
Kevin Rudolf - To The Sky Flip Flop;Music Media;0.13; ; ; ;Looted;ROCKtropia
Khaffash Bone;Natural Material;0.11;130.00%; ; ;Looted;Planet Toulan
Khaffash Hide;Natural Material;0.1;103.00%;Khaffash Leather;3;Looted;Planet Toulan
Khaffash Jaw;Natural Material;0.15; ; ; ;Looted;Planet Toulan
Khaffash Leather;Refined Material;0.3;110.00%; ; ;Refined;Planet Toulan
Khaffash Texture Skin;Texture Material;0.1;113.00%; ; ;Crafted;Planet Toulan
Khorudoul Extrusion;Treasure;0.08; ;Khorudoul Polymer;3;Mined;Planet Arkadia
Khorudoul Polymer;Refined Treasure;0.24;103.50%; ; ;Refined;Planet Arkadia
Khorudoul Texture;Texture Material;0.4; ; ; ;Crafted;Planet Arkadia
Khorum Alloy;Treasure;0.2; ;Khorum Plating;3;Mined;Planet Arkadia
Khorum Plating;Refined Treasure;0.6;104.00%; ; ;Refined;Planet Arkadia
Khorum Texture;Texture Material;1; ; ; ;Crafted;Planet Arkadia
Kiana Brain;DNA; ; ;Kiana DNA Cartridge;1;Looted;Planet Arkadia
Kiana DNA Cartridge;DNA; ; ; ; ;Refined;Planet Arkadia
Kiana Ear;Natural Material;0.24;106.00%; ; ;Looted;Planet Arkadia
Kiana Heart;DNA;4; ;Kiana DNA Cartridge;2;Looted;Planet Arkadia
Kiana Hide;Natural Material;0.6; ;Kiana Leather;3;Looted;Planet Arkadia
Kiana Leather;Refined Material;1.8; ; ; ;Refined;Planet Arkadia
Kiana Leather Texture;Texture Material;0.48; ; ; ;Crafted;Planet Arkadia
Kiana Paw;Natural Material;2.5; ; ; ;Looted;Planet Arkadia
Kiana Spine;DNA;3; ;Kiana DNA Cartridge;1;Looted;Planet Arkadia
Kiana Tail;DNA;1; ;Kiana DNA Cartridge;1;Looted;Planet Arkadia
King Kong Map Fragment: Coast;Material;1; ;Kong Map;1;Looted;ROCKtropia
King Kong Map Fragment: Hills;Material;1; ;Kong Map;1;Looted;ROCKtropia
King Kong Map Fragment: Jungle;Material;1; ;Kong Map;1;Looted;ROCKtropia
King Kong Map Fragment: Legend;Material;1; ;Kong Map;1;Looted;ROCKtropia
King Kong Map Fragment: Ocean;Material;1; ;Kong Map;1;Looted;ROCKtropia
King Kong Map Fragment: Symbol;Material;1; ;Kong Map;1;Looted;ROCKtropia
King Kong Map Fragment: X;Material;1; ;Kong Map;1;Looted;ROCKtropia
Kirtz Ingot;Refined Ore;16.8; ; ; ;Refined;Entropia Universe
Kirtz Stone;Ore;5.6; ;Kirtz Ingot;3;Mined;Entropia Universe
Kirtz Texture;Texture Material;5.8; ; ; ;Crafted;Planet Calypso
Kong Map;Refined Material;7; ; ; ;Refined;ROCKtropia
Korwil Brain;DNA; ; ;Korwil DNA Cartridge;1;Looted;Planet Arkadia
Korwil DNA Cartridge;DNA; ; ; ; ;Refined;Planet Arkadia
Korwil Ear;Natural Material;0.6;110.00%; ; ;Looted;Planet Arkadia
Korwil Heart;DNA;4; ;Korwil DNA Cartridge;2;Looted;Planet Arkadia
Korwil Hide;Natural Material;1.8; ;Korwil Leather Texture Blueprint;3;Looted;Planet Arkadia
Korwil Leather Texture;Texture Material;1.2; ; ; ;Crafted;Planet Arkadia
Korwil Leather Texture Blueprint;Refined Material;5.4;106.73%; ; ;Refined;Planet Arkadia
Korwil Paw;Natural Material;4.2; ; ; ;Looted;Planet Arkadia
Korwil Spine;DNA;4; ;Korwil DNA Cartridge;1;Looted;Planet Arkadia
Korwil Tail;DNA;1; ;Korwil DNA Cartridge;1;Looted;Planet Arkadia
Kreltin Soft Plate;Natural Material;3.5; ; ; ;Looted;Crystal Palace
