Name;Type;Value;Markup;Refines To;Amount;Source;Found on
Amethyst Crystal;Crystal;0.02; ;Refined Amethyst Crystal;1;Looted;Next Island
Ametrine;Precious Stones;130;103.00%; ; ;Looted;Planet Calypso
Ametrine Crystal;Crystal; ; ;Refined Ametrine Crystal;1;Looted;Next Island
Ammo (High Grade);Consumable;0.0001; ; ; ;TT, Looted;Hunt The THING
Ammo (Low Grade);Consumable;0.0001;117.00%; ; ;TT, Looted;Hunt The THING
Ammolite Crystal;Crystal;0.7; ;Refined Ammolite Crystal;1;Looted;Next Island
Ammolite Texture;Texture Material;0.05; ; ; ;Crafted;Next Island
Ancient Carpet Fragment Blue;Material;1;200.00%; ; ;Looted;Planet Toulan
Ancient Carpet Fragment Green;Material;0.1;200.00%; ; ;Looted;Planet Toulan
Ancient Carpet Fragment Red;Material;0.01;1520.00%; ; ;Looted;Planet Toulan
Angelic Flakes;Refined Enmatter;1;117.00%;Bombardo Flakes;1;Refined;Planet Calypso
Angelic Grit;Enmatter;0.5;110.11%;Angelic Flakes;2,2;Looted, Mined;Planet Calypso
Angelite Crystal;Crystal;0.1;105.00%;Refined Angelite Crystal;1;Looted;Next Island
Angel Scales;Enmatter;0.01;1800.00%;Light Mail;2;Mined;Planet Calypso
Angle;Wood Component;0.56; ; ; ;Crafted;Planet Calypso
Anhydrite Crystal;Crystal;0.04; ;Refined Anhydrite Crystal;1;Looted;Next Island
Animal Adrenal Oil;Animal Oils;0.2;101.00%;Alien Biogenic Gel;500;Looted;Entropia Universe
Animal Brain Oil;Animal Oils;19;115.79%; ; ;Looted;Planet Calypso
Animal Essence;Natural Material;0.01;150.00%; ; ;Stable;Entropia Universe
Animal Essence Rare;Natural Material;0.01;110000.00%; ; ;Stable;Entropia Universe
Animal Eye Oil;Animal Oils;0.05;100.90%; ; ;Looted;Entropia Universe
Animal Heart Oil;Animal Oils;10;109.10%; ; ;Looted;Planet Calypso
Animal Hide;Natural Material;0.01;104.13%;Generic Leather;3;Looted;Entropia Universe
Animal Kidney Oil;Animal Oils;2;100.90%; ; ;Looted;Planet Calypso
Animal Liver Oil;Animal Oils;1;100.60%; ; ;Looted;Planet Calypso
Animal Muscle Oil;Animal Oils;0.03;101.00%;Solares Ingot;8;Looted;Entropia Universe
Animal Oil Residue;Residue;0.01;100.50%; ; ;Looted,Crafting;Entropia Universe
Animal Pancreas Oil;Animal Oils;0.5;100.80%; ; ;Looted;Entropia Universe
Animal Spleen Oil;Animal Oils;5;105.00%; ; ;Looted;Planet Calypso
Animal Thyroid Oil;Animal Oils;0.1;101.00%;Aumorphite Ingot;2,6,5;Looted;Entropia Universe
Anti-Glare Spray;Construction Material;0.16; ; ; ;Crafted;Planet Cyrene
Antimagnetic Oil;Refined Enmatter;2;250.00%; ; ;Refined;Entropia Universe
Apatite Crystal;Crystal;0.03; ;Refined Apatite Crystal;1;Looted;Next Island
Apophyllite Crystal;Crystal;0.61;115.00%;Refined Apophyllite Crystal;1;Looted;Next Island
Aqeeq Ingot;Refined Ore;0.06;141.07%; ; ;Refined;Planet Toulan
Aqeeq Stone;Ore;0.02;141.00%;Aqeeq Ingot;3;Mined;Planet Toulan
Aqeeq Texture;Texture Material;0.08;135.00%; ; ;Crafted;Planet Toulan
Aquatic Gland;Material;0.2; ; ; ;Looted;Planet Calypso
Arabesque Texture;Texture Material;0.04;341.00%; ; ;Crafted;Planet Toulan
Aragonite Crystal;Crystal;0.01; ;Refined Aragonite Crystal;1;Looted;Next Island
Araneatrox Claw;Natural Material;1; ; ; ;Looted;Planet Calypso
Araneatrox Leather;Refined Material;15; ; ; ;Refined;Planet Calypso
Araneatrox Leather Texture;Texture Material;6.35; ; ; ;Crafted;Planet Calypso
Araneatrox Skin;Natural Material;5; ;Araneatrox Leather;3;Looted;Planet Calypso
Araneatrox Skull;Natural Material;68.5;10600.00 PED; ; ;Looted;Planet Calypso
Arc;Wood Component;0.8; ; ; ;Crafted;Planet Calypso
Arekite Ingot;Refined Ore;0.3; ; ; ;Refined;Planet Arkadia
Arekite Stone;Ore;0.1; ;Arekite Ingot;3;Mined;Planet Arkadia
Ares Head;Enmatter;0.26;108.73%;Ares Powder;4,2,4,2;Mined;Planet Arkadia
Ares Powder;Refined Enmatter;0.52;114.00%; ; ;Refined;Planet Calypso
Argonaut Bone;DNA;0.01; ;Argonaut DNA samples; ;Looted;Planet Calypso
Argonaut Claw Big;DNA;0.04; ;Argonaut DNA samples; ;Looted;Planet Calypso
Argonaut Claw Small;DNA;0.02; ;Argonaut DNA samples; ;Looted;Planet Calypso
Argonaut DNA samples;DNA;8; ; ; ;Refined;Planet Calypso
Argonaut Fang;DNA;0.02;3500.00%;Argonaut DNA samples; ;Looted;Planet Calypso
Argonaut Fractured Skull;Natural Material;4; ; ; ;Looted;Planet Calypso
Argonaut Leather;Refined Material;2.7;109.66%; ; ;Refined;Planet Calypso
Argonaut Leather Texture;Texture Material;0.46; ; ; ;Crafted;Planet Calypso
Argonaut Skin;Natural Material;0.9; ;Argonaut Leather;3;Looted;Planet Calypso
Argonaut Skull;Natural Material;6; ; ; ;Looted;Planet Calypso
Arkace Texture;Texture Material;0.04; ; ; ;Crafted;Planet Arkadia
Arkace Timber;Wood;0.1;109.71%;Arkace Veneer;1/10;Looted;Planet Arkadia
Arkace Veneer;Wood Component;0.01; ; ; ;Refined;Planet Arkadia
Arkadian Golden Key Barrel;Treasure;18;179.00%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Bearings;Treasure;2;133.64%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Codex Chamber;Treasure;40;120.00%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Cog;Treasure;10;158.50%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Gears;Treasure;1;200.00%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Housing;Treasure;30;166.67%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Inner Ring;Treasure;20;105.00%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Interface;Treasure;12;104.00%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Outer Ring;Treasure;30;206.67%; ; ;Looted;Planet Arkadia
Arkadian Golden Key Power Source;Treasure;6;111.33%; ; ;Looted;Planet Arkadia
Arkadian Hornet Hide;Natural Material;0.02;0.00%;Arkadian Hornet Leather;3;Looted;Planet Arkadia
Arkadian Hornet Leather;Refined Material;0.06; ; ; ;Refined;Planet Arkadia
Arkadian Hornet Leather Texture;Texture Material;0.01; ; ; ;Crafted;Planet Arkadia
Arkoin;Coins;0.01; ; ; ;Instance, Looted;Planet Arkadia
Armax (bull) DNA Samples;DNA;13; ; ; ;Refined;Planet Calypso
Armax (cow) DNA Samples;DNA;11; ; ; ;Refined;Planet Calypso
Armax Bull Tail;DNA;3.2; ; ; ;Looted;Planet Calypso
Armax Cow Tail;DNA;2.7; ;Armax (cow) DNA Samples;1;Looted;Planet Calypso
Armax Large Horn;DNA;0.04; ;Armax (cow) DNA Samples;10;Looted;Planet Calypso
Armax Leather;Refined Material;3; ; ; ;Refined;Planet Calypso
Armax Leather Texture;Texture Material;0.62; ; ; ;Crafted;Planet Calypso
Armax Plate;DNA;5;152.00%;Armax (cow) DNA Samples;1;Looted;Planet Calypso
Armax Skin;Natural Material;1;126.00%;Armax Leather;3;Looted;Planet Calypso
Armax Skull;Natural Material;13;121.00 PED; ; ;Looted;Planet Calypso
Armax Skull Complete;Natural Material;39; ; ; ;Looted;Planet Calypso
Armax Small Horn;DNA;0.02; ;Armax (cow) DNA Samples;10;Looted;Planet Calypso
Armax Tusk;Natural Material;0.1; ; ; ;Looted;Planet Calypso
Arret Pet;Generic Component;0.4; ;Caged Arrets;100;Looted, Tamed;Planet Cyrene
Atacamite Crystal;Crystal;0.01; ;Refined Atacamite Crystal;1;Looted;Next Island
Atlantasite Crystal;Crystal;0.02; ;Refined Atlantasite Crystal;1;Looted;Next Island
Atrax Bone;DNA;0.05; ;Atrax DNA Samples;2;Looted;Planet Calypso
Atrax Claw;DNA;0.1; ;Atrax DNA Samples;1;Looted;Planet Calypso
Atrax DNA Samples;DNA;20.76; ; ; ;Refined;Planet Calypso
Atrax Eye;DNA;9; ;Atrax DNA Samples;1;Looted;Planet Calypso
Atrax Jaw;DNA;3; ;Atrax DNA Samples;1;Looted;Planet Calypso
Atrax Leather;Refined Material;6; ; ; ;Refined;Planet Calypso
Atrax Leather Texture;Texture Material;0.68; ; ; ;Crafted;Planet Calypso
Atrax Skin;Natural Material;2;110.00%;Atrax DNA Samples;3,3;Looted;Planet Calypso
Atrox Bone;DNA;0.05;100.00%;Atrox DNA Samples;3;Looted;Planet Calypso
Atrox Claw;DNA;0.1;100.00%;Atrox DNA Samples;3;Looted;Planet Calypso
Atrox DNA Samples;DNA;21.81; ; ; ;Refined;Planet Calypso
Atrox Eye;DNA;11; ;Atrox DNA Samples;1;Looted;Planet Calypso
Atrox Fang;DNA;0.02;100.00%;Atrox DNA Samples;6;Looted;Planet Calypso
Atrox Leather;Refined Material;9; ; ; ;Refined;Planet Calypso
Atrox Leather Texture;Texture Material;1.25; ; ; ;Crafted;Planet Calypso
Atrox Skin;Natural Material;3; ;Atrox Leather;3;Looted;Planet Calypso
Atrox Skull;Natural Material;66; ; ; ;Looted;Planet Calypso
Aumorphite Ingot;Refined Ore;8.09; ;Galaurphite Ingot;1;Refined;Entropia Universe
Aurilinin Gel;Refined Enmatter;4.04; ; ; ;Refined;Crystal Palace
Aurli Bone Piece;Natural Material;7.4; ; ; ;Looted;Crystal Palace
Aurli Chitin Scale;Natural Material;4; ; ; ;Looted;Crystal Palace
Aurli Claw;Natural Material;4.5; ; ; ;Looted;Crystal Palace
Aurli Dense Plate;Natural Material;4.5; ; ; ;Looted;Crystal Palace
Aurli Fangs;Natural Material;1.8; ; ; ;Looted;Crystal Palace
Aurli Larva;Natural Material;0.17; ;Alien Biogenic Gel;18;Found;Crystal Palace
Aurli Shock Flesh;Natural Material;0.78; ;Aurilinin Gel;1;Looted;Crystal Palace
Australian Pirate Flag;Vehicle Component;2; ; ; ;Crafted;ROCKtropia
Azeztulite Crystal;Crystal;0.04;117.00%;Refined Azeztulite Crystal;1;Looted;Next Island
Azurite Crystal;Crystal;0.03; ;Refined Azurite Crystal;1;Looted;Next Island
Azur Pearls;Enmatter;0.96;136.81%;Pearl Sand;2,2,2;Mined;Hell
Azzurdite Ingot;Refined Ore;3.6;101.00%; ; ;Refined;Planet Calypso
Azzurdite Stone;Ore;1.2;104.50%;Azzurdite Ingot;1,1,3,3;Looted, Mined;Planet Arkadia
Azzurdite Texture;Texture Material;1.4; ; ; ;Crafted;Entropia Universe
Bahri Claw;Natural Material;0.04;140.45%;Bahri Claw Tips;5;Looted;Planet Toulan
Bahri Claw Tips;Refined Material;0.2;140.45%; ; ;Refined;Planet Toulan
Bahri Hide;Natural Material;0.08;159.00%;Bahri Leather;4;Looted;Planet Toulan
Bahri Leather;Refined Material;0.32;159.00%; ; ;Refined;Planet Toulan
Bahri Skin;Natural Material;0.12;198.41%; ; ;Looted;Planet Toulan
Balancing Agent;Refined Treasure;0.18;105.00%; ; ;Refined;Planet Arkadia
Ball Bearings;Metal Component;0.02;111.00%; ; ;Crafted;Planet Arkadia
Banite Ingot;Refined Ore;0.24;107.00%; ; ;Refined;Planet Arkadia
Banite Stones;Ore;0.08; ;Banite Ingot;3;Mined;Planet Arkadia
Banite Texture;Texture Material;0.21; ; ; ;Crafted;Planet Arkadia
Barite Crystal;Crystal;0.07;123.00%;Refined Barite Crystal;1;Looted;Next Island
Base Synthetic Leather Texture;Texture Material; ; ; ; ;Crafted;Planet Cyrene
Basic Adaptive Fuse;Generic Component;0.75; ; ; ;Looted;Planet Calypso
Basic Auxiliary Socket;Electronic Component;0.0136;108.80%; ; ;Crafted;Entropia Universe
Basic Bearings;Metal Component;0.04;120.03%; ; ;Crafted;Planet Calypso
Basic Bolts;Metal Component;0.01; ; ; ;Crafted;Planet Calypso
Basic Butt Joint;Construction Material;0.125;116.60%; ; ;Crafted;Planet Toulan
Basic Cloth Extractor;Texture Extractor;0.01; ; ; ;Looted;Planet Arkadia
Basic Coil;Mechanical Component;0.03;130.34%; ; ;Crafted;Planet Calypso
Basic Electronic Fluid Memory;Generic Component;0.08;182.97%; ; ;Looted;Planet Calypso
Basic Engine;Mechanical Component;0.052; ; ; ;Crafted;Planet Calypso
Basic Eye Color Set;Beauty;0.11;7604.00%; ; ;Looted;Planet Calypso
Basic Filters;Mechanical Component;0.01;108.83%; ; ;Crafted;Entropia Universe
Basic Gem Extractor;Texture Extractor;0.01;280.00%; ; ;Looted;Planet Calypso
Basic Hair Color Set;Beauty;0.11; ; ; ;Looted;Planet Calypso
Basic Leather Extractor;Texture Extractor;0.01;200.00%; ; ;Looted;Entropia Universe
Basic Metal Extractor;Texture Extractor;0.01; ; ; ;Looted;Planet Arkadia
Basic Mineral Extractor;Texture Extractor;0.01;145.68%; ; ;Looted;Planet Calypso
Basic Nuts;Metal Component;0.01;120.00%; ; ;Crafted;Planet Calypso
Basic Optical Wave Emitter;Generic Component;0.68; ; ; ;Looted;Planet Calypso
Basic Organic Wire;Generic Component;0.82; ; ; ;Looted;Planet Calypso
Basic Pigment Enhancer;Paint Cans;0.01; ; ; ;Coloring; 
Basic Plastic Extractor;Texture Extractor;0.01;187.70%; ; ;Looted;Planet Calypso
Basic Power System;Electronic Component;0.01;123.09%; ; ;Crafted;Planet Calypso
Basic Processor;Electronic Component;0.020797;120.00%; ; ;Crafted;Planet Calypso
Basic Propulsion System;Generic Component;15;700.00%; ; ;Looted;Planet Calypso
Basic Pump;Mechanical Component;0.01;100.00%; ; ;Crafted;Planet Calypso
Basic Relay;Electronic Component;0.05;130.00%; ; ;Crafted;Planet Calypso
Basic Rings;Metal Component;0.03;130.00%; ; ;Crafted;Planet Calypso
Basic Scanning Sensor;Generic Component;0.11;184.48%; ; ;Looted;Planet Calypso
Basic Screws;Metal Component;0.04;104.00%; ; ;Crafted;Entropia Universe
Basic Sensor;Electronic Component;0.024;123.00%; ; ;Crafted;Entropia Universe
Basic Servo;Mechanical Component;0.014; ; ; ;Crafted;Planet Calypso
Basic Sheet Metal;Metal Component;0.0392;121.00%; ; ;Crafted;Entropia Universe
Basic Skin Color Set;Beauty;0.11; ; ; ;Looted;Planet Calypso
Basic Stone Extractor;Texture Extractor;0.01;160.00%;Cobaltium Ingot;40,40;Looted;Planet Calypso
Basic Strategic Combat Processor;Generic Component;0.04;500.00%; ; ;Looted;Planet Calypso
Basic Structure;Mechanical Component;0.0236;110.00%; ; ;Crafted;Entropia Universe
Basic Target Assessment Unit;Generic Component;0.02;1700.00%; ; ;Looted;Planet Calypso
Basic Targeting Chip;Generic Component;0.02;45000.00%; ; ;Looted;Planet Cyrene
Basic Tube;Metal Component;0.01; ; ; ;Crafted;Planet Calypso
Basic Vehicle Battery;Mechanical Component;0.91; ; ; ;Crafted;Planet Calypso
Basic Vehicle Gearbox;Mechanical Component;1.63;210.00%; ; ;Crafted;Planet Calypso
Basic Vehicle Servo;Mechanical Component;0.28; ; ; ;Crafted;Planet Calypso
Basic Vehicle Supercharger;Mechanical Component;0.51; ; ; ;Crafted;Planet Calypso
Basic Vehicle Suspension;Mechanical Component;0.76; ; ; ;Crafted;Planet Calypso
Basic Wires;Electronic Component;0.03;120.00%; ; ;Crafted;Entropia Universe
Basic Wood Extractor;Texture Extractor;0.01;200.00%; ; ;Looted;Planet Arkadia
Baydar Card Part (Center);Metal Component;0.01; ; ; ;Looted;Planet Toulan
Baydar Card Part (Left);Metal Component;0.01; ; ; ;Looted;Planet Toulan
Baydar Card Part (Right);Metal Component;0.01; ; ; ;Looted;Planet Toulan
Beaten Metal Robot Scrap;Robot Parts;1; ; ; ;Looted;Planet Calypso
Beladoth Back Spike;Natural Material;3.5; ; ; ;Looted;Planet Arkadia
Beladoth Brain;DNA;10; ;Beladoth DNA Cartridge;1;Looted;Planet Arkadia
Beladoth DNA Cartridge;DNA; ; ; ; ;Refined;Planet Arkadia
Beladoth Eye;DNA;1.25; ;Beladoth DNA Cartridge;2;Looted;Planet Arkadia
Beladoth Foot;DNA;2.5; ;Beladoth DNA Cartridge;4;Looted;Planet Arkadia
Beladoth Hide;Natural Material;1.5; ;Beladoth Leather;3;Looted;Planet Arkadia
Beladoth Leather;Refined Material;4.5; ; ; ;Refined;Planet Arkadia
Beladoth Leather Texture;Texture Material;0.96; ; ; ;Crafted;Planet Arkadia
Beladoth Nail;Natural Material;0.54;130.00%; ; ;Looted;Planet Arkadia
Beladoth Spine;DNA;3; ;Beladoth DNA Cartridge;1;Looted;Planet Arkadia
Belkar Ingot;Refined Ore;0.06;122.00%; ; ;Refined;Entropia Universe
Belkar Stone;Ore;0.02;105.00%;Belkar Ingot;3,3,3,3,3;Looted, Mined;Entropia Universe
Belkar Texture;Texture Material;0.22; ; ; ;Crafted;Entropia Universe
Bell's Chitin Scales;Natural Material;0.9; ;Alien Biogenic Gel;5;Looted;Crystal Palace
Bend;Wood Component;0.67; ; ; ;Crafted;Planet Calypso
Berycled Claw;DNA;0.12; ;Berycled DNA Samples;1;Looted;Planet Calypso
Berycled DNA Samples;DNA;20.27; ; ; ;Refined;Planet Calypso
Berycled Leather;Refined Material;0.9; ; ; ;Refined;Planet Calypso
Berycled Leather Texture;Texture Material;0.3; ; ; ;Crafted;Planet Calypso
Berycled Sails;DNA;0.65;12500.00%;Berycled DNA Samples;1;Looted;Planet Calypso
Berycled Skin;DNA;0.3;120.00%;Berycled DNA Samples;3,2;Looted;Planet Calypso
Berycled Skull;DNA;17; ;Berycled DNA Samples;1;Looted;Planet Calypso
Berycled Trophy;Mission Item;0.01; ; ; ;Looted;Planet Calypso
