Name;Type;Max.TT;Price (M);Price (F);Source
FENtropia Gold Jacket;Jackets;15; ; ; 
FENtropia Gold T-Shirt;Shirt;15; ; ;Looted, Event
FENtropia Platinum Jacket;Jackets;15; ; ;Event
FENtropia Platinum T-Shirt;Shirts;15; ; ;Looted, Event
Feodora (C);Hats;102; ; ;Crafted
Fire Truck ROCK T-Shirt (C);Shirt;30; ; ;Crafted
First Wave Colonist Beret;Hats;1; ; ;MA Gift 2008
Fisherman Shorts (M,C);Shorts;7.5; ; ;Crafted
Flame Pattern Pants (C);Pants;49; ; ;Crafted
Flame Pattern Shirt (C);Shirt;50; ; ;Crafted
Flash Pants (C);Pants;45; ; ;Crafted
Flash Shirt (C);Shirt;40; ; ;Crafted
Flora Short Dress (F);Dresses;45; ; ;Crafted
Flora Short Dress (F,C);Dresses;45; ; ;Crafted
Flower Boheme Pants (C);Pants;213; ; ;Crafted
Flower Boheme Shirt (C);Shirt;205; ; ;Crafted
Flower Power Trucker Hat (C);Hats;120; ; ;Crafted
Fluffens Golf Pants (C);Pants;43; ; ;Crafted
Fluffy Bunny Ears;Hats;0.1; ; ;Looted
Foxy High Stiletto Boots (C);Boots;199; ; ;Crafted
Fresher Boots (C);Boots;52; ; ;Crafted
Gamer Chick Trucker Cap (C);Hats;15; ; ;Crafted
Gem Bustier (C);Underwear;57; ; ;Crafted
Global Trucker Cap (C);Hats;50; ; ;Crafted
Goggles of Turrelia;Shades;5; ; ;Mission
Green Alien Head;Hats;1; ; ;Looted
Green Christmas Hat 2014 (L);Hats;1; ; ;Christmas 2014
Guardian Nurse Boots (F);Boots;42; ; ;Crafted
Guardian Nurse Dress (F);Dresses;60; ; ;Crafted
Guardian Nurse Gloves (F); ; ; ; ;Crafted
Guardian Nurse Tiara (F); ; ; ; ;Crafted
Gullaldr Shades;Shades;0.5; ; ;VU10 Gift
GUNNAR Vayper Gaming Glasses;Shades;10; ; ;Looted
Happy Man ROCK T-Shirt (C);Shirt;41; ; ;Crafted
Haruspex Belfry Hat;Hat;75; ; ;Crafted
Haruspex Belfry Hat (C);Hat;75; ; ;Crafted
Haruspex Forest Corset (F);Shirt;59.25; ; ;Crafted
Haruspex Forest Corset (F,C);Shirt;59.25; ; ;Crafted
Haruspex Sleek Pants (M);Pants;22; ; ;Crafted
Haruspex Sleek Pants (M,C);Pants;22; ; ;Crafted
Haruspex Sprite Leggings (F);Pants;22; ; ;Crafted
Haruspex Sprite Leggings (F,C);Pants;22; ; ;Crafted
Haruspex Voodoo Boots (M);Shoes;43.5; ; ;Crafted
Haruspex Voodoo Boots (M,C);Shoes;43.5; ; ;Crafted
Haruspex Voodoo Bracers (F);Gloves;43.5; ; ;Crafted
Haruspex Voodoo Bracers (F,C);Gloves;43.5; ; ;Crafted
Haruspex Voodoo Vest (M);Shirt;59.25; ; ;Crafted
Haruspex Voodoo Vest (M,C);Shirt;59.25; ; ;Crafted
Havok Thong (C);Underwear;43; ; ;Crafted
Heart This Trucker Hat (C);Hats;40; ; ;Crafted
Heavy Metal ROCK T-Shirt (C);Shirt;54; ; ;Crafted
Heavy Metal Sexy Top;Shirt; ; ; ;Crafted
Heavy Metal Sexy Top (C);Shirt;51; ; ;Crafted
Hell Yeah Official Team Member Trucker Hat;Hats;43; ; ;Event
Hero Mask (C);Hats;52; ; ;Crafted
High-Five Trucker Cap (C);Hats;15; ; ;Crafted
Hobb Bomberjacket (C);Jackets;16.5; ; ;Crafted
HOF Trucker Hat (C);Hats;200; ; ;Crafted
Holestripe Pants (C);Pants;144; ; ;Crafted
Holestripe Shirt (C);Shirt;138; ; ;Crafted
Holiday Coat;Coats;5; ; ;Looted
Horns - Deer;Horns;28; ; ;Looted
Horns - Large Bull;Horns;16; ; ;Refined
Horns - Ram;Horns;11; ; ;Looted
Horns - Small Bull;Horns;1; ; ;Halloween Gift 2008
Horn - Unicorn;Horns;25; ; ;Looted
I Am My Avatar Trucker Cap (C); ; ; ; ;Crafted
I Am My Avatar Trucker Hat (C);Hats;1000; ; ;Crafted
IFN Combat Uniform Arctic Cap;Hats;13; ; ;Crafted
IFN Combat Uniform Arctic Pants;Pants;47; ; ;Crafted
IFN Combat Uniform Arctic Shirt; ; ; ; ;Crafted
IFN Combat Uniform Arctic Singlet;Shirt;25; ; ;Crafted
IFN Combat Uniform Custom Cap (C);Hats;16; ; ;Crafted
IFN Combat Uniform Custom Pants (C);Pants;49; ; ;Crafted
IFN Combat Uniform Custom Shirt (C);Shirt;36; ; ;Crafted
IFN Combat Uniform Custom Singlet (C);Shirt;27; ; ;Crafted
IFN Combat Uniform Desert Cap;Hats;13; ; ;Crafted
IFN Combat Uniform Desert Pants;Pants;47; ; ;Crafted
IFN Combat Uniform Desert Shirt;Shirt;24; ; ;Crafted
IFN Combat Uniform Desert Singlet;Shirt;25; ; ;Crafted
IFN Combat Uniform Jungle Cap;Hats;13; ; ;Crafted
IFN Combat Uniform Jungle Pants;Pants;47; ; ;Crafted
IFN Combat Uniform Jungle Shirt;Shirt;34; ; ;Crafted
IFN Combat Uniform Jungle Singlet;Shirt;25; ; ;Crafted
IFN Private Combat Uniform Shirt;Shirt;0.1; ; ;Mission
In The City Trucker Cap;Hats;56; ; ;Crafted
Island Shirt (C);Shirt;1.2; ; ;Crafted
Island Wellies (C);Shoes;14.3; ; ;Looted
Jacket, TWEN Edition;Jackets;1; ; ;Looted
Jacket of Turrelia;Jackets;30; ; ;Mission
Jassem Coat (M,C);Coats;48; ; ;Crafted
Jassem Headwear (M,C);Hats;40; ; ;Crafted
Jassem Pants (M,C);Pants;43; ; ;Crafted
Jolly Christmas Black Hat (L);Hats;10;600.00%; ;Looted, Crafted
Jolly Christmas Blue Hat (L);Hats;10; ; ;Looted, Crafted
Jolly Christmas Blue Mittens (L);Gloves;10; ; ;Crafted
Jolly Christmas Facemask;Hats;1; ; ;Xmas Gift 2002
Jolly Christmas Green Hat (L);Hats;10; ; ;Looted, Crafted
Jolly Christmas Green Mittens (L);Gloves;10; ; ;Crafted
Jolly Christmas Hat;Hats;1; ; ;Xmas Gift 2007
Jolly Christmas Mittens;Gloves;1; ; ;Xmas Gift 2007
Jolly Christmas Pants;Pants;1; ; ;Xmas Gift 2002
Jolly Christmas Pink Hat (L);Hats;10; ; ;Looted, Crafted
Jolly Christmas Pink Mittens (L);Gloves;10; ; ;Crafted
Jolly Christmas Shirt;Shirt;1; ; ;Xmas Gift 2002
Jolly Christmas Yellow Hat (L);Hats;10; ; ;Looted, Crafted
Jolly Christmas Yellow Mittens (L);Gloves;10; ; ;Crafted
Jungle Shorts;Shorts;1.6; ; ;Crafted
Jungle Trenchers;Boots;89; ; ;Crafted
Karona's Velocity Jumpsuit;Jumpsuit;0.1; ; ;Mission
La Fleur Sexy Top (C); ; ; ; ;Crafted
Leaf Beret (C);Hats;73; ; ;Crafted
Leather Duster Coat;Coats;103; ; ;Crafted
Linestrip Shades (C);Shades;141; ; ;Crafted
Linguistic Vacation Shorts;Shorts;23; ; ;Gift
Linguistic Vacation T-Shirt;Shirt;19; ; ;Gift
Liqa Pants (C);Pants;7; ; ;Crafted
Liqa Shirt (C);Shirt;7; ; ;Crafted
Lodod Tanktop (C);Underwear;35; ; ;Crafted
LOL Trucker Hat (C);Hats;15; ; ;Crafted
Luna Line Corona Pants;Pants;6; ; ;Old time
Luna Line Corona Shirt;Shirt;6; ; ;Old time
Luna Line Pulsar Pants;Pants;9; ; ;Old time
Luna Line Pulsar Shirt;Shirt;9; ; ;Old time
Luna Line Quasar Pants;Pants;9.5; ; ;Old time
Luna Line Quasar Shirt;Shirt;9.5; ; ;Old time
Luna Line Solar Pants;Pants;9; ; ;Old time
Luna Line Solar Shirt;Shirt;9; ; ;Old time
Luna Line Terra Pants;Pants;9; ; ;Old time
Luna Line Terra Shirt;Shirt;9; ; ;Old time
Luna Pattern Pants (C);Pants;68; ; ;Crafted
Luna Pattern Shirt (C);Shirt;65; ; ;Crafted
Mad Clown Mask;Hats;74; ; ;Crafted
Makeup Mask, Large (L);Hats;200; ; ;Crafted
Makeup Mask, Medium (L);Hats;40; ; ;Crafted
Makeup Mask, Small L);Hats;30; ; ;Crafted
Malachai Ash;Shades;150; ; ;Old time
Malachai Ash, FEN Edition;Shades;15; ; ;Looted, Event
Malachai Ash, SGA Edition;Shades;150; ; ;Looted, Event
Malachai Dante;Shades;165; ; ;Old time
Malachai Dante, SGA Edition;Shades;165; ; ;Looted
Malachai Inferno, FEN Edition;Shades;15; ; ;Looted, Event
Male Sandal;Shoes;2; ; ;TT
Mallic Boots (C);Boots;76; ; ;Crafted
Mankini (M);Underwear;16; ; ;Crafted
Mannell Shoes (C);Shoes;9; ; ;Crafted
Master Coat (C);Coats;130; ; ;Crafted
McTiger Golf Pants (C);Pants;55; ; ;Crafted
Microphone Master Rock T-Shirt (C);Shirt;20; ; ;Crafted
Mittens (C);Gloves;19; ; ;Crafted
Motamared Amamah (M,C);Hats;35; ; ;Crafted
Motamared Pants (M,C);Pants;38; ; ;Crafted
Motorhead Ball Cap (C);Hats;85; ; ;Crafted
Motorhead Cowboy Boots (L);Boots;0.1; ; ;Event
Motorhead ROCK T-Shirt (C); ; ; ; ;Crafted
Motorhead Sexy Top;Shirt; ; ; ;Crafted
Motorhead Sexy Top (C);Shirt;120; ; ;Crafted
Motorhead Trucker Hat;Hats;55; ; ;Crafted
Multi Pattern Pants (C);Pants;48; ; ;Crafted
Multi Pattern Shirt (C);Shirt;48; ; ;Crafted
Musique Pants (C);Pants;201; ; ;Crafted
Nahar Outfit Pants;Pants;2; ; ;Mission
Nahar Outfit Shirt;Shirt;2; ; ;Mission
Nahar Outfit Shoes;Shoes;2; ; ;Mission
Navy Officer Jacket (C);Jackets;99; ; ;Crafted
Navy Officer Pants (C);Pants;103; ; ;Crafted
Nifty Pattern Pants (C);Pants;95; ; ;Crafted
Nifty Pattern Shirt (C);Shirt;88; ; ;Crafted
Ninety Six Trucker Cap (C); ; ; ; ;Crafted
Ninety Six Trucker Hat (C);Hats;69; ; ;Crafted
Ninja High Jacket (C);Jackets;34; ; ;Vexed Generation
Ninja High Jacket Black;Jackets;195; ; ;Vexed Generation
Ninja High Jacket Gray;Jackets;104; ; ;Vexed Generation
Ninja High Jacket Navy;Jackets;125; ; ;Vexed Generation
Ninja High Jacket Red;Jackets;174; ; ;Vexed Generation
Ninja High Jacket Stripes (C);Jackets;6; ; ;Crafted, Vexed Gen.
Ninja High Jacket X Black;Jackets;244; ; ;Vexed Generation
Ninja Hood Jacket (C);Jackets;34; ; ;Vexed Generation
Ninja Hood Jacket Black;Jackets;195; ; ;Vexed Generation
Ninja Hood Jacket Gray;Jackets;104; ; ;Vexed Generation
Ninja Hood Jacket Navy;Jackets;125; ; ;Vexed Generation
Ninja Hood Jacket Red;Jackets;174; ; ;Vexed Generation
Ninja Hood Jacket Stripes (C);Jackets;6; ; ;Crafted, Vexed Gen.
Ninja Hood Jacket X Black;Jackets;244; ; ;Vexed Generation
NOOB Trucker Hat (C);Hats;5; ; ;Crafted
Nuclear Blast ROCK T-Shirt (C); ; ; ; ;crafted
Nuclear Blast Sexy Top (C); ; ; ; ;Crafted
Official MindArk Pants;Pants;1; ; ;MA Only
Official MindArk Shirt;Shirt;1; ; ;MA Only
Official Motorhead Ball Cap;Hats; ; ; ; 
Official Motorhead ROCK T-Shirt;Shirt; ; ; ; 
Omegaton Arctic Walkers;Boots;71; ; ;Crafted
Omegaton Chasers (C);Shoes;43; ; ;Crafted
Omegaton Desert Walkers;Boots;46.5; ; ;Crafted
Omegaton Jungle Walkers;Boots;59; ; ;Crafted
Omegaton Pops;Shoes;35; ; ;Crafted
Omegaton Sports (C);Shoes;61; ; ;Crafted
Over The Knee Socks (C);Underwear; ; ; ;Crafted
Pants of Turrelia;Pants;10; ; ;Mission
Paradigm Shirt Series 2 (C); ;7; ; ; 
Paradigm Shirt Series 3 (C); ;7; ; ; 
Paradigm Shirt Series 6 (C); ; ; ; ; 
Paradigm Shirt Series 7 (C); ; ; ; ; 
Paradigm Shirt Series 8 (C); ;7; ; ; 
Paradigm Shirt Series 9 (C); ; ; ; ; 
Paris Jacket (C);Jackets;70; ; ;Crafted
Patterned Shirt Series 1 (M,L,C);Shirt;5; ; ;crafted
Pawz Trucker Cap (C);Hats;20; ; ;Crafted
Pilot Goggles;Shades;51; ; ;Crafted
Pleat Coat;Coats;699; ; ;Vexed Generation
Pleat Coat (C);Coats;209; ; ;Vexed Generation
Poison Trucker Cap (C); ; ; ; ;Crafted
Poison Trucker Hat (C);Hats;100; ; ;Crafted
Polar Bear Head;Hats;1; ; ;Xmas Gift 2011
Private Jacket (C);Jackets;42; ; ;Crafted
Private Pants (C);Pants;46; ; ;Crafted
Proud 2 PK Trucker Cap (C);Hats;110; ; ;Crafted
Proving Ground Coat of Arms;Coats;5; ; ;Token Exchange
Pub Bowler Hat (C);Hats;78; ; ;Crafted
Queen Stiletto Boots (C);Boots;38; ; ;Crafted
Racer Shades (C);Shades;162; ; ;Crafted
Radar Jacket (C);Jackets;55; ; ;Crafted
Rage Pants (C);Pants;64; ; ;Crafted
Rage Shirt (C);Shirt;62; ; ;Crafted
Rancher Hat (C);Hats;89; ; ;Crafted
Reilly Boots (C);Boots;14; ; ;Crafted
Renegade Fashion Chasm Pants;Pants;8.5; ; ;Old time
Renegade Fashion Chasm Shirt;Shirt;8; ; ;Old time
Renegade Fashion Citadel Pants;Pants;8.5; ; ;Old time
Renegade Fashion Citadel Shirt;Shirt;8; ; ;Old time
Renegade Fashion Emerald Pants;Pants;8.5; ; ;Old time
Renegade Fashion Emerald Shirt;Shirt;8; ; ;Old time
Renegade Fashion Enigma Pants;Pants;8; ; ;Old time
Renegade Fashion Enigma Shirt;Shirt;7.5; ; ;Old time
Renegade Fashion Maze Pants;Pants;8; ; ;Old time
Renegade Fashion Maze Shirt;Shirt;8; ; ;Old time
Renegade Fashion Miasma Pants;Pants;8; ; ;Old time
Renegade Fashion Miasma Shirt;Shirt;8; ; ;Old time
Renegade Fashion Ripper Pants;Pants;8.5; ; ;Old time
Renegade Fashion Ripper Shirt;Shirt;8.5; ; ;Old time
Renegade Fashion Ripple Pants;Pants;8; ; ;Old time
Renegade Fashion Ripple Shirt;Shirt;8; ; ;Old time
Renegade Fashion Rusty Pants;Pants;8.5; ; ;Old time
Renegade Fashion Strider Pants;Pants;8.5; ; ;Old time
Renegade Fashion Strider Shirt;Shirt;8.5; ; ;Old time
Resa Nomad Footwraps;Shoes;43.5; ; ;Crafted
Resa Nomad Leggings;Pants; ; ; ;Crafted
Resa Nomad Shirt;Shirt;59.25; ; ;Crafted
Rexely Mesh Tanktop (C);Underwear;33; ; ;Crafted
Rex Top Hat (C);Hats;99; ; ;Crafted
Rinoa Bikini (F);Underwear;16; ; ;Crafted
ROCKtropia Pilots Federation Trucker Cap (C);Hats;500; ; ;Crafted
ROCKtropia Trucker Cap (C);Hats;20; ; ;Crafted
Sacred Guitar ROCK T-Shirt (M,C); ; ; ; ;Crafted
Saint Patrick's Day Hat;Hats;0.01; ; ;Gift
Samar Shoes (C);Shoes;7; ; ;Crafted
Scary Pumpkin Facemask;Hats;1; ; ;Halloween Gift 2007
Seduce Miniskirt (C);Skirt;69; ; ;Crafted
Selling Trucker Cap(M/F) (C); ; ; ; ;Crafted
Selling Trucker Hat (C);Hats;300; ; ;Crafted
Settler Suit;Jumpsuit;0.5; ; ;Mission
Shark Hunter Trucker Cap (C); ; ; ; ;Crafted
Shark Hunter Trucker Hat (C);Hats;77; ; ;Crafted
Short Pleated Skirt (C);Skirt;53; ; ;Crafted
Silk Line Cherry Beach Miniskirt;Skirt;8; ; ;Old time
Silk Line Dark Dawn Miniskirt;Skirt;6; ; ;Old time
Silk Line Deep Navy Miniskirt;Skirt;6; ; ;Old time
Silk Line Gloomy Glade Miniskirt;Skirt;6.5; ; ;Old time
Silk Line Lime Time Miniskirt;Skirt;6; ; ;Old time
Silk Line Paradise Bra;Underwear;20; ; ;Old time
Silk Line Paradise G-String;Underwear;20; ; ;Old time
Silk Line Passion G-String;Underwear;20; ; ;Old time
Silk Line Pleasure Bra;Underwear;20; ; ;Old time
Silk Line Pleasure G-String;Underwear;20; ; ;Old time
Silk Line Scarlet Desire Miniskirt;Skirt;7.5; ; ;Old time
Silk Line Shady Jungle Miniskirt;Skirt;6; ; ;Old time
Silk Line Steel Lady Miniskirt;Skirt;7.5; ; ;Old time
Silk Line Temptation Bra;Underwear;20; ; ;Old time
Silk Line Temptation G-String;Underwear;20; ; ;Old time
Silk Line Violet Vanity Miniskirt;Skirt;8; ; ;Old time
Silk Line Vivacity G-String;Underwear;20; ; ;Old time
Skeleton Mask;Hats;10; ; ;Looted
Skeleton Pants;Pants;1; ; ;Halloween Gift 2010
Skeleton Shirt;Shirt;1; ; ;Halloween Gift 2010
Skully II ROCK T-Shirt (M,C); ;300; ; ;Crafted
Skully ROCK T-Shirt (M,C); ; ; ; ;Crafted
Skully Sexy Top (F,C); ; ; ; ;Crafted
Smile Time Trucker Hat (C);Hats;38; ; ;Crafted
Smiley Sexy Top (F,C); ; ; ; ;Crafted
Smiley Trucker Cap (C);Hats;15; ; ;Crafted
Smuggler Coat;Coats;0.01; ; ;Mission
Smuggler Shirt;Shirt;0.01; ; ;Mission
Space Dude ROCK T-Shirt (M,C);Shirt;60; ; ;Crafted
Space Dude Trucker Hat (C);Hats;51;10.00 PED; ;Crafted
Space Sexy Top (F,C); ; ; ; ;Crafted
Spectacular Spectacles (C);Shades;39; ; ;Crafted
Spiral Street Cobalt Briefs;Underwear;5; ; ;Old time
Spiral Street Dark Strife Jacket;Jackets;12; ; ;Old time
Spiral Street Feral Force Jacket;Jackets;12; ; ;Old time
Spiral Street Hotspot Briefs;Underwear;5; ; ;Old time
Spiral Street Night Shift Jacket;Jackets;25; ; ;Old time
Spiral Street Silent Shade Jacket;Jackets;12; ; ;Old time
Spotty Pants (C);Pants;178; ; ;Crafted
Squared Pants (C);Pants;254; ; ;Crafted
Staff Shirt (F); ; ; ; ;Crafted
Star Satin Arctic Mist Top;Underwear;4; ; ;Old time
Star Satin Arctic Mist Undershorts;Underwear;4; ; ;Old time
Star Satin Cherry Vow Top;Underwear;4; ; ;Old time
Star Satin Cherry Vow Undershorts;Underwear;4; ; ;Old time
Star Satin Cozy Creek Top;Underwear;4; ; ;Old time
Star Satin Cozy Creek Undershorts;Underwear;4; ; ;Old time
Star Satin Elegance Shoes;Shoes;4.5; ; ;Old time
Star Satin Lady Shoes;Shoes;4.5; ; ;Old time
Star Satin Lime Shoes;Shoes;4.5; ; ;Old time
Star Satin Maiden Bra;Underwear; ; ; ;Old time
Star Satin Maiden Panties;Underwear; ; ; ;Old time
Star Satin Marina Shoes;Shoes;5; ; ;Old time
Star Satin Milky Way Top;Underwear;4; ; ;Old time
Star Satin Milky Way Undershorts;Underwear;4; ; ;Old time
Star Satin Pebble Bra;Underwear;2; ; ;Old time
Star Satin Pebble Panties;Underwear;2; ; ;Old time
Star Satin Royal Blend Top;Underwear;4; ; ;Old time
Star Satin Sapphire Shoes;Shoes;5; ; ;Old time
Star Satin Saunter Shoes;Shoes;4.5; ; ;Old time
Star Satin Scarlet Bra;Underwear;2; ; ;Old time
