Name;Armor;Max.TT;Mar. (M);Mar. (F);Found on
Goblin Thigh Guards, SGA Edition;Goblin, SGA Edition;6.1; ; ;Planet Calypso
Goldenweave Harness (L);Goldenweave (L);42; ; ;Planet Cyrene
Goldenweave Mask (L);Goldenweave (L);42; ; ;Planet Cyrene
Goldenweave Thigh Guards (L);Goldenweave (L);42; ; ;Planet Cyrene
Gold Rush 2016 Arm Guards;Gold Rush 2016;105; ; ;Planet Arkadia
Gold Rush 2016 Foot Guards;Gold Rush 2016;75; ; ;Planet Arkadia
Gold Rush 2016 Gloves;Gold Rush 2016;75; ; ;Planet Arkadia
Gold Rush 2016 Harness;Gold Rush 2016;160; ; ;Planet Arkadia
Gold Rush 2016 Helmet;Gold Rush 2016;65; ; ;Planet Arkadia
Gold Rush 2016 Shin Guards;Gold Rush 2016;90; ; ;Planet Arkadia
Gold Rush 2016 Thigh Guards;Gold Rush 2016;105; ; ;Planet Arkadia
Gorgon Arm Guards;Gorgon;2.4; ; ;Ancient Greece
Gorgon Arm Guards, Adjusted;Gorgon, Adjusted;6.7; ; ;Ancient Greece
Gorgon Arm Guards, Augmented;Gorgon, Augmented;62.4; ; ;Ancient Greece
Gorgon Arm Guards, Improved;Gorgon, Improved;13.8; ; ;Ancient Greece
Gorgon Arm Guards, Modified;Gorgon, Modified;35.2; ; ;Ancient Greece
Gorgon Arm Guards, Perfected;Gorgon, Perfected; ; ; ;Ancient Greece
Gorgon Foot Guards;Gorgon;1.4; ; ;Ancient Greece
Gorgon Foot Guards, Adjusted;Gorgon, Adjusted;3.8; ; ;Ancient Greece
Gorgon Foot Guards, Augmented;Gorgon, Augmented;35.1; ; ;Ancient Greece
Gorgon Foot Guards, Improved;Gorgon, Improved;7.7; ; ;Ancient Greece
Gorgon Foot Guards, Modified;Gorgon, Modified;19.8; ; ;Ancient Greece
Gorgon Foot Guards, Perfected;Gorgon, Perfected; ; ; ;Ancient Greece
Gorgon Gloves;Gorgon;1.4; ; ;Ancient Greece
Gorgon Gloves, Adjusted;Gorgon, Adjusted;3.8; ; ;Ancient Greece
Gorgon Gloves, Augmented;Gorgon, Augmented;35.1; ; ;Ancient Greece
Gorgon Gloves, Improved;Gorgon, Improved;7.7; ; ;Ancient Greece
Gorgon Gloves, Modified;Gorgon, Modified;19.8; ; ;Ancient Greece
Gorgon Gloves, Perfected;Gorgon, Perfected; ; ; ;Ancient Greece
Gorgon Harness;Gorgon;3.3; ; ;Ancient Greece
Gorgon Harness, Adjusted;Gorgon, Adjusted;9.2; ; ;Ancient Greece
Gorgon Harness, Augmented;Gorgon, Augmented;85.8; ; ;Ancient Greece
Gorgon Harness, Improved;Gorgon, Improved;18.9; ; ;Ancient Greece
Gorgon Harness, Modified;Gorgon, Modified;48.4; ; ;Ancient Greece
Gorgon Harness, Perfected;Gorgon, Perfected; ; ; ;Ancient Greece
Gorgon Helmet;Gorgon;2.1; ; ;Ancient Greece
Gorgon Helmet, Adjusted;Gorgon, Adjusted;5.9; ; ;Ancient Greece
Gorgon Helmet, Augmented;Gorgon, Augmented;54.6; ; ;Ancient Greece
Gorgon Helmet, Improved;Gorgon, Improved;12; ; ;Ancient Greece
Gorgon Helmet, Modified;Gorgon, Modified;30.8; ; ;Ancient Greece
Gorgon Helmet, Perfected;Gorgon, Perfected;86.8; ; ;Ancient Greece
Gorgon Shin Guards;Gorgon;2.1; ; ;Ancient Greece
Gorgon Shin Guards, Adjusted;Gorgon, Adjusted;5.9; ; ;Ancient Greece
Gorgon Shin Guards, Augmented;Gorgon, Augmented;54.6; ; ;Ancient Greece
Gorgon Shin Guards, Improved;Gorgon, Improved;12; ; ;Ancient Greece
Gorgon Shin Guards, Modified;Gorgon, Modified;30.8; ; ;Ancient Greece
Gorgon Shin Guards, Perfected;Gorgon, Perfected; ; ; ;Ancient Greece
Gorgon Thigh Guards;Gorgon;2.4; ; ;Ancient Greece
Gorgon Thigh Guards, Adjusted;Gorgon, Adjusted;6.7; ; ;Ancient Greece
Gorgon Thigh Guards, Augmented;Gorgon, Augmented;62.4; ; ;Ancient Greece
Gorgon Thigh Guards, Improved;Gorgon, Improved;13.8; ; ;Ancient Greece
Gorgon Thigh Guards, Modified;Gorgon, Modified;35.2; ; ;Ancient Greece
Gorgon Thigh Guards, Perfected;Gorgon, Perfected; ; ; ;Ancient Greece
Gremlin Arm Guards;Gremlin;67.2; ; ;Planet Calypso
Gremlin Arm Guards, Mentor Edition;Gremlin, Mentor Edition;67.2; ; ;Entropia Universe
Gremlin Face Guard;Gremlin;61.3; ; ;Planet Calypso
Gremlin Foot Guards;Gremlin;63.2; ; ;Planet Calypso
Gremlin Foot Guards, Mentor Edition;Gremlin, Mentor Edition;63.2; ; ;Entropia Universe
Gremlin Gloves;Gremlin;63.2; ; ;Planet Calypso
Gremlin Gloves, Mentor Edition;Gremlin, Mentor Edition;63.2; ; ;Entropia Universe
Gremlin Harness;Gremlin;81.9; ; ;Planet Calypso
Gremlin Shin Guards;Gremlin;73.4; ; ;Planet Calypso
Gremlin Shin Guards, Mentor Edition;Gremlin, Mentor Edition;73.4; ; ;Entropia Universe
Gremlin Thigh Guards;Gremlin;74; ; ;Planet Calypso
Grunt Arm Guards;Grunt;2.1; ; ;ROCKtropia
Grunt Arm Guards (C);Grunt (C);2.1; ; ;ROCKtropia
Grunt Combat Mask;Grunt;1.45; ; ;ROCKtropia
Grunt Combat Mask (C);Grunt (C);1.45; ; ;ROCKtropia
Grunt Foot Guards;Grunt;1.9; ; ;ROCKtropia
Grunt Foot Guards (C);Grunt (C);1.9; ; ;ROCKtropia
Grunt Gloves;Grunt;0.8; ; ;ROCKtropia
Grunt Gloves (C);Grunt (C);0.8; ; ;ROCKtropia
Grunt Harness;Grunt;2.9; ; ;ROCKtropia
Grunt Harness (C);Grunt (C);2.9; ; ;ROCKtropia
Grunt Shin Guards;Grunt;1.95; ; ;ROCKtropia
Grunt Shin Guards (C);Grunt (C);1.95; ; ;ROCKtropia
Grunt Thigh Guards;Grunt;2.1; ; ;ROCKtropia
Grunt Thigh Guards (C);Grunt (C);2.1; ; ;ROCKtropia
Guardian Arm Guards;Guardian;6.2; ; ;Planet Calypso
Guardian Arm Guards, Adjusted;Guardian, Adjusted;10; ; ;Planet Calypso
Guardian Face Guard;Guardian;3.1; ; ;Planet Calypso
Guardian Face Guard, Adjusted;Guardian, Adjusted;5; ; ;Planet Calypso
Guardian Foot Guards;Guardian;3.1; ; ;Planet Calypso
Guardian Gloves;Guardian;3.1; ; ;Planet Calypso
Guardian Harness;Guardian;9.3; ; ;Planet Calypso
Guardian Harness, Adjusted;Guardian, Adjusted;15; ; ;Planet Calypso
Guardian Shin Guards;Guardian;3.1; ; ;Planet Calypso
Guardian Shin Guards, Adjusted;Guardian, Adjusted;5; ; ;Planet Calypso
Guardian Thigh Guards;Guardian;6.2; ; ;Planet Calypso
Haris Armor Arm Guards (L);Haris Armor (L);5.75; ; ;Planet Toulan
Haris Armor Harness (L);Haris Armor (L);8; ; ;Planet Toulan
Haris Armor Helmet (L);Haris Armor (L);5; ; ;Planet Toulan
Haris Armor Thigh Guards (L);Haris Armor (L);5.75; ; ;Planet Toulan
Harness of the Wormslayer;Wormslayer;230; ; ;Planet Calypso
Harrier Assault Arm Guards;Harrier Assault;2.2; ; ;Entropia Universe
Harrier Assault Arm Guards, Adjusted;Harrier Assault, Adjusted;2.2; ; ;Entropia Universe
Harrier Assault Foot Guards;Harrier Assault;1.1; ; ;Entropia Universe
Harrier Assault Foot Guards, Adjusted;Harrier Assault, Adjusted;1.1; ; ;Entropia Universe
Harrier Assault Gloves;Harrier Assault;1.1; ; ;Entropia Universe
Harrier Assault Gloves, Adjusted;Harrier Assault, Adjusted;1.1; ; ;Entropia Universe
Harrier Assault Harness;Harrier Assault;3.2; ; ;Entropia Universe
Harrier Assault Harness, Adjusted;Harrier Assault, Adjusted;3.2; ; ;Entropia Universe
Harrier Assault Helmet;Harrier Assault;1.1; ; ;Entropia Universe
Harrier Assault Helmet, Adjusted;Harrier Assault, Adjusted;1.1; ; ;Entropia Universe
Harrier Assault Shin Guards;Harrier Assault;1.1; ; ;Entropia Universe
Harrier Assault Shin Guards, Adjusted;Harrier Assault, Adjusted;1.1; ; ;Entropia Universe
Harrier Assault Thigh Guards;Harrier Assault;2.2; ; ;Entropia Universe
Harrier Assault Thigh Guards, Adjusted;Harrier Assault, Adjusted;2.2; ; ;Entropia Universe
Harrier Scout Arm Guards;Harrier Scout;1.1; ; ;Entropia Universe
Harrier Scout Foot Guards;Harrier Scout;0.55; ; ;Entropia Universe
Harrier Scout Gloves;Harrier Scout;0.55; ; ;Entropia Universe
Harrier Scout Harness;Harrier Scout;1.6; ; ;Entropia Universe
Harrier Scout Helmet;Harrier Scout;0.55; ; ;Entropia Universe
Harrier Scout Shin Guards;Harrier Scout;0.55; ; ;Entropia Universe
Harrier Scout Thigh Guards;Harrier Scout;1.1; ; ;Entropia Universe
Helmet of the Wormslayer;Wormslayer;88; ; ;Planet Calypso
Heran Armor Arm Guards (L);Heran (L);4; ; ;Planet Toulan
Heran Armor Foot Guards (L);Heran (L);2.5; ; ;Planet Toulan
Heran Armor Gloves (L);Heran (L);2.5; ; ;Planet Toulan
Heran Armor Harness (L);Heran (L);5.8; ; ;Planet Toulan
Heran Armor Helmet (L);Heran (L);3.6; ; ;Planet Toulan
Heran Armor Shin Guards (L);Heran (L);3.6; ; ;Planet Toulan
Heran Armor Thigh Guards (L);Heran (L);4; ; ;Planet Toulan
Hermes Arm Guards (L);Hermes (L);105; ; ;Planet Calypso
Hermes Back Strap (L);Hermes (L);151; ; ;Planet Calypso
Hermes Foot Guards (L);Hermes (L);101; ; ;Planet Calypso
Hermes Gloves (L);Hermes (L);101; ; ;Planet Calypso
Hermes Groin Guard (L);Hermes (L);109; ; ;Planet Calypso
Hermes Head Piece (L);Hermes (L);109; ; ;Planet Calypso
Hermes Helmet (L);Hermes (L);109; ; ;Planet Calypso
Hermes Shin Guards (L);Hermes (L);110; ; ;Planet Calypso
Hermes Shoulder Guard (L);Hermes (L);151; ;180.00%;Planet Calypso
Holy Arm Guards (L);Holy (L);66; ; ;ROCKtropia
Holy Foot Guards (L);Holy (L);33; ; ;ROCKtropia
Holy Gloves (L);Holy (L);33; ; ;ROCKtropia
Holy Harness (L);Holy (L);99; ; ;ROCKtropia
Holy Helmet (L);Holy (L);33; ; ;ROCKtropia
Holy Shin Guards (L);Holy (L);33; ; ;ROCKtropia
Holy Thigh Guards (L);Holy (L);66;203.00%; ;ROCKtropia
Hoplite Armbands (C);Hoplite (C);3;14.11 PED;10.67 PED;Ancient Greece
Hoplite Breastplate (C);Hoplite (C);7; ; ;Ancient Greece
Hoplite Gloves (C);Hoplite (C);3; ; ;Ancient Greece
Hoplite Greaves (C);Hoplite (C);3;7.47 PED;5.29 PED;Ancient Greece
Hoplite Helmet (C);Hoplite (C);5;9.79 PED;8.28 PED;Ancient Greece
Hoplite Sandals (C);Hoplite (C);3;38.84 PED; ;Ancient Greece
Hoplite Thigh Armor (C);Hoplite (C);3;18.19 PED;12.14 PED;Ancient Greece
Hunter Arm Guards;Hunter;22.25; ; ;Planet Calypso
Hunter Arm Guards, Mentor Edition;Hunter, Mentor Edition;22.25; ; ;Entropia Universe
Hunter Face Guard;Hunter;11.12; ; ;Planet Calypso
Hunter Face Guard, Mentor Edition;Hunter, Mentor Edition;11.12; ; ;Entropia Universe
Hunter Foot Guards;Hunter;11.12; ; ;Planet Calypso
Hunter Foot Guards, Mentor Edition;Hunter, Mentor Edition;11.12; ; ;Entropia Universe
Hunter Gloves;Hunter;11.12; ; ;Planet Calypso
Hunter Gloves, Mentor Edition;Hunter, Mentor Edition;11.12; ; ;Entropia Universe
Hunter Harness;Hunter;33.37; ; ;Planet Calypso
Hunter Harness, Mentor Edition;Hunter, Mentor Edition;33.37; ; ;Entropia Universe
Hunter Shin Guards;Hunter;11.12; ; ;Planet Calypso
Hunter Shin Guards, Mentor Edition;Hunter, Mentor Edition;11.12; ; ;Entropia Universe
Hunter Thigh Guards;Hunter;22.25; ; ;Planet Calypso
Hunter Thigh Guards, Mentor Edition;Hunter, Mentor Edition;22.25; ; ;Entropia Universe
Hydra Arm Guards;Hydra;60; ; ;Planet Arkadia
Hydra Arm Guards (L);Hydra (L);56;110.00%;110.00%;Planet Arkadia
Hydra Foot Guards;Hydra;44; ; ;Planet Arkadia
Hydra Foot Guards (L);Hydra (L);48;110.00%;110.00%;Planet Arkadia
Hydra Gloves;Hydra;36; ; ;Planet Arkadia
Hydra Gloves (L);Hydra (L);40;110.00%;110.00%;Planet Arkadia
Hydra Harness;Hydra;96; ; ;Planet Arkadia
Hydra Harness (L);Hydra (L);96;110.00%;110.00%;Planet Arkadia
Hydra Helmet;Hydra;52; ; ;Planet Arkadia
Hydra Helmet (L);Hydra (L);52;110.00%;110.00%;Planet Arkadia
Hydra Shin Guards;Hydra;56; ; ;Planet Arkadia
Hydra Shin Guards (L);Hydra (L);52;110.00%;110.00%;Planet Arkadia
Hydra Thigh Guards;Hydra;56; ; ;Planet Arkadia
Hydra Thigh Guards (L);Hydra (L);56;110.00%;110.00%;Planet Arkadia
HyperSense Spectacles;HyperSense Spectacles;8; ; ;Next Island
I.S.O.R. Arm Guards (L);I.S.O.R. (L);85; ; ;Planet Cyrene
I.S.O.R. Chest Guard (L);I.S.O.R. (L);100; ; ;Planet Cyrene
I.S.O.R. Foot Guards (L);I.S.O.R. (L);60; ; ;Planet Cyrene
I.S.O.R. Hand Guards (L);I.S.O.R. (L);85; ; ;Planet Cyrene
I.S.O.R. Head Guard (L);I.S.O.R. (L);100; ; ;Planet Cyrene
I.S.O.R. Shin Guards (L);I.S.O.R. (L);85; ; ;Planet Cyrene
I.S.O.R. Thigh Guards (L);I.S.O.R. (L);85; ; ;Planet Cyrene
IFN Prototype Arm Guards (L);IFN Prototype (L);75;135.00%;135.00%;Planet Arkadia
IFN Prototype Arm Guards MKII (L);IFN Prototype MKII (L);75;105.00%;105.00%;Planet Arkadia
IFN Prototype Foot Guards (L);IFN Prototype (L);55;135.00%;135.00%;Planet Arkadia
IFN Prototype Foot Guards MKII (L);IFN Prototype MKII (L);55;105.00%;105.00%;Planet Arkadia
IFN Prototype Gloves (L);IFN Prototype (L);45;135.00%;135.00%;Planet Arkadia
IFN Prototype Gloves MKII (L);IFN Prototype MKII (L);45;105.00%;105.00%;Planet Arkadia
IFN Prototype Harness (L);IFN Prototype (L);120;135.00%;135.00%;Planet Arkadia
IFN Prototype Harness MKII (L);IFN Prototype MKII (L);120;105.00%;105.00%;Planet Arkadia
IFN Prototype Helmet (L);IFN Prototype (L);65;135.00%;135.00%;Planet Arkadia
IFN Prototype Helmet MKII (L);IFN Prototype MKII (L);65;105.00%;105.00%;Planet Arkadia
IFN Prototype Shin Guards (L);IFN Prototype (L);70;135.00%;135.00%;Planet Arkadia
IFN Prototype Shin Guards MKII (L);IFN Prototype MKII (L);70;105.00%;105.00%;Planet Arkadia
IFN Prototype Thigh Guards (L);IFN Prototype (L);70;135.00%;135.00%;Planet Arkadia
IFN Prototype Thigh Guards MKII (L);IFN Prototype MKII (L);70;105.00%;105.00%;Planet Arkadia
Imperial HAZEN Arm Guards;Imperial HAZEN;132; ; ;Planet Calypso
Imperial HAZEN Foot Guards;Imperial HAZEN;83; ; ;Planet Calypso
Imperial HAZEN Gloves;Imperial HAZEN;83; ; ;Planet Calypso
Imperial HAZEN Harness;Imperial HAZEN;180; ; ;Planet Calypso
Imperial HAZEN Helm;Imperial HAZEN;98; ; ;Planet Calypso
Imperial HAZEN Shin Guards;Imperial HAZEN;110; ; ;Planet Calypso
Imperial HAZEN Thigh Guards;Imperial HAZEN;145; ; ;Planet Calypso
Imperium Arm Guards (L);Imperium (L);64; ; ;Planet Cyrene
Imperium Boots (L);Imperium (L);64; ; ;Planet Cyrene
Imperium Gloves (L);Imperium (L);64; ; ;Planet Cyrene
Imperium Harness (L);Imperium (L);64; ; ;Planet Cyrene
Imperium Helmet (L);Imperium (L);64; ; ;Planet Cyrene
Imperium Leg Guards (L);Imperium (L);64; ; ;Planet Cyrene
Imperium Shin Guards (L);Imperium (L);64; ; ;Planet Cyrene
Imperium Vet Chest Guard (L);Imperium Vet (L);85; ; ;Planet Cyrene
Imperium Vet Hand Guards (L);Imperium Vet (L);70; ; ;Planet Cyrene
Imperium Vet Shin Guards (L);Imperium Vet (L);70; ; ;Planet Cyrene
Improved Imperium Arm Guards;Improved Imperium;50; ; ;Planet Cyrene
Improved Imperium Chest Guard;Improved Imperium;50; ; ;Planet Cyrene
Improved Imperium Foot Guards;Improved Imperium;50; ; ;Planet Cyrene
Improved Imperium Hand Guards;Improved Imperium;50; ; ;Planet Cyrene
Improved Imperium Head Guard;Improved Imperium;50; ; ;Planet Cyrene
Improved Imperium Leg Guards;Improved Imperium;50; ; ;Planet Cyrene
Improved Imperium Shin Guards;Improved Imperium;50; ; ;Planet Cyrene
Infiltrator Arm Guards (L);Infiltrator (L);165; ; ;Planet Calypso
Infiltrator Arm Guards, Reworked (L);Infiltrator, Reworked (L);165; ; ;Planet Calypso
Infiltrator Foot Guards (L);Infiltrator (L);165; ; ;Planet Calypso
Infiltrator Foot Guards, Reworked (L);Infiltrator, Reworked (L);165; ; ;Planet Calypso
Infiltrator Gloves (L);Infiltrator (L);165; ; ;Planet Calypso
Infiltrator Gloves, Reworked (L);Infiltrator, Reworked (L);165; ; ;Planet Calypso
Infiltrator Harness (L);Infiltrator (L);219; ; ;Planet Calypso
Infiltrator Harness, Reworked (L);Infiltrator, Reworked (L);219; ; ;Planet Calypso
Infiltrator Helmet (L);Infiltrator (L);111.5; ; ;Planet Calypso
Infiltrator Helmet, Reworked (L);Infiltrator, Reworked (L);111.5; ; ;Planet Calypso
Infiltrator Shin Guards (L);Infiltrator (L);167; ; ;Planet Calypso
Infiltrator Shin Guards, Reworked (L);Infiltrator, Reworked (L);167; ; ;Planet Calypso
Infiltrator Thigh Guards (L);Infiltrator (L);171.5; ; ;Planet Calypso
Infiltrator Thigh Guards, Reworked (L);Infiltrator, Reworked (L);171.5; ; ;Planet Calypso
Initiate's Arm Guards (L);Initiate's (L);3.2; ; ;Planet Cyrene
Initiate's Foot Guards (L);Initiate's (L);1.8; ; ;Planet Cyrene
Initiate's Gloves (L);Initiate's (L);1.8; ; ;Planet Cyrene
Initiate's Harness (L);Initiate's (L);4.4; ; ;Planet Cyrene
Initiate's Helmet (L);Initiate's (L);2.8; ; ;Planet Cyrene
Initiate's Shin Guards (L);Initiate's (L);2.8; ; ;Planet Cyrene
Initiate's Thigh Guards (L);Initiate's (L);3.2; ; ;Planet Cyrene
Jaguar Arm Guards;Jaguar;73;3000.00 PED;2900.00 PED;Planet Calypso
Jaguar Arm Guards (L);Jaguar (L);73; ; ;Planet Calypso
Jaguar Arm Guards, Adjusted;Jaguar, Adjusted;73; ; ;Planet Calypso
Jaguar Arm Guards, SGA Edition;Jaguar, SGA Edition;73; ;2626.35 PED;Planet Calypso
Jaguar Foot Guards;Jaguar;66;1900.00 PED;3500.00 PED;Planet Calypso
Jaguar Foot Guards (L);Jaguar (L);66; ; ;Planet Calypso
Jaguar Foot Guards, Adjusted;Jaguar, Adjusted;66; ; ;Planet Calypso
Jaguar Foot Guards, SGA Edition;Jaguar, SGA Edition;66; ;1600.00 PED;Planet Calypso
Jaguar Gloves;Jaguar;66;1900.00 PED;3000.00 PED;Planet Calypso
Jaguar Gloves (L);Jaguar (L);66; ; ;Planet Calypso
Jaguar Gloves, Adjusted;Jaguar, Adjusted;66; ; ;Planet Calypso
Jaguar Gloves, SGA Edition;Jaguar, SGA Edition;66; ;1238.49 PED;Planet Calypso
Jaguar Harness;Jaguar;167.4;850.00 PED;1815.00 PED;Planet Calypso
Jaguar Harness (L);Jaguar (L);167.4; ; ;Planet Calypso
Jaguar Harness, Adjusted;Jaguar, Adjusted;167.4; ; ;Planet Calypso
Jaguar Harness, SGA Edition;Jaguar, SGA Edition;167.4; ;1500.30 PED;Planet Calypso
Jaguar Helmet;Jaguar;71.7;2900.00 PED;6000.00 PED;Planet Calypso
Jaguar Helmet (L);Jaguar (L);71.7; ; ;Planet Calypso
Jaguar Helmet, Adjusted;Jaguar, Adjusted;71.7; ; ;Planet Calypso
Jaguar Helmet, SGA Edition;Jaguar, SGA Edition;71.7; ;2721.93 PED;Planet Calypso
Jaguar Shin Guards;Jaguar;78.9;900.00 PED;2850.00 PED;Planet Calypso
Jaguar Shin Guards (L);Jaguar (L);78.9; ; ;Planet Calypso
Jaguar Shin Guards, Adjusted;Jaguar, Adjusted;78.9; ; ;Planet Calypso
Jaguar Shin Guards, SGA Edition;Jaguar, SGA Edition;78.9; ;2035.44 PED;Planet Calypso
