Name;Type;Max.TT;Markup;Source
NEVERDIE FA Series 003 (L);FAP;132; ;Looted
NEVERDIE FA Series 004 (L);FAP;145; ;Looted
NEVERDIE FA Series 007 (L);FAP;185; ;Looted
NEVERDIE HK Series 001 (L);FAP;9; ;Looted
NEVERDIE HK Series 002 (L);FAP;12.5; ;Looted
NEVERDIE HK Series 003 (L);FAP;16;140000.00%;Looted
NEVERDIE HK Series 004 (L);FAP;19.5;10600.00%;Looted
NEVERDIE HK Series 005 (L);FAP;21.5; ;Looted
NEVERDIE HK Series 006 (L);FAP;26; ;Looted
NEVERDIE HK Series 007 (L);FAP;30; ;Looted
NEVERDIE HK Series 008 (L);FAP;41;117.00%;Looted
NEVERDIE HK Series 009 (L);FAP;51.5;107.00%;Looted
NEVERDIE HK Series 010 (L);FAP;57;9251.00%;Looted
NEVERDIE LS Series 001 (L);FAP;25; ;Crafted, Looted
NEVERDIE LS Series 002 (L);FAP;27; ;Crafted
NEVERDIE LS Series 003 (L);FAP;29; ;Crafted
NEVERDIE LS Series 004 (L);FAP;31; ;Crafted
NEVERDIE LS Series 005 (L);FAP;33; ;Crafted
NEVERDIE LS Series 008 (L);FAP;39;8250.00%;Looted
NEVERDIE LS Series 009 (L);FAP;41; ;Looted
NEVERDIE LS Series 010 (L);FAP;43;0.00%;Looted
NEVERDIE XMAS F.A.P;FAP;2; ;XMAS Gift 2011
NI Basic Healing Kit (L);FAP;9; ;TT
NI Herbbox New Settler Issue (L);FAP;0.05; ;Mission
O.S. F.A.P. M1 (L);FAP;140; ;Crafted, Looted
O.S. F.A.P. M7 (L);FAP;200; ;Crafted, Looted
Official Medical Kit;FAP;100; ;MA Owned
Omegaton Fast Aid FAP-10;FAP;30; ;Looted
Omegaton Fast Aid FAP-110;FAP;126;2600.00 PED;Looted
Omegaton Fast Aid FAP-15;FAP;33;3300.00 PED;Looted
Omegaton Fast Aid FAP-18;FAP;35; ;Looted
Omegaton Fast Aid FAP-18, SGA Edition;FAP;35;10.00 PED;Looted
Omegaton Fast Aid FAP-28;FAP;40;506.00 PED;Looted
Omegaton Fast Aid FAP-35;FAP;41;5000.00 PED;Looted
Omegaton Fast Aid FAP-5;FAP;15;0.00 PED;Looted
Omegaton Fast Aid FAP-50;FAP;50;16000.00 PED;Looted
Omegaton Fast Aid FAP-50, SGA Edition;FAP;50; ;Looted
Omegaton Fast Aid FAP-69;FAP;69; ;Looted
Omegaton Fast Aid FAP-69, SGA Edition;FAP;69;9500.00 PED;Looted
Omegaton Fast Aid FAP-80;FAP;92; ;Looted
Omegaton Fast Aid FAP-83;FAP;101;7806.00 PED;Looted
Omegaton Fast Aid FAP-90;FAP;120;30.00 PED;Looted
Omegaton Fast Aid Pack, Adjusted;FAP;230;3270.00 PED;Looted
Omegaton Fast Aid Pack, Improved;FAP;280;82000.00 PED;Looted
Omegaton Fast Aid Pack, Improved, SGA Edition;FAP;280;120000.00 PED;Looted
Omegaton Fast Aid Pack, Modified;FAP;330;160000.00 PED;Looted
Omegaton Fast Aid Pack, Modified, SGA Edition;FAP;330; ;Looted
Ozpyn Factorial F.A.P CE (L);FAP;120; ;Crafted
Ozpyn Factorial F.A.P DE (L);FAP;100; ;Looted
Ozpyn Regenerative F.A.P. CE (L);FAP;130;120.00%;Crafted
Ozpyn Regenerative F.A.P. DE (L);FAP;120; ;Looted
Ozpyn S.E. F.A.P. (L);FAP;175; ;Looted
Punk Trauma Pack (L);FAP;9; ;TT
Refurbished H.E.A.R.T. Rank I;FAP;14; ;Mission
Refurbished H.E.A.R.T. Rank II;FAP;14; ;Mission
Refurbished H.E.A.R.T. Rank III;FAP;14; ;Mission
Refurbished H.E.A.R.T. Rank IV;FAP;14; ;Mission
Refurbished H.E.A.R.T. Rank IX;FAP;80; ;Mission
Refurbished H.E.A.R.T. Rank V;FAP;14; ;Mission
Refurbished H.E.A.R.T. Rank VI;FAP;14; ;Mission
Refurbished H.E.A.R.T. Rank VII;FAP;60; ;Mission
Refurbished H.E.A.R.T. Rank VIII;FAP;70; ;Mission
S.I. First Aid Pack;FAP;9; ;TT
S.I. H.E.A.R.T.;FAP;9; ;TT
Shifa V1;FAP;100; ; 
Special Issue Medkit (L);FAP;1; ;Promotion
Speedy Refurbished H.E.A.R.T. Rank VI;FAP; ; ;Mission
Tibbi Medical V6 (L);FAP;72; ;Looted
Vigorous Refurbished H.E.A.R.T. Rank VI;FAP; ; ;Mission
Vivo Explorer (L);FAP;0.05; ;Mission
Vivo Neo (L);FAP;224; ;Crafted
Vivo Neo (L) Adapted;FAP;336; ;Crafted
Vivo Oxy1500 (L);FAP;162.5; ;Crafted
Vivo Oxy1500 (L) Adapted;FAP;243.75; ;Crafted
Vivo Oxy2000 (L);FAP;178.4; ;Crafted
Vivo Oxy2000 (L) Adapted;FAP;276.6; ;Crafted
Vivo Oxy2500 (L);FAP;211.5; ;Crafted
Vivo Oxy2500 (L) Adapted;FAP;317.25; ;Crafted
Vivo Oxy2500, Adapted;FAP; ; ;Crafted
Vivo Oxy2500, SGA Edition (L);FAP;211.5; ;Crafted
Vivo S10;FAP;22;0.00 PED;Mission
Vivo Survivor (L);FAP;254.5; ;Crafted
Vivo Survivor (L) Adapted;FAP; ; ;Crafted
Vivo T1;FAP;9;0.00 PED;Old Time
Vivo T10;FAP;300.02; ;Crafted
Vivo T10 (L);FAP;23.5;114.89%;Crafted
Vivo T10 (L) Adapted;FAP;35.25;110.00%;Crafted
Vivo T10 Adapted;FAP;524.87; ;Crafted
Vivo T10, Improved;FAP;300;9275.00 PED;Looted
Vivo T15;FAP;1838.56; ;Crafted
Vivo T15 (L);FAP;48.45; ;Crafted
Vivo T15 (L) Adapted;FAP;72.67; ;Crafted
Vivo T15 Adapted;FAP;3096.79; ;Crafted
Vivo T15 Adapted, SGA Edition (L);FAP;72.67; ;Crafted
Vivo T1A (L);FAP;9; ;TT
Vivo T20;FAP;2638.58;3000.00 PED;Looted
Vivo T20 (L);FAP;57.9;120.00%;Crafted
Vivo T20 (L) Adapted;FAP;86.85; ;Crafted
Vivo T20 Adapted;FAP;4429.18; ;Crafted
Vivo T5;FAP;88.99;5.00 PED;Crafted
Vivo T5 (L);FAP;16.8;113.10%;Crafted
Vivo T5 (L) Adapted;FAP;25.2;115.08%;Crafted
Vivo T5 Adapted;FAP;168.17; ;Crafted
Vivo UR125;FAP;5638.89; ;Crafted
Vivo UR125 (L);FAP;85.1;112.00%;Crafted
Vivo UR125 (L) Adapted;FAP;127.65;132.00%;Crafted
Vivo UR125, Adapted;FAP; ; ;Crafted
Vivo UR150 (L);FAP;93;120.00%;Crafted
Vivo UR175;FAP;9750.58; ;Crafted
Vivo UR175 (L);FAP;120.65; ;Crafted
Vivo UR175 (L) Adapted;FAP;180.975; ;Crafted
Vivo UR200 (L);FAP;128.75; ;Crafted
Vivo UR200 (L) Adapted;FAP;193.12; ;Crafted
Vivo UR225 (L);FAP;128.75; ;Crafted
Vivo Zychion Pro (L);FAP;271.5; ;Crafted
Vivo Zychion Pro (L) Adapted;FAP; ; ;Crafted
Divine Intervention Chip 1;Mindforce;150;1950.00 PED;Mission Galactica
First Gen Resurrect Chip 8;Mindforce;389.4;8000.00 PED;Looted
Mayhem Restoration Chip, Modified;Mindforce;90; ;Mayhem
Official Regeneration Chip;Mindforce;27; ;MA Owned
Official Regeneration Field Chip;Mindforce;34; ;MA Owned
Official Resurrection Chip;Mindforce;38.9; ;MA Only
Rakzum's Pouch (L);Mindforce;1.8; ;Looted
Regeneration Chip 1;Mindforce;15;11.00 PED;Looted
Regeneration Chip 1 (L);Mindforce;7;114.29%;Looted
Regeneration Chip 10;Mindforce;240;3800.00 PED;Looted
Regeneration Chip 10 (L);Mindforce;35;190.00%;Looted
Regeneration Chip 11;Mindforce;272;0.00 PED;Looted
Regeneration Chip 11 (L);Mindforce;41;206.00%;Looted
Regeneration Chip 2;Mindforce;30;10.00 PED;Looted
Regeneration Chip 2 (L);Mindforce;11;110.00%;Looted
Regeneration Chip 3;Mindforce;35;14.00 PED;Looted
Regeneration Chip 3 (L);Mindforce;14.5;110.00%;Looted
Regeneration Chip 4;Mindforce;37;18.00 PED;Looted
Regeneration Chip 4 (L);Mindforce;18.5;107.00%;Looted
Regeneration Chip 5;Mindforce;49;38.00 PED;Looted
Regeneration Chip 5 (L);Mindforce;20.5;108.00%;Looted
Regeneration Chip 6;Mindforce;58;160.00 PED;Looted
Regeneration Chip 6 (L);Mindforce;22.5;106.00%;Looted
Regeneration Chip 7;Mindforce;154;0.00 PED;Looted
Regeneration Chip 7 (L);Mindforce;25;174.00%;Looted
Regeneration Chip 8;Mindforce;179;0.00 PED;Looted
Regeneration Chip 9 (L);Mindforce; ;0.00%;Looted
Regeneration Field Chip 1 (L);Mindforce;8; ;Looted
Regeneration Field Chip 2 (L);Mindforce;11.7; ;Looted
Regeneration Field Chip 3 (L);Mindforce;15.5; ;Looted
Regeneration Field Chip 8;Mindforce;51; ;MA Owned
Restoration Chip 1 (L);Mindforce;4.5;510.00%;Looted
Restoration Chip 10 (L);Mindforce;12;1000.00%;Looted
Restoration Chip 11 (L);Mindforce;12.9;1150.00%;Looted
Restoration Chip 12 (L);Mindforce;13.7;800.00%;Looted
Restoration Chip 13 (L);Mindforce;14.6;520.00%;Looted
Restoration Chip 14 (L);Mindforce;15.4;460.00%;Looted
Restoration Chip 15 (L);Mindforce;16.39;0.00%;Looted
Restoration Chip 17 (L);Mindforce;18.2;370.00%;Looted
Restoration Chip 18 (L);Mindforce;19;0.00%;Looted
Restoration Chip 19 (L);Mindforce;20;332.00%;Looted
Restoration Chip 2 (L);Mindforce;5.3;720.00%;Looted
Restoration Chip 20 (L);Mindforce;20.89;0.00%;Looted
Restoration Chip 3 (L);Mindforce;6.4;980.00%;Looted
Restoration Chip 4 (L);Mindforce;7.3;1000.00%;Looted
Restoration Chip 5 (L);Mindforce;8;1350.00%;Looted
Restoration Chip 6 (L);Mindforce;8.9;1500.00%;Looted
Restoration Chip 7 (L);Mindforce;9.69;1350.00%;Looted
Restoration Chip 8 (L);Mindforce;10.4;1400.00%;Looted
Restoration Chip, Adjusted;Mindforce;48;5000.00 PED;Mission
Restoration Chip, Improved;Mindforce;60;20000.00 PED;Mission
Restoration Chip, Modified;Mindforce;60;0.00 PED;Mission
