Name;Armor;Max.TT;Mar. (M);Mar. (F);Found on
Ozpyn Force Thigh Guards (L);Ozpyn Force (L);90;110.00%;110.00%;Planet Cyrene
Paladin Arm Guards;Paladin;41; ; ;Planet Calypso
Paladin Face Guard;Paladin;25; ; ;Planet Calypso
Paladin Foot Guards;Paladin;25.5; ; ;Planet Calypso
Paladin Foot Guards, TEN Edition;Paladin, TEN Edition;28.81; ; ;Planet Calypso
Paladin Gloves;Paladin;25.5; ; ;Planet Calypso
Paladin Harness;Paladin;66.5; ; ;Planet Calypso
Paladin Harness, TEN Edition;Paladin, TEN Edition;75.14; ; ;Planet Calypso
Paladin Shin Guards;Paladin;15.5; ; ;Planet Calypso
Paladin Thigh Guards;Paladin;41; ; ;Planet Calypso
Paneleon Imperium Arm Guards;Paneleon Imperium;14.3; ; ;Planet Cyrene
Paneleon Imperium Chest Guard;Paneleon Imperium;14.3; ; ;Planet Cyrene
Paneleon Imperium Foot Guards;Paneleon Imperium;14.3; ; ;Planet Cyrene
Paneleon Imperium Hand Guards;Paneleon Imperium;14.3; ; ;Planet Cyrene
Paneleon Imperium Head Guard;Paneleon Imperium;14.3; ; ;Planet Cyrene
Paneleon Imperium Leg Guards;Paneleon Imperium;14.3; ; ;Planet Cyrene
Paneleon Imperium Shin Guards;Paneleon Imperium;14.3; ; ;Planet Cyrene
Paneleon Spec Imperium Arm Guards;Paneleon Spec Imperium;21.5; ; ;Planet Cyrene
Paneleon Spec Imperium Chest Guard;Paneleon Spec Imperium;21.5; ; ;Planet Cyrene
Paneleon Spec Imperium Foot Guards;Paneleon Spec Imperium;21.5; ; ;Planet Cyrene
Paneleon Spec Imperium Hand Guards;Paneleon Spec Imperium;21.5; ; ;Planet Cyrene
Paneleon Spec Imperium Head Guard;Paneleon Spec Imperium;21.5; ; ;Planet Cyrene
Paneleon Spec Imperium Leg Guards;Paneleon Spec Imperium;21.5; ; ;Planet Cyrene
Paneleon Spec Imperium Shin Guards;Paneleon Spec Imperium;21.5; ; ;Planet Cyrene
Paradox Arm Guards;Paradox;120; ; ;Planet Calypso
Paradox Foot Guards;Paradox;80; ; ;Planet Calypso
Paradox Gloves;Paradox;80; ; ;Planet Calypso
Paradox Harness;Paradox;160; ; ;Planet Calypso
Paradox Helmet;Paradox;100; ; ;Planet Calypso
Paradox Shin Guards;Paradox;130; ; ;Planet Calypso
Paradox Thigh Guards;Paradox;110; ; ;Planet Calypso
Pathfinder Arm Guards;Pathfinder;2; ; ;Planet Calypso
Pathfinder Face Guard;Pathfinder;2; ; ;Planet Calypso
Pathfinder Foot Guards;Pathfinder;2; ; ;Planet Calypso
Pathfinder Gloves;Pathfinder;2; ; ;Planet Calypso
Pathfinder Harness;Pathfinder;2; ; ;Planet Calypso
Pathfinder Shin Guards;Pathfinder;2; ; ;Planet Calypso
Pathfinder Thigh Guards;Pathfinder;2; ; ;Planet Calypso
Pegasus Arm Guards (L);Pegasus (L);84;145.00%;145.00%;Planet Arkadia
Pegasus Foot Guards;Pegasus;66; ; ;Planet Arkadia
Pegasus Foot Guards (L);Pegasus (L);72;145.00%;145.00%;Planet Arkadia
Pegasus Gloves;Pegasus;54;5000.00 PED; ;Planet Arkadia
Pegasus Gloves (L);Pegasus (L);60;145.00%;145.00%;Planet Arkadia
Pegasus Harness;Pegasus;144; ; ;Planet Arkadia
Pegasus Harness (L);Pegasus (L);144;145.00%;145.00%;Planet Arkadia
Pegasus Helmet;Pegasus;78; ; ;Planet Arkadia
Pegasus Helmet (L);Pegasus (L);78;145.00%;145.00%;Planet Arkadia
Pegasus Shin Guards;Pegasus;84; ; ;Planet Arkadia
Pegasus Shin Guards (L);Pegasus (L);78;145.00%;145.00%;Planet Arkadia
Pegasus Thigh Guards;Pegasus;84; ; ;Planet Arkadia
Pegasus Thigh Guards (L);Pegasus (L);84;145.00%;145.00%;Planet Arkadia
Perseus Arm Guards (L);Perseus (L);140;150.00%;150.00%;Planet Arkadia
Perseus Foot Guards;Perseus;110; ; ;Planet Arkadia
Perseus Foot Guards (L);Perseus (L);120;150.00%;150.00%;Planet Arkadia
Perseus Gloves;Perseus;90; ; ;Planet Arkadia
Perseus Gloves (L);Perseus (L);100;150.00%;150.00%;Planet Arkadia
Perseus Harness (L);Perseus (L);240;150.00%;150.00%;Planet Arkadia
Perseus Helmet;Perseus;130; ; ;Planet Arkadia
Perseus Helmet (L);Perseus (L);130;150.00%;150.00%;Planet Arkadia
Perseus Shin Guards;Perseus;140; ; ;Planet Arkadia
Perseus Shin Guards (L);Perseus (L);130;150.00%;150.00%;Planet Arkadia
Perseus Thigh Guards;Perseus;140; ; ;Planet Arkadia
Perseus Thigh Guards (L);Perseus (L);140;150.00%;150.00%;Planet Arkadia
Phantom Arm Guards;Phantom;55; ; ;Planet Calypso
Phantom Face Mask;Phantom;55; ; ;Planet Calypso
Phantom Foot Guards;Phantom;56; ; ;Planet Calypso
Phantom Gloves;Phantom;56; ; ;Planet Calypso
Phantom Harness;Phantom;86; ; ;Planet Calypso
Phantom Shin Guards;Phantom;51; ; ;Planet Calypso
Phantom Thigh Guards;Phantom;52; ; ;Planet Calypso
Pinthas Arm Guards;Pinthas;40; ; ;Monria
Pinthas Arm Guards (L);Pinthas (L);40; ; ;Monria
Pinthas Face Guard (L);Pinthas (L);40; ; ;Monria
Pinthas Gloves (L);Pinthas (L);20; ; ;Monria
Pinthas Harness (L);Pinthas (L);60; ; ;Monria
Pinthas Helmet;Pinthas;40; ; ;Monria
Pinthas Shin Guards (L);Pinthas (L);20; ; ;Monria
Pinthas Thigh Guards (L);Pinthas (L);40; ; ;Monria
Pioneer Arm Guards;Pioneer;4; ; ;Planet Calypso
Pioneer Arm Guards (L);Pioneer (L);12;108.00%;108.00%;Planet Calypso
Pioneer Face Guard;Pioneer;2; ; ;Planet Calypso
Pioneer Face Guard (L);Pioneer (L);6;108.00%;108.00%;Planet Calypso
Pioneer Foot Guards;Pioneer;2; ; ;Planet Calypso
Pioneer Foot Guards (L);Pioneer (L);6;108.00%;108.00%;Planet Calypso
Pioneer Gloves;Pioneer;2; ; ;Planet Calypso
Pioneer Gloves (L);Pioneer (L);6;108.00%;108.00%;Planet Calypso
Pioneer Harness;Pioneer;6; ; ;Planet Calypso
Pioneer Harness (L);Pioneer (L);18;108.00%;108.00%;Planet Calypso
Pioneer Shin Guards;Pioneer;2; ; ;Planet Calypso
Pioneer Shin Guards (L);Pioneer (L);6;108.00%;108.00%;Planet Calypso
Pioneer Thigh Guards;Pioneer;4; ; ;Planet Calypso
Pioneer Thigh Guards (L);Pioneer (L);12;108.00%;108.00%;Planet Calypso
Pixie Arm Guards;Pixie;2.1; ; ;Planet Calypso
Pixie Arm Guards, Adjusted;Pixie, Adjusted;4.2; ; ;Planet Calypso
Pixie Arm Guards, SGA Edition;Pixie, SGA Edition;2.1; ; ;Planet Calypso
Pixie Face Guard;Pixie;1.45; ; ;Planet Calypso
Pixie Face Guard, SGA Edition;Pixie, SGA Edition;1.45; ; ;Planet Calypso
Pixie Foot Guards;Pixie;1.9; ; ;Planet Calypso
Pixie Foot Guards, Adjusted;Pixie, Adjusted;3.8; ; ;Planet Calypso
Pixie Foot Guards, SGA Edition;Pixie, SGA Edition;1.9; ; ;Planet Calypso
Pixie Gloves;Pixie;1.9; ; ;Planet Calypso
Pixie Gloves, Adjusted;Pixie, Adjusted;3.8; ; ;Planet Calypso
Pixie Gloves, SGA Edition;Pixie, SGA Edition;1.9; ; ;Planet Calypso
Pixie Harness;Pixie;2.9; ; ;Planet Calypso
Pixie Harness, Adjusted;Pixie, Adjusted;5.8; ; ;Planet Calypso
Pixie Harness, SGA Edition;Pixie, SGA Edition;2.9; ; ;Planet Calypso
Pixie Helmet, Adjusted;Pixie, Adjusted;2.9; ; ;Planet Calypso
Pixie Shin Guards;Pixie;1.95; ; ;Planet Calypso
Pixie Shin Guards, Adjusted;Pixie, Adjusted;3.9; ; ;Planet Calypso
Pixie Shin Guards, SGA Edition;Pixie, SGA Edition;1.95; ; ;Planet Calypso
Pixie Thigh Guards;Pixie;2.1; ; ;Planet Calypso
Pixie Thigh Guards, Adjusted;Pixie, Adjusted;4.2; ; ;Planet Calypso
Pixie Thigh Guards, SGA Edition;Pixie, SGA Edition;2.1; ; ;Planet Calypso
Polaris Arm Guards (L);Polaris (L);139;102.00%;102.00%;Planet Calypso
Polaris Foot Guards (L);Polaris (L);139.5;102.00%;102.00%;Planet Calypso
Polaris Gloves (L);Polaris (L);139.5;104.00%;104.00%;Planet Calypso
Polaris Harness (L);Polaris (L);185;104.00%;104.00%;Planet Calypso
Polaris Helmet (L);Polaris (L);94.5;104.00%;104.00%;Planet Calypso
Polaris Shin Guards (L);Polaris (L);141;102.00%;102.00%;Planet Calypso
Polaris Thigh Guards (L);Polaris (L);144.5;102.00%;102.00%;Planet Calypso
Predator Arm Guards (L);Predator (L);27;113.28%;111.11%;Planet Calypso
Predator Foot Guards (L);Predator (L);27; ;114.81%;Planet Calypso
Predator Gloves (L);Predator (L);27; ; ;Planet Calypso
Predator Harness (L);Predator (L);40;117.50%;110.00%;Planet Calypso
Predator Helmet (L);Predator (L);28.5;115.79%; ;Planet Calypso
Predator Shin Guards (L);Predator (L);32;121.88%; ;Planet Calypso
Predator Thigh Guards (L);Predator (L);35;113.28%; ;Planet Calypso
Protector of the Empire Arm Guards;Protector of the Empire;202.2; ; ;Planet Calypso
Protector of the Empire Foot Guards;Protector of the Empire;190; ; ;Planet Calypso
Protector of the Empire Gloves;Protector of the Empire;190; ; ;Planet Calypso
Protector of the Empire Harness;Protector of the Empire;259; ; ;Planet Calypso
Protector of the Empire Helmet;Protector of the Empire;119.4; ; ;Planet Calypso
Protector of the Empire Shin Guards;Protector of the Empire;193; ; ;Planet Calypso
Protector of the Empire Thigh Guards;Protector of the Empire;206; ; ;Planet Calypso
Raider Arm Guards;Raider;20; ; ;Next Island
Raider Foot Guards;Raider;12; ; ;Next Island
Raider Gloves;Raider;12; ; ;Next Island
Raider Harness;Raider;29; ; ;Next Island
Raider Helmet;Raider;18; ; ;Next Island
Raider Shin Guards;Raider;18; ; ;Next Island
Raider Thigh Guards;Raider;20; ; ;Next Island
Rascal Arm Guards;Rascal;8.9; ; ;Planet Calypso
Rascal Arm Guards (L);Rascal (L);8.9; ; ;Planet Calypso
Rascal Face Guard;Rascal;7.8; ; ;Planet Calypso
Rascal Face Guard (L);Rascal (L);7.8; ; ;Planet Calypso
Rascal Foot Guards;Rascal;7.7; ; ;Planet Calypso
Rascal Foot Guards (L);Rascal (L);7.7; ; ;Planet Calypso
Rascal Gloves;Rascal;7.7; ; ;Planet Calypso
Rascal Gloves (L);Rascal (L);7.7; ; ;Planet Calypso
Rascal Harness;Rascal;11.2; ; ;Planet Calypso
Rascal Harness (L);Rascal (L);11.2; ; ;Planet Calypso
Rascal Shin Guards;Rascal;8.7; ; ;Planet Calypso
Rascal Shin Guards (L);Rascal (L);8.7; ; ;Planet Calypso
Rascal Thigh Guards;Rascal;8.65; ; ;Planet Calypso
Rascal Thigh Guards (L);Rascal (L);8.65; ; ;Planet Calypso
Raven Arm Guards;Raven;21; ; ;Planet Calypso
Raven Foot Guards;Raven;19; ; ;Planet Calypso
Raven Gloves;Raven;19; ; ;Planet Calypso
Raven Harness;Raven;29; ; ;Planet Calypso
Raven Helmet;Raven;19.5; ; ;Planet Calypso
Raven Shin Guards;Raven;19.5; ; ;Planet Calypso
Raven Thigh Guards;Raven;21; ; ;Planet Calypso
Reaper Shin Guards (L);Reaper (L);185; ; ;Planet Calypso
Renegade Arm Guards;Renegade;10.5; ; ;Planet Calypso
Renegade Arm Guards (L);Renegade (L);10.5; ; ;Planet Calypso
Renegade Face Guard;Renegade;7; ; ;Planet Calypso
Renegade Face Guard (L);Renegade (L);7; ; ;Planet Calypso
Renegade Foot Guards;Renegade;7; ; ;Planet Calypso
Renegade Foot Guards (L);Renegade (L);7; ; ;Planet Calypso
Renegade Gloves;Renegade;7; ; ;Planet Calypso
Renegade Gloves (L);Renegade (L);7; ; ;Planet Calypso
Renegade Harness;Renegade;16; ; ;Planet Calypso
Renegade Harness (L);Renegade (L);16; ; ;Planet Calypso
Renegade Shin Guards;Renegade;7.1; ; ;Planet Calypso
Renegade Shin Guards (L);Renegade (L);7.1; ; ;Planet Calypso
Renegade Thigh Guards;Renegade;11; ; ;Planet Calypso
Renegade Thigh Guards (L);Renegade (L);11; ; ;Planet Calypso
Rifi Armor Arm Guards (L);Rifi Armor (L);3.2; ; ;Planet Toulan
Rifi Armor Arm Guards ME;Rifi Armor ME;4.2; ; ;Planet Toulan
Rifi Armor Foot Guards (L);Rifi Armor (L);1.8; ; ;Planet Toulan
Rifi Armor Foot Guards ME;Rifi Armor ME;3.8; ; ;Planet Toulan
Rifi Armor Gloves (L);Rifi Armor (L);1.8; ; ;Planet Toulan
Rifi Armor Gloves ME;Rifi Armor ME;3.8; ; ;Planet Toulan
Rifi Armor Harness (L);Rifi Armor (L);4.4; ;155.85%;Planet Toulan
Rifi Armor Harness ME;Rifi Armor ME;5.8; ; ;Planet Toulan
Rifi Armor Helmet (L);Rifi Armor (L);2.8; ; ;Planet Toulan
Rifi Armor Helmet ME;Rifi Armor ME;2.9; ; ;Planet Toulan
Rifi Armor Shin Guards (L);Rifi Armor (L);2.8; ; ;Planet Toulan
Rifi Armor Shin Guards ME;Rifi Armor ME;3.9; ; ;Planet Toulan
Rifi Armor Thigh Guards (L);Rifi Armor (L);3.2; ; ;Planet Toulan
Rifi Armor Thigh Guards ME;Rifi Armor ME;4.2; ; ;Planet Toulan
Roy Vulker's Arm Guards (L);Roy Vulker's Armor (L); ; ; ;Planet Cyrene
Roy Vulker's Chest Guard (L);Roy Vulker's Armor (L);100; ; ;Planet Cyrene
Rutuba Arm Guards (L);Rutuba (L);151.2; ; ;Planet Calypso
Rutuba Back Strap (L);Rutuba (L);217.5; ; ;Planet Calypso
Rutuba Foot Guards (L);Rutuba (L);145.5; ; ;Planet Calypso
Rutuba Gloves (L);Rutuba (L);145.5; ; ;Planet Calypso
Rutuba Groin Guard (L);Rutuba (L);157; ; ;Planet Calypso
Rutuba Head Piece (L);Rutuba (L);156.5; ; ;Planet Calypso
Rutuba Helmet (L);Rutuba (L);156.5; ; ;Planet Calypso
Rutuba Shin Guards (L);Rutuba (L);158.5; ; ;Planet Calypso
Rutuba Shoulder Guard (L);Rutuba (L);217.5; ; ;Planet Calypso
RX OpTac x1 Arm Guards;RX OpTac x1;59.2; ; ;Planet Calypso
RX OpTac x1 Foot Guards;RX OpTac x1;33.3; ; ;Planet Calypso
RX OpTac x1 Gloves;RX OpTac x1;33.3; ; ;Planet Calypso
RX OpTac x1 Harness;RX OpTac x1;81.4;7000.00 PED; ;Planet Calypso
RX OpTac x1 Helmet;RX OpTac x1;51.8; ; ;Planet Calypso
RX OpTac x1 Shin Guards;RX OpTac x1;51.8; ; ;Planet Calypso
RX OpTac x1 Thigh Guards;RX OpTac x1;59.2; ; ;Planet Calypso
RX OpTac x2 Arm Guards;RX OpTac x2;59.2; ; ;Planet Calypso
RX OpTac x2 Foot Guards;RX OpTac x2;33.3; ; ;Planet Calypso
RX OpTac x2 Gloves;RX OpTac x2;33.3; ; ;Planet Calypso
RX OpTac x2 Harness;RX OpTac x2;81.4; ; ;Planet Calypso
RX OpTac x2 Helmet;RX OpTac x2;51.8; ; ;Planet Calypso
RX OpTac x2 Shin Guards;RX OpTac x2;51.8; ; ;Planet Calypso
RX OpTac x2 Thigh Guards;RX OpTac x2;59.2; ; ;Planet Calypso
Sada Armor Arm Guards (L);Sada Armor (L);5; ; ;Planet Toulan
Sada Armor Gloves (L);Sada Armor (L);3; ; ;Planet Toulan
Sada Armor Harness (L);Sada Armor (L);7; ; ;Planet Toulan
Sada Armor Helmet (L);Sada Armor (L);4.5; ;0.00%;Planet Toulan
Sada Armor Shin Guards (L);Sada Armor (L);4.5; ; ;Planet Toulan
Sada Armor Thigh Guards (L);Sada Armor (L);5; ; ;Planet Toulan
Salamander Arm Guards;Salamander;88; ; ;Planet Calypso
Salamander Arm Guards, SGA Edition;Salamander, SGA Edition;88;1000.24 PED; ;Planet Calypso
Salamander Foot Guards;Salamander;55; ; ;Planet Calypso
Salamander Foot Guards, SGA Edition;Salamander, SGA Edition;55;555.08 PED; ;Planet Calypso
Salamander Gloves;Salamander;55; ; ;Planet Calypso
Salamander Gloves, SGA Edition;Salamander, SGA Edition;55;933.35 PED; ;Planet Calypso
Salamander Harness;Salamander;120; ; ;Planet Calypso
Salamander Harness, SGA Edition;Salamander, SGA Edition;120;934.90 PED; ;Planet Calypso
Salamander Helmet;Salamander;65; ; ;Planet Calypso
Salamander Helmet, SGA Edition;Salamander, SGA Edition;65;2935.00 PED; ;Planet Calypso
Salamander Shin Guards;Salamander;90; ; ;Planet Calypso
Salamander Shin Guards, SGA Edition;Salamander, SGA Edition;90;1200.87 PED; ;Planet Calypso
Salamander Thigh Guards;Salamander;80; ; ;Planet Calypso
Salamander Thigh Guards, SGA Edition;Salamander, SGA Edition;80;2000.39 PED; ;Planet Calypso
Samurai Arm Guards;Samurai;17; ; ;Planet Calypso
Samurai Arm Guards, Adjusted;Samurai, Adjusted;24; ; ;Planet Calypso
Samurai Face Guard;Samurai;8.5; ; ;Planet Calypso
Samurai Foot Guards;Samurai;8.5; ; ;Planet Calypso
Samurai Foot Guards, Adjusted;Samurai, Adjusted;12; ; ;Planet Calypso
Samurai Gloves;Samurai;8.5; ; ;Planet Calypso
Samurai Gloves, Adjusted;Samurai, Adjusted;12; ; ;Planet Calypso
Samurai Harness;Samurai;25.5; ; ;Planet Calypso
Samurai Harness, Adjusted;Samurai, Adjusted;36; ; ;Planet Calypso
Samurai Shin Guards;Samurai;8.5; ; ;Planet Calypso
Samurai Thigh Guard, Adjusted;Samurai, Adjusted;24; ; ;Planet Calypso
Samurai Thigh Guards;Samurai;17; ; ;Planet Calypso
Sand Stormer Arm Guards;Sand Stormer;200;4000.00 PED;4000.00 PED;Planet Arkadia
Sand Stormer Foot Guards;Sand Stormer;190;4000.00 PED;4000.00 PED;Planet Arkadia
Sand Stormer Gloves;Sand Stormer;190;4000.00 PED;4000.00 PED;Planet Arkadia
Sand Stormer Harness;Sand Stormer;260;4000.00 PED;4000.00 PED;Planet Arkadia
Sand Stormer Helmet;Sand Stormer;120;4000.00 PED;4000.00 PED;Planet Arkadia
Sand Stormer Shin Guards;Sand Stormer;190;4000.00 PED;4000.00 PED;Planet Arkadia
Sand Stormer Thigh Guards;Sand Stormer;200;4000.00 PED;4000.00 PED;Planet Arkadia
Scourge Gloves;Scourge;27; ; ;Next Island
Scourge Helmet;Scourge;42; ; ;Next Island
Scourge Thigh Guards;Scourge;48; ; ;Next Island
Scout Arm Guards;Scout;5.6; ; ;Planet Cyrene
Scout Boots;Scout;4.8; ; ;Planet Cyrene
Scout Gloves;Scout;4; ; ;Planet Cyrene
Scout Harness;Scout;9.6; ; ;Planet Cyrene
Scout Helmet;Scout;5.2; ; ;Planet Cyrene
Scout Shin Guards;Scout;5.2; ; ;Planet Cyrene
Scout Thigh Guards;Scout;5.6; ; ;Planet Cyrene
Seeker Arm Guards (L);Seeker (L);5.6; ; ;Ancient Greece
Seeker Foot Guards (L);Seeker (L);4.8; ; ;Ancient Greece
Seeker Gloves (L);Seeker (L);4; ; ;Ancient Greece
Seeker Harness (L);Seeker (L);9.6; ; ;Ancient Greece
Seeker Helmet (L);Seeker (L);5.2; ; ;Ancient Greece
Seeker Shin Guards (L);Seeker (L);5.2; ; ;Ancient Greece
Seeker Thigh Guards (L);Seeker (L);5.6; ; ;Ancient Greece
Sema Arm Guards (L);Sema (L);72.5; ; ;Planet Calypso
Sema Foot Guards (L);Sema (L);72.5; ; ;Planet Calypso
Sema Gloves (L);Sema (L);72.5; ; ;Planet Calypso
Sema Harness (L);Sema (L);95.5; ; ;Planet Calypso
Sema Helmet (L);Sema (L);48.5; ; ;Planet Calypso
Sema Shin Guards (L);Sema (L);74; ; ;Planet Calypso
